artist_1	artist_2	count	song_ids
A$AP Rocky	Mura Masa	5	['23e6ly5nFanMQOk4cAwJj2', '7Kq16WtEJzdRSNQgdXsn7Y', '3sTN90bIP2cJ1783ctHykO', '5v9N8Rx3QsFvr50cxyQcA3', '0t2myRMEMCi2SRyg5TEFLp']
Calvin Harris	Pharrell Williams	4	['6BaCraQ9xeLYg4Sb9TBT2X', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke', '1N90cV79gbBgO0bOs74Y0t']
Chance the Rapper	Lil Wayne	4	['0v9Wz8o0BT8DU38R4ddjeH', '1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Khalid	Lorde	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Post Malone	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Gucci Mane	Migos	3	['1HTtUBEY3tuw2btgwwI2Ja', '1XRgIKC5TPwo7nWGyKqgG0', '6p8NuHm8uCGnn2Dtbtf7zE']
Lil Wayne	Ty Dolla $ign	3	['4dASQiO1Eoo3RJvt74FtXB', '0rlFL6bxIWcCn9gk9GExFA', '270aLuFCbX32hhBr8MQyPM']
Jax Jones	RAYE	3	['7M16mAuWuFA5rC9HvkXaGx', '00lNx0OcTJrS3MKHcB80HY', '4WrS6vezaPwOafKJmHqMEU']
Matoma	The Vamps	3	['1yNyoWWWikbLhwIGWjZuDW', '4b4KcovePX8Ke2cLIQTLM0', '0dXNQ8dckG4eYfEtq9zcva']
Chance the Rapper	DJ Khaled	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Camila Cabello	Quavo	2	['3Ytr1SUCUi6J3L9dRFx5iH', '4xBjsLUSjcx2h7PcRikpQp']
Flume	KUČKA	2	['5JpvSu9jWCsHiOFGSJJH2u', '4lxy9f7o28AEttUFHXwe9P']
Drake	Young Thug	2	['7bJ4mu7MHa3rHiNyKjOoSl', '0xl1w2q4VLojeXp4JfazPL']
Daft Punk	The Weeknd	2	['5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
Quavo	Travis Scott	2	['2bjwRfXMk4uRgOD9IBYl9h', '3Ytr1SUCUi6J3L9dRFx5iH']
A$AP Rocky	Cardi B	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
A$AP Rocky	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
Cardi B	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
