artist_1	artist_2	count	song_ids
MC Lan	MC WM	4	['0tnkjhlQ1mBg8s5guCo9fs', '04uZ473b5Y7syygehiQU7G', '2Q4zHSJgtlc9mWoWQXpSJX', '3e8bStwZIEmcql2KskqrCB']
Future	Maroon 5	3	['5NNlUMcOEOdoOIwwaWXv0k', '50QWA5PR501dIe2KkJkHRR', '21TdkDRXuAB3k90ujRU1et']
Calvin Harris	Pharrell Williams	3	['6BaCraQ9xeLYg4Sb9TBT2X', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke']
Chance the Rapper	DJ Khaled	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Fernando & Sorocaba	Jorge & Mateus	3	['0Yx0GelVzYtJ7IkTX64QSM', '5Zha6IxtfsLjqLYndyWcER', '2WVZwImXEOdSSvPZg0TQyx']
Anitta	Major Lazer	3	['5gUFvcHTgDNthj7DmZl2L7', '4k2ZuPQ6l8AESOQdxpWxUL', '3ibRxEv4KkcU9e259eyNJA']
Anitta	Pabllo Vittar	3	['5gUFvcHTgDNthj7DmZl2L7', '4k2ZuPQ6l8AESOQdxpWxUL', '3ibRxEv4KkcU9e259eyNJA']
Major Lazer	Pabllo Vittar	3	['5gUFvcHTgDNthj7DmZl2L7', '4k2ZuPQ6l8AESOQdxpWxUL', '3ibRxEv4KkcU9e259eyNJA']
Mateus Carrilho	Pabllo Vittar	3	['4BcWcZoludxrNoPUw5napp', '65RwAcaZdljQP95amVlFu7', '4kkQGhScJDzNIIGavQE9SN']
Anitta	Gustavo Mioto	2	['2lN3l0jHCjVulwdPX6NvUn', '4JPSfCXQe6kDliMIJTqISW']
Camila Cabello	Quavo	2	['3Ytr1SUCUi6J3L9dRFx5iH', '4xBjsLUSjcx2h7PcRikpQp']
Ivete Sangalo	Mc Livinho	2	['0PTKuTbIRUkwfdv4FRpiC8', '4UbWczmUqp2mfzSHSmTpAC']
Daft Punk	The Weeknd	2	['5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
Alok	Bruno Martini	2	['06ZpMjkNdIDKVf3mK29UiC', '1a5Yu5L18qNxVhXx38njON']
Alok	Zeeba	2	['06ZpMjkNdIDKVf3mK29UiC', '1a5Yu5L18qNxVhXx38njON']
Bruno Martini	Zeeba	2	['06ZpMjkNdIDKVf3mK29UiC', '1a5Yu5L18qNxVhXx38njON']
G-Eazy	Halsey	2	['5k38wzpLb15YgncyWdTZE4', '3YU6vJbjYUG0tiJyXf9x5V']
Major Lazer	MØ	2	['4WjH9Bzt3kx7z8kl0awxh4', '6DNtNfH8hXkqOX1sjqmI7p']
CNCO	Little Mix	2	['3zoYkqS4y2BsGVShPL2nTE', '5PB8zB1MOZASboLquvinMF']
Big Sean	Calvin Harris	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Katy Perry	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Menor	Zé Felipe	2	['1dVbxcUqGGEd9oBWUCwmfb', '6EFIK4B0jrvLO096QYEhnX']
João Neto & Frederico	MC Kevinho	2	['4sVkydp30HWLjOvF2ILbGy', '5JZlDZzWPbrYwMHmnOQO3U']
Maroon 5	SZA	2	['4mxWSdf71VFO52qFeY0fZt', '3hBBKuWJfxlIlnd9QFoC8k']
Alok	IRO	2	['2WTCoQLkQ9FPdvThkf8nN1', '24putRJqkmdXxfKq5OI4TC']
Alok	Mathieu Koss	2	['71P1N0X76YtZMbBIGG47un', '1xd3OqTbx17HutN7RfJOTj']
Ivete Sangalo	Naiara Azevedo	2	['6arll1Y1aPC7FZqZsHnSsP', '39vJqbfolMyPJtJuyoj1EM']
Macklemore	Skylar Grey	2	['3HVr6jTVwBHBa2flM0eURR', '0CokSRCu5hZgPxcZBaEzVE']
Jerry Smith	MC WM	2	['4MBS01zB5I96t3XcfkpKKm', '6CS7Z9x8DrfR5NPiLUFXMY']
ANAVITÓRIA	Matheus & Kauan	2	['0lwrkYbCwtAWTI0OIWEnd6', '1qDZnViQgUItsMpWLVwfGb']
Mc Livinho	Mc Pedrinho	2	['7bQ798Zl1FlT9dRMxkc77j', '2ZUbYZPp8Wp0J5hHp1Mn4b']
Gustavo Mioto	Jorge & Mateus	2	['4lHu4NduxtNJU4mxAuMRXB', '7JdZZfozlODQ08ATf8xIZ6']
MC WM	Os Cretinos	2	['2AUvXXgYuNFJMCPdhxONfa', '4eZg3l8x5aMvgwsRHcZuIC']
Jonas Blue	William Singe	2	['0NiXXAI876aGImAd6rTj8w', '4xlrALxuaCf9yZBHJeTSG6']
Anitta	Simone & Simaria	2	['12bMDI4NKm0arLS3PKv6Fo', '257tme6AhneIKAqVF1HTH4']
Jorge	Thiago Brava	2	['0dGqIEsFN3KakdPCMkgjre', '5huhTBZco7UxXDqCIwlQ2s']
Fifth Harmony	Gucci Mane	2	['20H2Hd5AkUcRjB4yL3UQtJ', '7LEydI5NfjY6mZfKwYIptZ']
Gusttavo Lima	Jads & Jadson	2	['5sby99lbxTE3F2RA3YWGyM', '4cn0Y9VlOUQ1CcdqTz0ROp']
Katy Perry	Migos	2	['61WbtB6ujkpNAsAf5LjF4b', '14oOKFGuXu8DqvOe1W8vao']
A$AP Rocky	Lana Del Rey	2	['03hqMhmCZiNKMSPmVabPLP', '5QqyRUZeBE04yJxsD1OC0I']
Henrique & Juliano	Marília Mendonça	2	['0phVJ23NJlruwtt1XCm94N', '5s2ydrmJOiPeZGx4S4X8Aw']
French Montana	Swae Lee	2	['3B54sVLJ402zGa6Xm4YGNe', '1F2HXIJrE2Xn81OzT2zZvW']
Lana Del Rey	The Weeknd	2	['5LYQSNHZxEA880URXFHg6h', '4L7Y2OAPiY2I2GndZjAs5K']
Halsey	Lauren Jauregui	2	['11EDhDAVDtGPoSar6ootYA', '4C5ewaZ05vyXM23jFJdwd4']
21 Savage	Post Malone	2	['1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Katy Perry	Skip Marley	2	['5ndfVSDyPq90jaIUhNPeby', '6520aj0B4FSKGVuKNsOCOi']
ANAVITÓRIA	Projota	2	['6ALXhCtReKYxst5J0hWE2z', '7vxMtIwEn1bUKTqPKEMzJJ']
Daddy Yankee	Luis Fonsi	2	['5CtI0qwDJkDQGwXD1H1cLb', '4aWmUDTfIPGksMNLV2rQP2']
Katy Perry	Nicki Minaj	2	['2kVHAQKVtczchKctctzbtK', '3VRk65lHSwqd90TAkQqhvB']
Kendrick Lamar	Maroon 5	1	['5MFzQMkrl1FOOng9tq6R9r']
Sandy	Tiago Iorc	1	['4xHkRNzzHtj3O3Z1pjYWRC']
Camila Cabello	Daddy Yankee	1	['3whrwq4DtvucphBPUogRuJ']
The Chainsmokers	XYLØ	1	['0B8B8cVRFIG1yznoQe7c9s']
Jorge & Mateus	Michel Teló	1	['1fbenbaBdr8ppDeGMOX121']
Lil Uzi Vert	Migos	1	['4Km5HrUvYTaSUfiSGPJeQR']
MC Kevinho	Wesley Safadão	1	['4TwxzrAK84IvWCFDaQJcBr']
G-Eazy	Kehlani	1	['1Eck97uRMlprKOOJN9oO1E']
Beyoncé	J Balvin	1	['7fwXWKdDNI5IutOMc5OKYw']
Beyoncé	Willy William	1	['7fwXWKdDNI5IutOMc5OKYw']
Justin Jesso	Kygo	1	['0Zbbxnx4SGGHoIow4PpISP']
Anitta	DJ Yuri Martins	1	['6u0EAxf1OJTLS7CvInuNd7']
Anitta	Maejor	1	['6u0EAxf1OJTLS7CvInuNd7']
Anitta	Mc Zaac	1	['6u0EAxf1OJTLS7CvInuNd7']
Anitta	Tropkillaz	1	['6u0EAxf1OJTLS7CvInuNd7']
DJ Yuri Martins	Maejor	1	['6u0EAxf1OJTLS7CvInuNd7']
DJ Yuri Martins	Mc Zaac	1	['6u0EAxf1OJTLS7CvInuNd7']
DJ Yuri Martins	Tropkillaz	1	['6u0EAxf1OJTLS7CvInuNd7']
Maejor	Mc Zaac	1	['6u0EAxf1OJTLS7CvInuNd7']
Maejor	Tropkillaz	1	['6u0EAxf1OJTLS7CvInuNd7']
Mc Zaac	Tropkillaz	1	['6u0EAxf1OJTLS7CvInuNd7']
Anitta	Projota	1	['0J1TzQOuHyS7KA6Sq33flE']
Marshmello	Selena Gomez	1	['7EmGUiUaOSGDnUUQUDrOXC']
DJ Snake	Major Lazer	1	['4WjH9Bzt3kx7z8kl0awxh4']
DJ Snake	MØ	1	['4WjH9Bzt3kx7z8kl0awxh4']
Luan Santana	Nego do Borel	1	['47zBTlbsiXs9ooyPo7Z7VT']
Descemer Bueno	Enrique Iglesias	1	['7nKBxz47S9SD79N086fuhn']
Descemer Bueno	Zion & Lennox	1	['7nKBxz47S9SD79N086fuhn']
Enrique Iglesias	Zion & Lennox	1	['7nKBxz47S9SD79N086fuhn']
Ariana Grande	Future	1	['3FiE2d325mIOc4YjkSLVJR']
Henrique & Diego	Simone & Simaria	1	['6gquljDBW7rE6mCBzmTRxo']
Cedric Gervais	Chris Willis	1	['4PdJSsESm34djLfBde9Pr2']
Cedric Gervais	David Guetta	1	['4PdJSsESm34djLfBde9Pr2']
Chris Willis	David Guetta	1	['4PdJSsESm34djLfBde9Pr2']
Cristiano Araújo	Maiara & Maraisa	1	['2wmY09fsvmYgA7bKZzjAVt']
CADE	Cheat Codes	1	['1NDxZ7cFAo481dtYWdrUnR']
CADE	Maggie Lindemann	1	['1NDxZ7cFAo481dtYWdrUnR']
Cheat Codes	Maggie Lindemann	1	['1NDxZ7cFAo481dtYWdrUnR']
Justin Bieber	Major Lazer	1	['6DNtNfH8hXkqOX1sjqmI7p']
