artist_1	artist_2	count	song_ids
Gunna	Young Thug	6	['4ea9w8c4ROqiZpJVhfBA3m', '56AMYGJzxBO6p8v0wEe9de', '6igOR5QCn09zAVF2ikZjsV', '4bi9YrkOvmg4Eb7h00AW2c', '5Z8HZM6iQMhhqyPcCGY5g9', '2OaKHGvIxoOzIYjyMsxcT8']
5 Seconds of Summer	The Chainsmokers	5	['4FAd2rB28SaWaJWmn30Xuy', '5rAtoPMDrOFN5wLdM6YmRx', '11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN']
Travis Scott	Young Thug	5	['4ea9w8c4ROqiZpJVhfBA3m', '56AMYGJzxBO6p8v0wEe9de', '7DcvwMAiqKJQD1rrdfxSDx', '3RZftiuTcLOqpsd8ZlwNhr', '3s4mrPrEFFPF0LmAfutW0n']
Tyga	YG	5	['1kK6DwzyXJSp58u5HYWwuD', '51wFQM8W0YfXTmHusXUr5i', '3SZqA7rQvROJsCbUu2v0xa', '3O7lxdQoe1aNWs93VSHsJg', '0EzRnjtN5ER0wu1IudNom8']
Lil Baby	Meek Mill	4	['0hGH0S74Eoyv6mXZcOKtdQ', '6xVhqLT40s5sVhepe9Mckc', '4U6ubKsTd8RBDP5tPPhh7I', '12Fkyg9lpmaz2zmKOfw2Y2']
Post Malone	Swae Lee	4	['7dbka99KTWke5o9hRp0JoB', '0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
Dreamville	J. Cole	4	['4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '3pZO6GoVPeSYDxxsH6vCdj', '6MF4tRr5lU8qok8IKaFOBE']
Bebe Rexha	The Chainsmokers	4	['6IJTc8xo6XasOU8fpxMU57', '2oejEp50ZzPuQTQ6v54Evp', '1SNiXDwSilLujcYdvfqVpT', '05CwHjIk71RXVU40boRMnR']
Dreamville	JID	4	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '2gtFMLjQpCTGekMi4oXZxN']
J Balvin	Tyga	4	['1jlnBQGP2DtSEhMgQaz7a7', '6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
