artist_1	artist_2	count	song_ids
Bonez MC	RAF Camora	27	['6v6xHeuMLbCuddN0ETrGhs', '3H25ywsvlV0ZT2XSpSU7wk', '0UD507pTePjxhtnpTOWmKX', '0oDrO1NTbP6uYNzSnjcqQG', '1bovaccI49Bqbu6TfU8zbL', '369SOcTvxnm9DWYIzoNzal', '1WVnR5tOzd9oMVEAkBvPxH', '5Rw35kLemvSdxXmpQveQ7B', '7istTRCq9OK5cEC8sPAc50', '4FwwXRuwzJcpmfCR8ltO9b', '0t4v7Q4yzb9SOQohayL33W', '7ckGvAoSg8oq85I8owLVSZ', '1BRdeyNaPcblzeqaBum5TS', '0Vy7fWzknPBpNTwJkGc7Sm', '1uGERQ2DVv7j9WSsWzOHVp', '6wHRm1KR8pzVDPdmR6Qovj', '6SIToQ3DgnTIzXAyM4amnh', '1mEboo42f3Pt5BSPCtogYr', '4i9ZRPZbz683dAMVSU4zlm', '3ZIAgHmolpOrVkR2JXCg2d', '27CUvggbN4O6ASZEsExeAi', '1vza0Eqjzqw0jJfOGRwg1c', '7g4ZuevZdAZh4EDrJG1S4X', '7d2QNWdojil8IXENPnAgTv', '4NrwzWgZfNHb7dpNrEEQqX', '6hjck7ERXicpsW51UkdHCA', '05Mp2UJulSttxQ4E6hQPH3']
KC Rebell	Summer Cem	24	['6hB5hpMGCIriSNCH0d2zHY', '7itaMzdYaSVjrXNOaLaIUh', '6Nhhf4mloz2f7cWgoAr742', '7cfslWRjkI0WLbvkWmJdxb', '5LhrVAtfslBvpyuKoo5yxA', '0RCSckg7PFBBfwG73ydbOG', '6bTAKxX1oLUvKOOh85i4DW', '1eMbgZ0XqwzdmqsBmBGOM5', '0owOFov4xvXoXQUDhq0YCL', '5y2qTBdWUFNgSPOygSWOMe', '2E6PBChEvnFKHoji2eNDJr', '1vYLKyzU47iF8UWTU5C1CQ', '5O3wMlZYkeAAGwWiPGPWR5', '5hwzUBmny610l7YQPH9sdb', '6u17eFFrfGHH4f7AfwKy7J', '3TfKkdaIhNyaGiEHJFBtNr', '0p6ZRPPmXONaxaqWVdBZmD', '4bHxXJnNRSMfc8z2lEIMRQ', '6Z0XvbeGzalpzS7qcAK5mX', '679C7xG3Mm7zGRwyhskqKW', '5LiNVqzl7PIIBBrKbCtMvn', '5hNbpjMYatgqiDa7nonhsl', '39qlqpwVzRkQP6WsILfIB5', '21u9cFskfSRdv6tBFZEtuK']
Bonez MC	Gzuz	22	['42HI1CnQ4meVfZCTSwZK0n', '6v6xHeuMLbCuddN0ETrGhs', '210azEodQSJ48zZrgxHsu8', '1dAazGFelwADy9weYTniuB', '3H25ywsvlV0ZT2XSpSU7wk', '3dA1Z1MFUVbdY796jNEjr2', '4w5lLpNddC9X05bBxddqFT', '1KiA2qmRxsedA1mKPceIov', '0Vy7fWzknPBpNTwJkGc7Sm', '7hCJgEQQqOlQrWQ9iOZ495', '4yI4PNx1en30E5MryFZZLT', '1uGERQ2DVv7j9WSsWzOHVp', '3KbCjPkewCmJt09FYtyVK5', '27CUvggbN4O6ASZEsExeAi', '1vza0Eqjzqw0jJfOGRwg1c', '3aDYo34VzVf2i8aJyJk0ca', '5L56aF7d720ZaytO5UMEtb', '6zd31HpApjec1ldpS1E4Xu', '639uCLPslNZLSWWMenLli1', '6mw02h3qbWmuq2bJCRjRAe', '4iPjyH29Cw0PFQ7bR81fHf', '01dCuK62A6QZ8L9ONTyMVo']
		17	['5TTzhRSWQS4Yu8xTgAuq6D', '5iGkUe025afEj6z66GHjWv', '2ohk9OZFaYwo8UrRm3ewqq', '5cjecvX0CmC9gK0Laf5EMQ', '5fBLHMccZTRyCxFI17YjQB', '0ocIyziRJhnicqGm1u0m1X', '1xSTaiXN33Y5chE2bFixVo', '3ireeOPKD5i6wN6CBp5koM', '1Rn0dmvcmrkM16ImY8TObH', '3OrkWDgwqo5tZyGqu1khlU', '7CbkW1lLxOM5D6YWTnzknv', '5WkVuwmvmbmysXlKtdfkRD', '667XbVuYeoYAVUBzB9Z7Q8', '5iHTJQAyosPC8H498A0Lh5', '34IY2117PizF4NoRPoMth6', '4nbg6j4t38jiFdwXt3kiLQ', '20yDAohnjeOlLpnogPhnCO']
Savas	Sido	15	['7goWEGd9EpIKR6nuE1BOgW', '18BLXBMkoDHVxJaSXDt9v3', '63LvjNBXrndYyaL83C5nwZ', '5BSmC9VNKBAo6DlVtS6MA8', '5VbveN25v2Y2FZqGMbavSx', '6bi86Zwk21G2n3bn7we0s8', '1qzLOrkZDPDvH8WlDnJrVr', '7s0Qu88sgiKcMlO6c62juQ', '0PR4YJoca5hi2AqIVWRvvr', '6LxJNhtLZOcjTc3hNUNzlO', '7nEWnNn1mz68ufoHwSWzDi', '5dENcQGTiP77Re7LvaIMTT', '5J9P2JiLn9VR5C8c2YAEPi', '3cvbeLKHVG3EYibxcCLVYB', '5vsfidTTEEpYICg7ag2Nk6']
Bonez MC	Maxwell	12	['1uGERQ2DVv7j9WSsWzOHVp', '1dAazGFelwADy9weYTniuB', '3KbCjPkewCmJt09FYtyVK5', '14OLkF8PnpsE7z9zt7FMu1', '639uCLPslNZLSWWMenLli1', '3H25ywsvlV0ZT2XSpSU7wk', '6zd31HpApjec1ldpS1E4Xu', '63SGQVGRElERHTuljbqCsD', '6nBcD1J3L7qrgaEknTKNhv', '0Vy7fWzknPBpNTwJkGc7Sm', '6hjck7ERXicpsW51UkdHCA', '05Mp2UJulSttxQ4E6hQPH3']
187 Strassenbande	Bonez MC	11	['42HI1CnQ4meVfZCTSwZK0n', '5L56aF7d720ZaytO5UMEtb', '210azEodQSJ48zZrgxHsu8', '35GSwxl4LYtOATVIXqmAPA', '6mw02h3qbWmuq2bJCRjRAe', '63SGQVGRElERHTuljbqCsD', '4w5lLpNddC9X05bBxddqFT', '4iPjyH29Cw0PFQ7bR81fHf', '0Vy7fWzknPBpNTwJkGc7Sm', '7hCJgEQQqOlQrWQ9iOZ495', '3aDYo34VzVf2i8aJyJk0ca']
LX	Maxwell	10	['3ruUVcomUKxPlX8srBfMua', '70NqBF3w8WSv05KAD2Vz0F', '3KbCjPkewCmJt09FYtyVK5', '6zd31HpApjec1ldpS1E4Xu', '639uCLPslNZLSWWMenLli1', '63SGQVGRElERHTuljbqCsD', '7bT5tDmeOqa3e7EegiXfQr', '7yLypiPQQt7SPG7I26mq2l', '2wClcS0uXRVwUhuZBIVpQp', '5fzDpw2ecK1KghidsBVM4q']
187 Strassenbande	LX	10	['3ruUVcomUKxPlX8srBfMua', '5L56aF7d720ZaytO5UMEtb', '210azEodQSJ48zZrgxHsu8', '63SGQVGRElERHTuljbqCsD', '4w5lLpNddC9X05bBxddqFT', '2TUcc3b5gFgq7oaRJfrVZd', '7bT5tDmeOqa3e7EegiXfQr', '7hCJgEQQqOlQrWQ9iOZ495', '5fzDpw2ecK1KghidsBVM4q', '3aDYo34VzVf2i8aJyJk0ca']
Gzuz	Maxwell	9	['6OThGIkkHcL6cJ8nJawjpq', '1uGERQ2DVv7j9WSsWzOHVp', '1dAazGFelwADy9weYTniuB', '3KbCjPkewCmJt09FYtyVK5', '6zd31HpApjec1ldpS1E4Xu', '639uCLPslNZLSWWMenLli1', '3H25ywsvlV0ZT2XSpSU7wk', '3J3JcR6Akadd7R42qoqdhy', '0Vy7fWzknPBpNTwJkGc7Sm']
