artist_1	artist_2	count	song_ids
Columbine	Lujipeka	17	['5LcqAnzl3l6tU3gX97xdvr', '17y8kqTbNDd9QM3j6yln4g', '0nauWQtOaFKUtpLUMPyxmG', '1M4U4UhbLrsX6JFIziHDkc', '7tJxOGGsTtw7CbRWgUYCld', '6pbCwd97Z68YM9PUpMVyHG', '5gegBG8esqlmKnRmJnZxps', '62JVMdktO5BFoG5LDphZul', '4fz2eKxZLsqp3zbJIuUqKW', '4NK6D8GiarjU5inTO8FCsJ', '7jUjpnMND7rjZmwbEK4ypv', '7GsGnUGsEJhP2vLuuB7O5f', '1op3nCu1EYmenuL7GGu8fv', '6EiTuxMcy7AlXB87PwsuUQ', '2dvwhzSlsiTkk1CNEoHKBA', '1icidgr9oPc9EfCge3f4yd', '6Uk6MCdcT025QBTcXRFKDL']
Columbine	Foda C	14	['5LcqAnzl3l6tU3gX97xdvr', '17y8kqTbNDd9QM3j6yln4g', '0nauWQtOaFKUtpLUMPyxmG', '6pbCwd97Z68YM9PUpMVyHG', '62JVMdktO5BFoG5LDphZul', '1JO1Gd2pe4szngaZm8RS6r', '3MpJRc1mYYn42o4Z49EiBR', '4NK6D8GiarjU5inTO8FCsJ', '7jUjpnMND7rjZmwbEK4ypv', '4DcQabfOSmTEqFWCV5JWLE', '7GsGnUGsEJhP2vLuuB7O5f', '6EiTuxMcy7AlXB87PwsuUQ', '1Mufe4tTWAmmK15pV36gWE', '5uNb0ZPaGWBODAiDjZfMeW']
Foda C	Lujipeka	10	['5LcqAnzl3l6tU3gX97xdvr', '17y8kqTbNDd9QM3j6yln4g', '0nauWQtOaFKUtpLUMPyxmG', '6pbCwd97Z68YM9PUpMVyHG', '62JVMdktO5BFoG5LDphZul', '4NK6D8GiarjU5inTO8FCsJ', '7jUjpnMND7rjZmwbEK4ypv', '7GsGnUGsEJhP2vLuuB7O5f', '6EiTuxMcy7AlXB87PwsuUQ', '3z8SyZeXlCd9YX6HpkgxQT']
Kaaris	Sofiane	8	['4s7OqcUEyLJ1RkbzBopRGt', '7qWsMxgCMFyjlnvLMocf4p', '7a3bAVIQUT26MIdWSjHLec', '0C3xPsZORqZuJ217WBN83M', '0tTO8sPwWzlEh2CzUMFZE2', '7006NKCGUmFtdJJUSfhOIx', '47mLzPbWGQgUoX6OuVxZZY', '7d2wHUul70SChBL2mhgIwM']
Dadju	Maître Gims	5	['1XcnxfOeLvLPGh2Drr2yNb', '4z0IXsydGE0IpQnO2uOlKU', '3Saj2Z6EREWpbbXzERwYye', '7vaHVmMKvajDN4IwtNslnI', '3alSzdz0U10gV2aXVigYkT']
Kendrick Lamar	SZA	4	['3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y', '2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr']
Le Motel	Roméo Elvis	4	['1FA2zEZrny0KWchhx8CaHt', '7HGTYcZtkKPWbMxR3eXhBc', '6cfHjCMFEhFMO9Pus8pPNL', '1lqGmKAtGz2YPvYVS0DkhH']
Hornet La Frappe	Sofiane	4	['6U0p0b3ma0MgBwNc8i26xw', '4EHF7Oci5NJSlL34iucGJd', '20b6XMR9nGmtzO8CJ89VIn', '0bZXIae48CY5UZ6MKuNutR']
21 Savage	Post Malone	4	['2U7Hu2RaNQNRi7izoJyZaX', '0e7ipj03S05BNilyu5bRzt', '1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Post Malone	Swae Lee	3	['1A6OTy97kk0mMdm78rHsm8', '5VuxWXbt7XENQCtE9TzpTv', '3KkXRkHbMCARz0aVfEt68P']
Dj Leska	Vegedream	3	['19IXPRtUuKFwIqJSFPY8zz', '5Lh8rn501oEvsIJjPxNBhE', '6ariFR8E7Z4WhjS6riI1Yi']
Sofiane	Soolking	3	['196cSZjrDdgaJILT3cpfYl', '1GsAqsSOtQ0EWHm9E93eeD', '1HHsp5kLecAVxBtx0EStsT']
Maître Gims	Sofiane	3	['5kAo2XcHlt7x2eb8n42v1O', '5fuSDvNupEYnbjhZh8mQAq', '5dNqqkbIFBs8C3AcOdH7ov']
6ix9ine	Nicki Minaj	3	['1oJ8EDr2pv94IvSd6ZmDgo', '4QIyEq7TcTdAcxjI2AFlAK', '2E124GmJRnBJuXbTb4cPUB']
Hornet La Frappe	Ninho	3	['6U0p0b3ma0MgBwNc8i26xw', '1GOIfWQmA3Tp6GlwcCd35K', '0bZXIae48CY5UZ6MKuNutR']
Ninho	Sofiane	3	['1Fv767CH5YFrjo6HwzHnpR', '6U0p0b3ma0MgBwNc8i26xw', '0bZXIae48CY5UZ6MKuNutR']
Alonzo	Naps	3	['09hmx6pSWkUqb2dC9mpUoq', '0IyphZd1OKdse4IdjRSJsF', '62EcmivqkIJAVg99bZn3XW']
Mac Tyer	Sofiane	3	['0C3xPsZORqZuJ217WBN83M', '7a3bAVIQUT26MIdWSjHLec', '196cSZjrDdgaJILT3cpfYl']
Cardi B	Migos	3	['1YZfcVLbbJwfizR5cDOp3q', '2qcG0nZ6S3zZV0UrkY5nFo', '4wFjTWCunQFKtukqrNijEt']
Slimane	Vitaa	3	['6Xpz6pqDF5MwXN0gKKwv58', '1XcnxfOeLvLPGh2Drr2yNb', '4yjqpsuyrbjyXHB6rC0mWo']
Sofiane	Vald	3	['196cSZjrDdgaJILT3cpfYl', '6dotEcliwGD3yrJaUHO621', '2iVvukpWd7OX1n1LwUF5Rs']
Post Malone	Ty Dolla $ign	3	['7wrDRQgHlvDnimrRHfQZxt', '65NwOZqoXny4JxqAPlfxRF', '3swc6WTsr7rl9DqQKQA55C']
Kalash Criminel	Sofiane	3	['196cSZjrDdgaJILT3cpfYl', '4s7OqcUEyLJ1RkbzBopRGt', '0tTO8sPwWzlEh2CzUMFZE2']
Booba	Niska	3	['6T1ZfJ9Dg86lVcmVzPf4QE', '2r6C2IEw533mDs3sam5Zxx', '61TEjsLb7OlStCTpQfcHnC']
Diplo	LSD	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
