artist_1	artist_2	count	song_ids
Calvin Harris	Pharrell Williams	4	['6BaCraQ9xeLYg4Sb9TBT2X', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke', '1N90cV79gbBgO0bOs74Y0t']
Chance the Rapper	Lil Wayne	4	['0v9Wz8o0BT8DU38R4ddjeH', '1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Metro Boomin	Offset	3	['7sO5G9EABYOXQKNPNiE9NR', '6kig1UFggPUyZBCvXD3Wod', '5u6vkDnOyaf8LsteDAj2ub']
Donae'o	Giggs	3	['6OJ5jV3ClJbMgyZj6H5hK0', '6dh1aHKIyvpcOHEPWokza3', '19e7nxjjaxsdxJpUe0LYQQ']
Demi Lovato	Jax Jones	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Demi Lovato	Stefflon Don	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Jax Jones	Stefflon Don	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Calvin Harris	Travis Scott	3	['4KaIJ1FWXUoAAnOts1YWjD', '4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
DJ Khaled	Travis Scott	3	['4vv1KjUzPwrtDbozizSfQc', '7lxZbmtC6SkUc2yXBgDOdO', '6LOCAhFzZiavHcLJucLuDy']
Drake	WizKid	3	['1xznGGDReH1oQq0xzbwXa3', '2zYs4BonN2ydkbrRk333SN', '2f9LSU0aBW04w6KL26DW8r']
Kojo Funds	Mabel	3	['4QBoLRdwAL6jCh1G8WDuWt', '06BD7TeUR6mYbF6cWyzvZt', '6KfNna0zfHtWJJ803hFBWX']
MIMI	NEIKED	3	['4BATUkk8UMuiMb6lr5CH5G', '458ESscRcqCVX1xbllEmPn', '08QmhAybC6VHeG8gah84qA']
Jax Jones	RAYE	3	['7M16mAuWuFA5rC9HvkXaGx', '00lNx0OcTJrS3MKHcB80HY', '4WrS6vezaPwOafKJmHqMEU']
Matoma	The Vamps	3	['1yNyoWWWikbLhwIGWjZuDW', '4b4KcovePX8Ke2cLIQTLM0', '0dXNQ8dckG4eYfEtq9zcva']
Chance the Rapper	DJ Khaled	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Camila Cabello	Quavo	2	['3Ytr1SUCUi6J3L9dRFx5iH', '4xBjsLUSjcx2h7PcRikpQp']
Drake	Young Thug	2	['7bJ4mu7MHa3rHiNyKjOoSl', '0xl1w2q4VLojeXp4JfazPL']
