artist_1	artist_2	count	song_ids
Quavo	Travis Scott	9	['2bjwRfXMk4uRgOD9IBYl9h', '3Ytr1SUCUi6J3L9dRFx5iH', '4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
21 Savage	Metro Boomin	7	['0tdCy39PgWN8LFWu34ORn3', '7DuvVy7JfFgXwWlVzyyPys', '5u6vkDnOyaf8LsteDAj2ub', '2D2w9943rsnJOGCrI4aMQp', '0Gux2yTMWYOlcBUNjGJu5p', '6fwdbPMwP1zVStm8FybmkO', '4gmmRb6bZJffOOiww1JGTO']
Huncho Jack	Quavo	7	['4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Huncho Jack	Travis Scott	7	['4vwfOiyWxXeEdx4ejAJgdx', '6urLjX35oXXRYtcH1b3dCh', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Metro Boomin	Offset	4	['0tdCy39PgWN8LFWu34ORn3', '6kig1UFggPUyZBCvXD3Wod', '7sO5G9EABYOXQKNPNiE9NR', '5u6vkDnOyaf8LsteDAj2ub']
A Boogie Wit da Hoodie	Kodak Black	4	['5gx2E5aIXMRBellPZW1up5', '6Q2FftbUG530lCtBI74bMH', '1f5cbQtDrykjarZVrShaDI', '3LnOF5n1GOs01siYZXzS3p']
Chance the Rapper	Lil Wayne	4	['0v9Wz8o0BT8DU38R4ddjeH', '1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Big Sean	Metro Boomin	4	['3wAI7MIQtTgwcRmwchPZBc', '0Gux2yTMWYOlcBUNjGJu5p', '7DuvVy7JfFgXwWlVzyyPys', '0fWBFDRTIuk8ZgNdZqhCer']
Future	Young Thug	4	['06Gyf2pFDVmN5K8XAawG96', '2XdgSB4TtzUHQYCMfSHbFI', '7r6LNJT2LqpLpEyZQJPygt', '25oOaleife6E2MIKmFkPvg']
Demi Lovato	Jax Jones	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Demi Lovato	Stefflon Don	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Jax Jones	Stefflon Don	3	['2ytH5wDuqhgLTiDVYioteq', '6yf3MxEOScNBTYCHOAIiNQ', '0XfOi87h82i09rQjWYG0Bm']
Khalid	Lorde	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Khalid	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	Post Malone	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Lorde	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Post Malone	SZA	3	['69Naniu2KjKjaQOBUagE8U', '7rdUtXasA973gmrr2Xxh3E', '2rE9TX3VQ0WNt7kziFhKep']
Calvin Harris	Pharrell Williams	3	['6BaCraQ9xeLYg4Sb9TBT2X', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Travis Scott	3	['4KaIJ1FWXUoAAnOts1YWjD', '4vv1KjUzPwrtDbozizSfQc', '6LOCAhFzZiavHcLJucLuDy']
Bad Bunny	Yandel	3	['48yAM9xWBwT4Ac9G1y20rw', '3VClLWqNn80Llv0PJOsKgr', '1LszjjoVwDDZcWUQbzeDLG']
Gucci Mane	Migos	3	['1HTtUBEY3tuw2btgwwI2Ja', '1XRgIKC5TPwo7nWGyKqgG0', '6p8NuHm8uCGnn2Dtbtf7zE']
A$AP Rocky	Lana Del Rey	3	['03hqMhmCZiNKMSPmVabPLP', '5QqyRUZeBE04yJxsD1OC0I', '5JwLhFNrXw49pn3HQqu02G']
Chance the Rapper	DJ Khaled	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Camila Cabello	Quavo	2	['3Ytr1SUCUi6J3L9dRFx5iH', '4xBjsLUSjcx2h7PcRikpQp']
Drake	Young Thug	2	['7bJ4mu7MHa3rHiNyKjOoSl', '0xl1w2q4VLojeXp4JfazPL']
Daft Punk	The Weeknd	2	['5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
A$AP Rocky	Cardi B	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
A$AP Rocky	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
Cardi B	G-Eazy	2	['2DQ1ITjI0YoLFzuADN1ZBW', '2Xqd0wUttjueBfdcltADOv']
Beyoncé	DJ Khaled	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
Beyoncé	JAY-Z	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
DJ Khaled	JAY-Z	2	['7Fa5UNizycSms5jP3SQD3F', '3OoZagIW3YK8vjt0ws6NOI']
G-Eazy	Halsey	2	['5k38wzpLb15YgncyWdTZE4', '3YU6vJbjYUG0tiJyXf9x5V']
Major Lazer	MØ	2	['4WjH9Bzt3kx7z8kl0awxh4', '6DNtNfH8hXkqOX1sjqmI7p']
Bad Bunny	J Balvin	2	['0RFFFGtPn6a58RHY3ccVYX', '5hcisvFMidkMJlElTO9Qmw']
CNCO	Little Mix	2	['3zoYkqS4y2BsGVShPL2nTE', '5PB8zB1MOZASboLquvinMF']
Big Sean	Calvin Harris	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
