artist_1	artist_2	count	song_ids
Ariana Grande	Nicki Minaj	7	['1ZEm9cJC05rawV2tptNfTS', '1pKeFVVUOPjFsOABub0OaV', '4pLwZjInHj3SimIyN9SnOz', '5iZ4hcpCgFVijq5OOjBTKZ', '3L4GsGLgxpHieVQH86H8bv', '3SaIsrEzrQGDcG1jCeaK8q', '0sdbFOyfgAhAhWq8DpzkaW']
Kendrick Lamar	SZA	4	['3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y', '2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr']
Jonas Blue	William Singe	4	['761PG1zeRhlbO9fGJ2rraN', '0NiXXAI876aGImAd6rTj8w', '4UYYgQufzw5Ep8Vm4wMC61', '47OVNnZJzIkrsEiZ4n187p']
Kelsea Ballerini	The Chainsmokers	4	['4NBTZtAt1F13VvlSKe6KTl', '4edS9dC0JPBlSS4p4gMOT0', '15kQGEy89K8deJcZVFEn0N', '6LKYeyLt4G4SlZ6OJwFhVS']
BTS	Steve Aoki	4	['7Ed6BkggCS2KaKY5YlINaF', '2J0X46UkpfLlWbuCXFgDLr', '2r1T6xGTVaNAqBoPH4lZEE', '48XfojJC87VKLlUotYV0Gm']
21 Savage	Post Malone	4	['2U7Hu2RaNQNRi7izoJyZaX', '0e7ipj03S05BNilyu5bRzt', '1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Ariana Grande	Zedd	3	['1X2Zd5wKGbY1oKzb8dzJRy', '1T7Htpf1kEvU9Adf8J0ekk', '3emCzvUm5FsQnofdNQL73a']
Maroon 5	SZA	3	['3hBBKuWJfxlIlnd9QFoC8k', '0WdGQhoAP2LBsqr5Jhit2g', '0GxQ1A5L9xnMOytbP6eKBG']
Hugh Jackman	The Greatest Showman Ensemble	3	['5xNUR50KxswPRAvx7S163g', '43ay9lQZ5rfNcOOHhRF2cM', '3IkWmgGsXbsafrunwPojXO']
Daddy Yankee	Luis Fonsi	3	['6rPO02ozF3bM7NnOV4h6s2', '5CtI0qwDJkDQGwXD1H1cLb', '4aWmUDTfIPGksMNLV2rQP2']
Keala Settle	The Greatest Showman Ensemble	3	['5xNUR50KxswPRAvx7S163g', '43ay9lQZ5rfNcOOHhRF2cM', '2xGjteMU3E1tkEPVFBO08U']
Grey	Zedd	3	['6875MeXyCW0wLyT72Eetmo', '09IStsImFySgyp0pIQdqAc', '2ARqIya5NAuvFVHSN3bL0m']
Post Malone	Ty Dolla $ign	3	['7wrDRQgHlvDnimrRHfQZxt', '65NwOZqoXny4JxqAPlfxRF', '3swc6WTsr7rl9DqQKQA55C']
Emily Warren	The Chainsmokers	3	['5yNEdBlZMxpcVtGKz5NFk5', '3OtQmFLS5b3pTgIf44GQFJ', '5hrXLJJrnKraxRQntH0Vv9']
Drake	Michael Jackson	2	['36ONiya0OANYknz0GgJmwB', '6G8kHiVZ1jW7vHMPVRNZU0']
Post Malone	Swae Lee	2	['1A6OTy97kk0mMdm78rHsm8', '3KkXRkHbMCARz0aVfEt68P']
Ryan Riback	Starley	2	['3R8lr1Y1kPgXEbnXkcMMlT', '78rIJddV4X0HkNAInEcYde']
EK	Hikaru Utada	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
EK	Suboi	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
EK	XZT	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
Hikaru Utada	Suboi	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
Hikaru Utada	XZT	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
Suboi	XZT	2	['6IbL0KVU8N64iNWZ3ozRo9', '1j0gnUsr5Txd8Oq4wbzlRg']
