artist_1	artist_2	count	song_ids
Quavo	Travis Scott	16	['2bjwRfXMk4uRgOD9IBYl9h', '3Ytr1SUCUi6J3L9dRFx5iH', '11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '53MHr9cjIlwet0mpmqNvjC', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL', '2hIFuoXhzcZGvmdtSE35lc']
Huncho Jack	Quavo	13	['11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL', '2hIFuoXhzcZGvmdtSE35lc']
Huncho Jack	Travis Scott	13	['11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL', '2hIFuoXhzcZGvmdtSE35lc']
21 Savage	Metro Boomin	12	['7vbjH8laThXpcBXeLNPm3M', '6m6Oy3F6GG0zRwH03rWmTv', '0tdCy39PgWN8LFWu34ORn3', '7DuvVy7JfFgXwWlVzyyPys', '5u6vkDnOyaf8LsteDAj2ub', '2D2w9943rsnJOGCrI4aMQp', '0Gux2yTMWYOlcBUNjGJu5p', '3oxCefEI6Tc6Z6t20J4IvH', '6fwdbPMwP1zVStm8FybmkO', '6HR1z11h0ROUlWP4Kx8Z7G', '4gmmRb6bZJffOOiww1JGTO', '7vg47qMIEdLfNdTE3WLf0T']
Metro Boomin	Offset	10	['6m6Oy3F6GG0zRwH03rWmTv', '0tdCy39PgWN8LFWu34ORn3', '7sO5G9EABYOXQKNPNiE9NR', '3JWh19WsndEFg0UFRFeTiU', '7LAhKXDNWwq3CmnFP3UIOP', '5u6vkDnOyaf8LsteDAj2ub', '3oxCefEI6Tc6Z6t20J4IvH', '6HR1z11h0ROUlWP4Kx8Z7G', '6kig1UFggPUyZBCvXD3Wod', '7vg47qMIEdLfNdTE3WLf0T']
Future	Young Thug	10	['2ya9d4B06EQ8Fpj5SSqiTH', '25oOaleife6E2MIKmFkPvg', '7r6LNJT2LqpLpEyZQJPygt', '2XdgSB4TtzUHQYCMfSHbFI', '06Gyf2pFDVmN5K8XAawG96', '5b06JZjts6dgyyuY1m7roq', '4W598w0KcHVG5Nwqk0qMpj', '1wWRtPIKD7ZNvtsrzLyTev', '1OwNWr75pNTyhifOTT0uIG', '1KF7iLK6wK3hjjtqxjRiym']
Big Sean	Metro Boomin	8	['5cHorcEr5z7GC0DjKxiWF1', '0fWBFDRTIuk8ZgNdZqhCer', '42XnD59SFcomCJu55EPhqJ', '3wAI7MIQtTgwcRmwchPZBc', '7dHui7yOhsoj7HdWSuJTW7', '7DuvVy7JfFgXwWlVzyyPys', '0Gux2yTMWYOlcBUNjGJu5p', '6Vur2D5ks3pdAZqqmLIeab']
21 Savage	Offset	7	['6m6Oy3F6GG0zRwH03rWmTv', '1tyjWMMINb9S0YBynTvJ7s', '0tdCy39PgWN8LFWu34ORn3', '5u6vkDnOyaf8LsteDAj2ub', '3oxCefEI6Tc6Z6t20J4IvH', '6HR1z11h0ROUlWP4Kx8Z7G', '7vg47qMIEdLfNdTE3WLf0T']
A Boogie Wit da Hoodie	Kodak Black	6	['5gx2E5aIXMRBellPZW1up5', '6Q2FftbUG530lCtBI74bMH', '4YkwUfWSIxdKNLDXw0caFO', '1f5cbQtDrykjarZVrShaDI', '5de7ci7TFqbQ1PFgKAD7MR', '3LnOF5n1GOs01siYZXzS3p']
Chance the Rapper	Lil Wayne	4	['0v9Wz8o0BT8DU38R4ddjeH', '1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
A$AP Mob	A$AP Rocky	4	['59e7E2LMPZ2bhW5G6aCwX8', '3LyNsopPP3hXf8bZBE7cDk', '6kl1qtQXQsFiIWRBK24Cfp', '4pdgV8qr9Oytcv6thCdiIZ']
Frank Ocean	Tyler, The Creator	4	['4bEcoz1OcfMgUbp2ft8ieQ', '6KuXb26rHuRy3ZDse1VRmx', '1pGAvZo2axYXAXYiSeYEqY', '2q0VexHJirnUPnEOhr2DxK']
Chance the Rapper	DJ Khaled	4	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817', '6DxqrwlrHERRkUw9yXIGjd']
Chance the Rapper	Justin Bieber	4	['1jYiIOC5d6soxkJP81fxq2', '3eze1OsZ1rqeXkKStNfTmi', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
