source	target	weight	avg_streams
pop rap	rap	193	3295463.2934782607
hip hop	rap	177	3524193.661764706
rap	trap	176	4121208.662650602
dance pop	pop	172	4745565.904761905
pop	pop	171	5379896.9489051085
rap	rap	166	3519700.545454545
pop	post-teen pop	162	5190373.504672897
pop	pop rap	119	3323070.794871795
pop rap	trap	113	3170594.516129032
pop	rap	98	2966701.634920635
hip hop	pop rap	93	3835655.698113208
pop	tropical house	92	4096973.283333333
rap	underground hip hop	87	358301.1
rap	southern hip hop	82	3152056.1372549017
electropop	pop	80	5377529.5625
dance pop	post-teen pop	79	5319084.31372549
melodic rap	rap	76	3439192.5777777783
hip hop	trap	74	3498797.3953488367
pop rap	pop rap	67	4214240.18
edm	pop	66	3378556.047619048
dance pop	tropical house	62	3559964.7619047617
atl hip hop	rap	59	3715618.857142857
melodic rap	trap	57	4571991.292682927
pop	trap	57	2397144.447368421
hip hop	underground hip hop	56	220079.0
dance pop	pop rap	54	3868757.5853658537
melodic rap	pop rap	51	3085535.4358974365
post-teen pop	tropical house	50	3910672.697674419
pop rap	southern hip hop	50	3711090.8857142855
hip hop	hip hop	48	3364917.125
trap	trap	48	2712600.2162162163
dance pop	edm	47	3344425.7741935486
hip hop	pop	47	2946014.0
dance pop	dance pop	46	3567056.578947368
dance pop	rap	44	2714536.733333333
pop	uk pop	39	6480033.84375
pop rap	post-teen pop	39	4510393.454545454
electropop	post-teen pop	38	5862584.125
southern hip hop	trap	38	2730197.0
post-teen pop	post-teen pop	37	6447816.885714286
atl hip hop	pop rap	36	2691755.2413793104
dance pop	electropop	35	5327583.862068965
rap	vapor trap	35	651721.5
underground hip hop	underground hip hop	33	221566.66666666663
hip hop	southern hip hop	33	4316743.944444444
edm	post-teen pop	32	3599844.5185185187
atl hip hop	trap	30	2562455.166666666
underground hip hop	vapor trap	30	221566.66666666663
nc hip hop	rap	29	2155149.0
miami hip hop	rap	29	2826027.916666666
electropop	tropical house	28	4210055.055555556
melodic rap	pop	28	2687726.958333333
edm	tropical house	27	3266339.6875
hip hop	melodic rap	27	3679710.130434783
electro house	pop	27	2858898.9545454546
pop	r&b	26	3982537.05
canadian pop	pop	26	6988091.2272727275
post-teen pop	rap	26	3292086.3157894737
conscious hip hop	rap	25	3391530.4285714286
atl hip hop	hip hop	25	2306209.111111111
atl trap	rap	24	4049676.0
dance pop	trap	24	2156933.45
cali rap	rap	24	2547407.6
pop	uk dance	24	4905139.733333333
hip hop	vapor trap	24	665624.0
pop	southern hip hop	24	1957701.9444444443
alternative r&b	pop	23	8863362.111111112
rap	trap soul	23	3798372.7142857136
trap	underground hip hop	22	491865.2
dance pop	uk pop	21	5400516.4117647065
dance pop	uk dance	21	2585059.75
house	pop	21	4880827.454545454
electropop	electropop	20	7754668.714285715
gangster rap	rap	20	4223676.5
latin	pop	20	1768729.3846153843
dfw rap	rap	20	4382874.9375
pop rap	r&b	20	2894213.2857142864
pop rap	underground hip hop	20	369540.1428571429
dfw rap	trap	19	7754630.705882353
queens hip hop	rap	19	825835.1666666665
melodic rap	southern hip hop	19	2664314.222222222
hip hop	nc hip hop	18	220079.0
tropical house	uk pop	18	4520346.642857143
r&b	rap	18	3352334.533333333
canadian pop	rap	18	5735978.785714285
post-teen pop	uk pop	18	7348357.94117647
nc hip hop	underground hip hop	18	220079.0
post-teen pop	trap	18	2988283.4375
trap soul	underground hip hop	18	199120.0
tropical house	tropical house	17	3259051.1333333333
pop	reggaeton	17	1955430.4545454544
edm	pop rap	17	2029889.25
edm	uk pop	17	4428278.785714285
canadian hip hop	rap	17	5138466.214285715
rap	toronto rap	17	5448578.076923077
atl hip hop	pop	17	1397822.642857143
latin	pop rap	16	1885888.583333333
conscious hip hop	hip hop	16	1422197.4444444443
cali rap	trap	16	2547407.6
atl hip hop	southern hip hop	16	2396119.0625
dance pop	house	16	1391590.375
dance pop	electro house	16	2093044.9230769232
pop rap	tropical house	16	2151580.923076923
edm	electropop	15	3710115.833333334
melodic rap	melodic rap	15	2919954.3076923075
rap	sudanese pop	15	221566.66666666663
atl trap	hip hop	15	2662913.4285714286
atl hip hop	melodic rap	15	5373329.142857143
dance pop	hip hop	15	3990206.222222222
canadian hip hop	pop rap	15	6443188.230769231
canadian pop	pop rap	15	5987290.0
miami hip hop	trap	15	2585905.666666666
pop rap	uk pop	15	4633086.5
canadian hip hop	trap	15	4049275.0
pop rap	reggaeton	14	2114691.6
cali rap	pop rap	14	2547407.6
dfw rap	pop rap	14	4296312.769230769
contemporary country	pop	14	7118883.818181817
hip hop	post-teen pop	14	2705527.9
dirty south rap	rap	14	3374614.5555555555
toronto rap	trap	14	4316753.454545454
latin	rap	13	2269505.333333333
rap	reggaeton	13	2269505.333333333
