source	target	weight	avg_streams
funk carioca	funk carioca	114	24777430.0
baile pop	funk carioca	96	23836087.93617021
brazilian hip hop	brazilian hip hop	81	16590930.666666664
funk carioca	funk ostentacao	71	19280697.63414634
brazilian hip hop	trap brasileiro	68	16487024.0
sertanejo pop	sertanejo universitario	62	17388833.836734693
brazilian hip hop	funk carioca	60	17109379.733333334
brazilian edm	funk carioca	48	21246236.852941174
dance pop	pop	48	7079251.6
pop	post-teen pop	48	7691714.0
funk carioca	pop nacional	47	18577492.257142857
pop	pop	45	8807505.885714285
funk carioca	funk das antigas	38	24690048.91666667
sertanejo universitario	sertanejo universitario	36	22704688.38888889
funk carioca	pagode baiano	35	23493935.19047619
brazilian edm	brazilian hip hop	35	17142396.384615384
funk carioca	sertanejo universitario	32	18595859.9375
sertanejo	sertanejo universitario	32	20100190.6
baile pop	pop nacional	32	19099972.791666668
brazilian hip hop	pop nacional	31	18605149.08333333
baile pop	baile pop	30	20302306.63157895
pop	pop rap	27	4121646.1
brazilian hip hop	rap baiano	26	25593232.0
dance pop	post-teen pop	26	8878814.11764706
funk carioca	sertanejo pop	25	19706317.33333333
funk carioca	trap brasileiro	25	18772277.33333333
brega funk	funk carioca	25	25410108.05882353
brazilian hip hop	r&b brasileiro	24	14409821.636363635
baile pop	pagode baiano	22	25078102.28571429
sertanejo	sertanejo pop	22	17340753.40909091
latin	reggaeton	22	5287706.0
brazilian edm	pop nacional	21	14881508.214285715
brazilian hip hop	funk ostentacao	21	16296713.5
baile pop	funk das antigas	20	22006235.307692308
pop	rap	20	3815214.1333333324
baile pop	brazilian hip hop	20	18991370.85714286
baile pop	funk ostentacao	20	17900165.411764707
sertanejo pop	sertanejo pop	19	18851223.842105266
brazilian edm	brazilian edm	19	14639244.266666668
dance pop	pop rap	18	3522496.5
funk ostentacao	funk ostentacao	17	15210561.866666667
brazilian edm	funk ostentacao	17	22061220.64285714
pagode	sertanejo universitario	15	20872973.133333333
afrofuturismo brasileiro	funk carioca	15	14050472.833333336
dance pop	dance pop	15	8688785.266666668
trap brasileiro	trap brasileiro	15	19727755.5
pop nacional	pop nacional	14	16616802.285714285
funk das antigas	pop nacional	14	21732841.307692308
pagode baiano	pop nacional	14	22485680.769230768
electro house	pop	14	4483445.888888889
