source	target	weight	avg_streams
pop rap	rap	591	2710974.662835249
rap	trap	583	2954909.8625
pop rap	trap	476	2435184.2037037043
hip hop	rap	459	2816253.215
rap	rap	369	2837403.362869198
hip hop	pop rap	362	2447146.247058824
rap	southern hip hop	348	2652337.505882353
hip hop	trap	336	2675298.813253012
southern hip hop	trap	284	2207223.3928571427
pop rap	southern hip hop	279	2641566.14084507
trap	trap	246	2122633.7668711655
pop rap	pop rap	245	2318564.848837209
pop	pop rap	238	2709132.5285714287
atl hip hop	rap	236	2694873.459677419
dance pop	pop	223	3645759.3157894737
melodic rap	rap	220	2118189.43939394
hip hop	southern hip hop	220	2827870.462962963
pop	rap	218	3229183.272727273
melodic rap	trap	198	2528645.6141732284
pop	pop	193	4014678.949640288
atl hip hop	pop rap	192	2525440.297297297
atl hip hop	trap	185	2107530.673469388
pop	post-teen pop	184	3500525.4678899082
hip hop	hip hop	163	2747754.314814815
melodic rap	pop rap	162	2192015.171171171
atl hip hop	hip hop	148	2563290.511627907
pop	trap	146	2321822.0804597703
hip hop	pop	143	2467892.1827956988
dance pop	pop rap	136	2501866.466666667
atl hip hop	southern hip hop	121	2156089.342465753
dance pop	post-teen pop	118	2893012.864864865
pop	tropical house	113	3769048.8767123288
dance pop	rap	110	2945159.805194805
pop rap	post-teen pop	105	3019792.729729729
hip hop	melodic rap	101	2706570.108108108
melodic rap	southern hip hop	100	2220680.743589744
edm	pop	99	3754510.78125
pop	southern hip hop	88	2018246.5535714286
post-teen pop	rap	86	3352356.25
atl hip hop	melodic rap	85	1926509.1176470588
electropop	pop	85	2683893.875
gangster rap	rap	82	1882214.0444444444
southern hip hop	southern hip hop	79	2074112.865671642
dance pop	trap	78	2668898.543859649
dance pop	tropical house	76	3486200.18
dance pop	dance pop	71	2889219.947368421
gangster rap	hip hop	70	2389515.090909091
dance pop	hip hop	68	1966792.12244898
dance pop	edm	68	3653875.333333334
east coast hip hop	hip hop	66	1429623.1428571432
post-teen pop	tropical house	65	2782600.096153846
canadian hip hop	rap	65	3903056.78
east coast hip hop	hardcore hip hop	65	325755.0
east coast hip hop	rap	60	2461376.4736842103
hardcore hip hop	hip hop	60	1400328.5
gangster rap	pop rap	59	1970835.0277777773
post-teen pop	trap	59	2900071.666666666
atl hip hop	pop	59	2830078.6363636362
r&b	rap	57	2787343.5238095243
hip hop	post-teen pop	56	2487150.0512820515
latin	reggaeton	56	5228930.090909091
canadian hip hop	trap	55	3551706.6818181816
rap	underground hip hop	55	1807412.1025641025
edm	post-teen pop	55	3071685.1590909087
rap	toronto rap	54	4077771.3720930233
pop rap	r&b	52	2282693.375
canadian hip hop	pop rap	51	2344018.9285714286
gangster rap	trap	51	1992081.1212121209
melodic rap	pop	49	3725099.4102564105
miami hip hop	rap	47	3250367.272727273
dance pop	electropop	45	2775546.916666666
dance pop	southern hip hop	45	1410946.96875
chicago rap	rap	44	2284182.363636364
gangster rap	southern hip hop	44	1985662.2
trap	underground hip hop	44	1811187.8484848484
hardcore hip hop	rap	44	1415420.75
atl hip hop	atl hip hop	43	1099733.657142857
electropop	post-teen pop	43	2680331.2571428567
toronto rap	trap	43	3773165.8857142855
hip hop	r&b	43	1673668.0
post-teen pop	post-teen pop	42	2832574.375
pop rap	underground hip hop	42	1812720.8571428568
melodic rap	melodic rap	40	1676104.0789473685
