source	target	weight	avg_streams
german hip hop	german hip hop	436	5070276.315789473
deep german hip hop	german hip hop	244	5091224.793103448
dance pop	pop	208	7221757.462962963
pop	pop	179	7492954.766129033
pop	post-teen pop	151	6467377.989247313
pop	pop rap	145	6769015.608108108
pop rap	rap	142	4683150.452054795
german cloud rap	german hip hop	141	4600956.662162161
pop	tropical house	137	7913404.08045977
german hip hop	hamburg hip hop	129	7824134.070175437
rap	trap	125	5245865.878787879
pop	rap	125	5949964.366197183
edm	pop	121	7945602.16
hip hop	rap	109	4250070.444444444
pop rap	trap	98	4561163.730769231
dance pop	post-teen pop	97	6066049.463768116
dance pop	pop rap	94	6650474.719298245
rap	rap	90	5078984.089552239
dance pop	tropical house	89	7466086.746031746
hip hop	pop rap	89	4511694.279069767
german hip hop	german pop	85	4986448.017857143
dance pop	edm	77	7985351.52631579
hip hop	pop	76	4540516.906976745
hip hop	trap	73	4356487.205882353
electropop	pop	71	3848891.5777777773
pop	trap	71	4397885.027027027
pop rap	post-teen pop	70	6577019.87755102
dance pop	rap	66	6330218.731707318
rap	southern hip hop	66	4969101.763157895
latin	reggaeton	65	9191680.1
dance pop	dance pop	64	7388871.62962963
post-teen pop	tropical house	62	5883955.407407408
edm	tropical house	61	6233719.916666668
albanian hip hop	german hip hop	60	5328402.179487179
pop rap	pop rap	60	5403303.780487805
edm	post-teen pop	57	6669693.895833332
pop rap	southern hip hop	56	5558204.090909091
post-teen pop	rap	55	5616740.5
trap	trap	50	4403408.866666666
southern hip hop	trap	50	4450467.708333333
deep german hip hop	hamburg hip hop	47	8188799.666666668
dance pop	trap	44	5384671.46875
pop	southern hip hop	44	3640712.08
electro house	pop	43	6475973.454545454
deep german hip hop	deep german hip hop	40	4059953.4375
atl hip hop	rap	40	5412237.333333333
hip hop	southern hip hop	40	4214395.571428572
melodic rap	trap	37	5508544.931034483
dance pop	electropop	36	3834713.333333334
hip hop	hip hop	36	3398101.1481481483
tropical house	tropical house	35	6902983.677419355
dance pop	hip hop	35	4421088.0
post-teen pop	trap	34	5146580.740740742
edm	pop rap	34	7373132.44
latin	latin	34	9191680.1
pop	uk pop	34	11285753.576923074
deep german hip hop	german cloud rap	33	4692939.391304348
pop rap	tropical house	33	7134183.7272727275
hip hop	post-teen pop	33	4259309.416666667
latin	latin hip hop	33	6393893.0
electropop	post-teen pop	32	4312819.923076923
atl hip hop	pop rap	32	4835698.6
latin	tropical	32	6673176.333333332
atl hip hop	pop	31	4662989.55
reggaeton	reggaeton	31	11510254.0
melodic rap	rap	30	5446876.727272728
latin hip hop	reggaeton	30	8353057.0
reggaeton	tropical	29	6657430.875
post-teen pop	post-teen pop	28	7399761.692307693
german pop	german pop	26	3961573.458333334
edm	edm	26	5466213.681818182
big room	pop	26	6011228.368421053
pop	uk dance	26	10903917.954545457
dance pop	southern hip hop	26	3573712.333333333
pop	progressive house	25	9926013.94117647
dance pop	uk pop	25	10142555.045454543
big room	edm	24	6841983.235294118
house	pop	24	7165438.94117647
tropical house	uk pop	24	11387537.578947367
german alternative rap	german hip hop	23	1883936.4285714286
latin	trap latino	23	8969280.4
latin	pop	23	11820838.307692308
electropop	tropical house	23	2522321.1764705884
latin	reggaeton flow	23	4011563.333333334
big room	tropical house	22	6866110.294117647
dance pop	electro house	22	6952904.684210528
edm	electro house	22	5450408.5
electro house	tropical house	22	5232792.8125
pop	pop edm	22	5887757.75
edm	rap	22	5127214.533333333
rap	tropical house	22	4130618.1538461535
melodic rap	pop rap	22	4223100.722222222
reggaeton	trap latino	22	9511815.5
edm	uk pop	22	11743454.888888888
atl hip hop	hip hop	22	3372262.8125
reggaeton	reggaeton flow	22	2617775.0
german cloud rap	hamburg hip hop	21	6960670.125
post-teen pop	southern hip hop	21	3899023.611111112
melodic rap	pop	21	6785922.0
edm	electropop	21	2852717.611111112
hamburg hip hop	hamburg hip hop	20	9769660.461538462
big room	dance pop	20	6523488.4375
electro house	post-teen pop	20	3476403.578947368
post-teen pop	uk dance	20	9853143.789473685
r&b	rap	20	4867788.666666667
german hip hop	german underground rap	20	1829608.636363636
atl hip hop	trap	20	5487489.125
albanian hip hop	deep german hip hop	19	6225504.3125
german hip hop	german trap	19	3200872.1818181816
german cloud rap	german pop	19	1416413.8823529412
australian pop	pop	19	5478797.5
dance pop	uk dance	19	11505822.5
alternative r&b	pop	19	8048502.461538463
pop	reggaeton	19	11492856.727272727
pop	urban contemporary	19	5920357.571428573
deep german hip hop	german pop	18	1636543.4
australian dance	pop	18	5772697.222222223
edm	pop edm	18	8248785.857142857
edm	trap	18	3801750.7142857136
trap	tropical house	18	4046244.7692307686
hip hop	melodic rap	18	4957661.928571428
miami hip hop	rap	18	5755750.833333332
canadian pop	hip hop	18	3524900.230769232
canadian pop	rap	18	4731529.0
moombahton	pop	17	2927498.125
dance pop	pop edm	17	6551156.2
pop edm	tropical house	17	8560334.307692308
atl hip hop	dance pop	17	5660842.466666668
pop rap	r&b	17	4274567.5
dance pop	latin	17	10922376.272727273
pop	progressive electro house	17	14060809.583333336
pop rap	urban contemporary	17	6947667.0
german pop	german rock	16	2290307.2
dance pop	progressive house	16	9853330.727272727
edm	progressive house	16	6880966.6
bmore	pop	16	3272891.4285714286
ninja	pop	16	3272891.4285714286
rap	urban contemporary	16	5457195.7
german hip hop	german rock	15	2290307.2
albanian hip hop	albanian hip hop	15	7098697.333333332
progressive house	tropical house	15	7565536.555555556
conscious hip hop	pop	15	4628849.416666667
conscious hip hop	rap	15	3680518.222222222
dance pop	house	15	6226185.833333332
house	tropical house	15	5313511.75
electro house	rap	15	4458030.0
atl hip hop	post-teen pop	15	5127447.733333333
electropop	pop rap	15	7257666.7272727275
german alternative rap	german pop	14	1112806.2307692308
christlicher rap	german hip hop	14	3740461.0
german cloud rap	german cloud rap	14	4606499.714285715
dfw rap	trap	14	8240533.714285715
deep big room	tropical house	14	7328754.090909091
deep big room	pop	14	5677628.3
dirty south rap	pop rap	14	3606281.3
dirty south rap	rap	14	3606281.3
melodic rap	southern hip hop	14	4672350.142857143
latin hip hop	trap latino	14	2063016.0
dance pop	reggaeton	14	10321851.666666666
pop	r&b	14	6593984.0
miami hip hop	trap	14	4322944.545454546
atl hip hop	southern hip hop	14	3484041.6923076925
conscious hip hop	pop rap	13	4106779.0
deep big room	edm	13	7328754.090909091
electro house	pop rap	13	1850641.666666667
contemporary country	pop	13	6964407.75
canadian pop	pop	13	4830476.75
chicago rap	rap	13	4686872.111111111
