source	target	weight	avg_streams
french hip hop	pop urbaine	282	3109346.7096774187
dance pop	pop	151	4762664.0
french hip hop	french hip hop	143	3219039.9540229887
pop urbaine	pop urbaine	139	3230945.9
pop	pop rap	124	3688547.614035088
french hip hop	rap francais	122	2854958.0576923075
pop urbaine	rap francais	120	2874049.211538461
francoton	french hip hop	116	2909613.0
francoton	pop urbaine	115	2920103.033898305
pop rap	rap	105	2728083.620689655
pop	pop	102	4744501.7625
pop	rap	99	2948992.0
pop	tropical house	94	4808639.142857143
hip hop	rap	85	2455850.1481481483
hip hop	pop rap	84	3145922.5185185187
hip hop	pop	83	2888754.904761905
french hip hop	rap conscient	82	4416246.478260869
pop urbaine	rap conscient	80	4495345.022222222
dance pop	pop rap	80	4136982.382978723
pop	post-teen pop	78	5245373.283018868
dance pop	tropical house	77	4696429.760869565
rap	trap	77	3207678.666666666
edm	pop	76	4679469.462962963
pop rap	trap	75	3827900.423076923
pop	trap	70	3993991.09375
dance pop	post-teen pop	62	5538921.975609756
dance pop	edm	61	4729150.857142857
hip hop	trap	61	3008396.380952381
dance pop	dance pop	57	5058363.720930233
dance pop	rap	57	3501302.2058823523
pop rap	post-teen pop	56	4233784.486486486
pop rap	pop rap	55	3309122.52
rap	rap	55	2583824.4074074067
pop	southern hip hop	47	3295484.0740740737
dance pop	hip hop	46	3646370.6551724137
french pop	pop urbaine	43	1827159.2
dance pop	trap	43	4623759.461538462
post-teen pop	rap	42	3551975.1
pop rap	southern hip hop	40	3118671.0
edm	tropical house	39	3904534.961538462
post-teen pop	tropical house	39	5510175.294117647
french hip hop	french pop	39	1712338.333333333
rap	southern hip hop	39	2134511.0
electro house	pop	39	3697185.1333333324
edm	post-teen pop	38	5790324.878787879
hip hop	post-teen pop	37	3569623.962962963
electropop	pop	37	4530398.678571428
atl hip hop	rap	35	2723253.3684210526
francoton	rap conscient	35	4709930.291666667
pop urbaine	rap marseille	35	1068817.2777777778
french hip hop	rap calme	35	1193066.6470588236
hip hop	hip hop	33	2193320.923076923
rap francais	rap francais	32	2449013.391304348
dance pop	electro house	31	3896985.2
pop urbaine	rap calme	31	1193066.6470588236
francoton	rap francais	31	2688822.25
atl hip hop	pop	30	3625864.2
rap conscient	rap francais	29	3870365.7619047617
tropical house	tropical house	29	3684352.08
hip hop	southern hip hop	29	1966830.5
post-teen pop	trap	29	5080078.0476190485
southern hip hop	trap	29	3382354.666666666
atl hip hop	pop rap	28	1945012.666666667
french hip hop	rap marseille	28	1344206.8823529412
dance pop	southern hip hop	28	3860913.777777778
pop rap	tropical house	27	4924361.0
francoton	francoton	26	2162895.25
francoton	french pop	26	2103261.166666666
trap	trap	25	3382354.666666666
edm	pop rap	25	5147900.6315789465
pop	uk dance	24	4742941.315789473
atl hip hop	hip hop	24	2168024.5384615385
melodic rap	rap	24	3349753.8666666667
dance pop	electropop	24	4253742.45
pop rap	urban contemporary	23	4479880.333333333
rap	urban contemporary	23	2614951.230769231
electropop	tropical house	23	3643642.277777778
canadian pop	rap	20	2252868.888888889
pop	uk pop	19	6364574.647058822
hip hop	urban contemporary	19	3415852.538461538
canadian pop	pop rap	19	2541836.777777778
melodic rap	pop rap	19	3009514.166666666
pop	urban contemporary	19	5193980.545454546
edm	electropop	19	4094761.125
pop	progressive house	19	3656741.8
rap francais	rap marseille	19	1130255.8461538462
dance pop	uk dance	18	5097723.076923077
atl hip hop	dance pop	18	3931425.0
