source	target	weight	avg_streams
dance pop	pop	289	10654011.856115108
pop	pop rap	219	8921152.796460178
pop	rap	192	7121890.81
pop	pop	189	10900446.44055944
pop rap	rap	184	6680654.09375
pop	post-teen pop	160	12024508.221153844
dance pop	pop rap	158	9493495.568421053
pop	tropical house	155	11453585.55670103
hip hop	rap	146	6967049.269230769
hip hop	pop	135	7385486.012820512
hip hop	pop rap	133	7950073.666666668
dance pop	tropical house	128	11167535.308641976
rap	trap	126	8469385.56
pop	trap	124	8818808.712121213
pop rap	trap	122	8922863.673076924
dance pop	rap	122	8018136.232876712
dance pop	post-teen pop	121	12847223.567901235
edm	pop	116	11441589.26744186
dance pop	dance pop	109	11552364.638554215
rap	rap	100	6350382.736842105
pop rap	post-teen pop	95	11062723.676470587
dance pop	edm	93	11546710.914285716
hip hop	trap	92	7772159.230769231
pop rap	pop rap	90	8656483.739130436
dance pop	hip hop	85	8347966.403508772
pop	southern hip hop	85	7386965.892857143
dance pop	trap	85	9512480.0
rap	southern hip hop	75	6088399.361111111
post-teen pop	tropical house	74	13292311.492063493
post-teen pop	rap	71	9584876.867924528
pop rap	southern hip hop	70	8321159.324324325
electropop	pop	70	11238790.645833334
edm	post-teen pop	63	13979261.859649125
dance pop	southern hip hop	59	6790447.214285715
electro house	pop	58	9054352.891304348
hip hop	post-teen pop	56	9805441.744186046
hip hop	hip hop	55	5343243.24137931
pop rap	tropical house	54	9271900.0
grime	uk hip hop	54	4877290.875
atl hip hop	pop	54	9070259.685714286
atl hip hop	rap	53	9040635.1
hip hop	southern hip hop	52	5106821.607142857
edm	tropical house	52	12402179.567567568
pop	uk dance	50	11481999.578947367
dance pop	electro house	49	9382750.975
post-teen pop	trap	48	11554036.256410254
edm	pop rap	47	10724018.914285714
atl hip hop	pop rap	47	6279521.925925926
southern hip hop	trap	43	10199492.954545457
rap	urban contemporary	43	7080733.230769231
dance pop	electropop	43	12282109.689655172
tropical house	tropical house	41	11216030.91891892
pop	urban contemporary	41	10444662.24137931
pop	uk pop	40	13784506.705882356
pop rap	urban contemporary	40	9660700.52
house	pop	37	7461701.851851853
trap	trap	37	9771645.08695652
atl hip hop	dance pop	37	9610560.827586208
dance pop	uk dance	36	11537327.814814815
rap	tropical house	35	8730197.6
electropop	tropical house	35	8855745.833333334
hip hop	urban contemporary	34	8103256.407407408
dance pop	urban contemporary	34	9553277.8
post-teen pop	post-teen pop	34	13067480.26470588
atl hip hop	hip hop	33	7586826.05
edm	rap	33	8737590.875
dance pop	uk pop	33	12786347.193548387
pop	r&b	33	6403374.296296298
r&b	rap	33	5619593.681818182
electro house	pop rap	32	7621656.954545454
trap	tropical house	32	8859858.16
uk hip hop	uk hip hop	31	5257597.0
melodic rap	pop	31	12996801.705882356
pop	progressive house	30	8414696.956521738
canadian pop	rap	30	7293866.111111111
post-teen pop	southern hip hop	30	9718343.51724138
electro house	rap	29	7428356.857142857
electro house	post-teen pop	29	11293451.965517245
electropop	post-teen pop	29	13718899.608695652
melodic rap	rap	29	13325266.368421055
dance pop	r&b	29	6548019.083333332
pop rap	uk dance	28	8596002.578947369
canadian pop	pop rap	28	8793713.3125
edm	trap	28	9153844.956521738
dance pop	house	27	7403230.95
pop rap	r&b	27	8438195.277777778
house	pop rap	26	7233620.05882353
melodic rap	pop rap	26	11669847.611111112
hip hop	r&b	26	5199111.476190477
southern hip hop	tropical house	26	6007158.857142857
post-teen pop	uk dance	25	15063534.333333336
pop rap	progressive house	24	7170235.0
atl hip hop	trap	24	5876797.0
dirty south rap	rap	24	10352199.307692308
tropical house	uk pop	24	14558133.739130436
canadian pop	trap	24	6369626.4
hip hop	tropical house	24	9655094.52631579
dance pop	progressive house	23	8798966.5625
grime	grime	23	2526158.3529411764
trap	urban contemporary	23	12946763.142857146
electro house	trap	23	8149687.368421053
pop	pop edm	22	8128082.157894737
dirty south rap	pop rap	22	10352199.307692308
canadian pop	hip hop	22	9672989.083333334
progressive house	rap	21	7168232.8
rap	uk dance	21	6916619.2
edm	uk pop	21	16170066.65
atl hip hop	post-teen pop	21	10638312.095238097
electropop	rap	21	5102271.6315789465
edm	southern hip hop	21	6252174.666666668
house	rap	20	7355384.214285715
dance pop	pop edm	20	9041220.11764706
dance pop	melodic rap	20	13068089.0
electropop	pop rap	20	6300275.25
london rap	uk hip hop	19	7230166.6
miami hip hop	rap	19	11021280.545454543
edm	hip hop	19	10614725.25
dirty south rap	hip hop	18	8572397.0
dirty south rap	pop	18	9719331.42857143
gangster rap	rap	18	1249121.0
edm	electropop	18	13296415.933333335
indie poptimism	pop	18	6077681.933333334
metropopolis	pop	18	4316609.333333333
electro house	southern hip hop	18	6506304.125
progressive house	trap	18	7653283.357142857
chicago rap	rap	17	8408246.875
house	tropical house	17	8649980.07142857
tropical house	uk dance	17	13431403.875
pop	viral pop	17	8234160.066666666
miami hip hop	pop rap	17	11921705.6
canadian pop	pop	17	13567578.1875
house	trap	17	7892142.615384615
trap	uk dance	17	7892142.615384615
chicago rap	hip hop	16	8890564.444444444
chicago rap	pop rap	16	8890564.444444444
new orleans rap	pop rap	16	11003446.666666666
conscious hip hop	pop	16	13528874.4
hip hop	melodic rap	16	16769654.666666664
gangster rap	pop rap	16	1903368.555555556
pop rap	toronto rap	16	5175162.2
rap	toronto rap	16	3262493.9090909087
detroit hip hop	pop	16	5333648.166666667
big room	dance pop	16	9006294.933333334
big room	pop	16	9006294.933333334
conscious hip hop	pop rap	15	10963972.166666666
conscious hip hop	trap	15	10963972.166666666
hip hop	new orleans rap	15	11003446.666666666
atl hip hop	southern hip hop	15	7070471.083333332
pop	uk hip hop	15	8675271.0
dirty south rap	trap	15	14183125.333333336
melodic rap	trap	15	15496689.916666664
melodic rap	post-teen pop	15	13978409.642857146
afro dancehall	uk hip hop	15	3419248.5
r&b	trap	15	6382270.636363638
alternative r&b	rap	15	8379945.363636362
electro house	hip hop	15	8984184.76923077
tropical house	urban contemporary	15	7527546.0
