source	target	weight	avg_streams
pop rap	rap	326	55308209.38392858
rap	trap	268	66061098.08695652
hip hop	rap	250	58862715.67032967
pop rap	trap	236	63798752.44444445
dance pop	pop	223	131551792.39130434
pop	pop rap	216	89798453.94690265
hip hop	pop rap	214	60289895.21348315
pop	rap	207	69650079.65486726
rap	rap	184	58659712.37373737
hip hop	trap	178	55057573.25333333
latin	reggaeton	170	128144206.75510204
rap	southern hip hop	165	48413675.83333334
pop	pop	159	137270203.22689074
pop rap	pop rap	146	61470230.5952381
dance pop	pop rap	145	100121348.09195402
pop rap	southern hip hop	144	57912841.31578948
hip hop	pop	140	74042932.3902439
atl hip hop	rap	135	68745912.87301587
pop	trap	132	84981816.18571429
pop	post-teen pop	123	149848818.72941175
pop	tropical house	121	138845855.36
southern hip hop	trap	120	57660110.01754386
dance pop	rap	119	78466057.10810809
latin	tropical	116	128119600.8095238
atl hip hop	pop rap	114	50331832.82758621
edm	pop	106	126062362.75
hip hop	southern hip hop	103	41072546.96666667
reggaeton	tropical	99	134988684.21052632
trap	trap	97	57660110.01754386
melodic rap	rap	96	84359835.51162791
latin	latin	96	126196146.66
atl hip hop	trap	91	45636958.68292682
dance pop	tropical house	90	143039982.0
pop rap	post-teen pop	90	113224356.43939394
pop	southern hip hop	88	76635231.5
atl hip hop	hip hop	87	50119361.14583334
dance pop	post-teen pop	87	154026040.76190478
hip hop	hip hop	85	46171337.76363637
dance pop	trap	81	97060720.8076923
latin	latin hip hop	80	144592686.5151515
dance pop	edm	79	131937352.22807015
dance pop	hip hop	79	91671561.9245283
melodic rap	pop rap	76	69815024.8372093
reggaeton	reggaeton	76	97368157.83333331
dance pop	dance pop	75	149752897.33333334
post-teen pop	rap	74	93519484.34545454
latin	reggaeton flow	74	109505049.625
reggaeton	trap latino	74	85171536.13043478
latin	trap latino	73	83701009.5909091
reggaeton	reggaeton flow	72	105325509.8181818
latin hip hop	reggaeton	67	104814658.5
atl hip hop	southern hip hop	66	43135903.1025641
melodic rap	trap	62	83957351.93939394
electropop	pop	57	145717129.04545453
edm	post-teen pop	56	150466525.92
hip hop	post-teen pop	56	102028954.90697674
atl hip hop	pop	55	97793136.45945944
dance pop	southern hip hop	55	76423937.0
post-teen pop	tropical house	54	161958573.64583334
electro house	pop	54	102672549.53488372
hip hop	melodic rap	52	74714386.72413793
trap latino	tropical	47	94851526.11111107
post-teen pop	trap	45	120466913.77777778
latin hip hop	tropical	44	172474535.78947368
pop rap	tropical house	43	108162725.6
edm	tropical house	43	118355595.81481482
edm	pop rap	41	111136396.03333332
dance pop	electro house	41	116810930.06060606
reggaeton flow	tropical	41	104517406.46666668
pop	uk dance	40	110718296.56666666
rap	urban contemporary	40	69186434.23076923
melodic rap	southern hip hop	38	54770998.76923077
melodic rap	pop	38	106988784.1818182
reggaeton flow	trap latino	38	88791236.07142857
pop rap	urban contemporary	38	97129248.17391305
canadian pop	rap	38	64068114.0
r&b	rap	37	57280424.52173913
canadian pop	pop rap	35	78056780.4090909
latin	latin pop	35	152674035.04
latin hip hop	trap latino	34	98018414.35714284
gangster rap	pop rap	32	25917593.41176471
gangster rap	rap	32	22164596.23529412
dirty south rap	pop rap	32	76971174.39130434
