source	target	weight	avg_streams
dance pop	pop	108	459956.75925925927
pop	post-teen pop	82	498179.5714285714
pop	pop rap	77	399681.3
pop	pop	77	507294.754385965
pop	rap	66	296821.5
dance pop	post-teen pop	60	521731.0571428572
dance pop	pop rap	56	395003.85714285716
pop	tropical house	51	495287.1612903226
hip hop	pop	50	261554.4516129032
pop rap	rap	50	261605.66666666663
pop rap	post-teen pop	47	381266.90909090906
edm	pop	44	439871.38709677424
dance pop	rap	40	318383.3846153846
dance pop	tropical house	40	440101.037037037
pop	trap	37	363401.95454545453
dance pop	dance pop	37	495911.275862069
hip hop	pop rap	36	290748.2857142857
hip hop	rap	36	250493.5
dance pop	edm	35	419884.68
rap	trap	34	329053.6923076923
post-teen pop	rap	33	335197.6
dance pop	hip hop	32	314944.9130434783
pop rap	trap	31	333857.3846153846
edm	post-teen pop	31	502961.6923076922
post-teen pop	tropical house	31	526810.4615384615
electropop	pop	30	497712.1304347826
dance pop	trap	29	399837.8
rap	rap	29	265594.26666666666
hip hop	post-teen pop	27	329666.0869565217
pop rap	pop rap	27	308213.4285714286
pop	southern hip hop	25	317670.0
latin	reggaeton	24	272484.75
post-teen pop	trap	22	425627.88888888893
hip hop	trap	22	305625.33333333326
pop rap	southern hip hop	20	318714.5454545455
post-teen pop	post-teen pop	20	503976.9444444446
electro house	pop	20	378258.58823529404
rap	southern hip hop	19	245336.625
dance pop	southern hip hop	19	319704.4285714286
dance pop	electro house	18	395722.3125
edm	tropical house	18	395185.90909090906
atl hip hop	rap	17	308669.55555555556
atl hip hop	pop	15	416441.0
electro house	post-teen pop	15	407012.46666666673
pop rap	tropical house	15	402721.09090909094
melodic rap	pop	14	439012.625
post-teen pop	southern hip hop	14	389757.6153846154
latin	tropical	14	275904.85714285716
dance pop	electropop	14	525222.1538461539
latin	latin	13	272484.75
pop	uk dance	13	514738.66666666674
edm	pop rap	13	416255.7272727273
pop	uk pop	13	543092.8
atl hip hop	dance pop	12	416441.0
hip hop	hip hop	12	209224.57142857145
hip hop	southern hip hop	12	209224.57142857145
atl hip hop	pop rap	12	216217.83333333328
southern hip hop	trap	12	406362.16666666674
reggaeton	tropical	12	275904.85714285716
electropop	post-teen pop	12	609442.5
electropop	tropical house	12	455539.33333333326
tropical house	tropical house	12	385205.2
reggaeton	reggaeton	11	91458.5
atl hip hop	post-teen pop	10	448201.2
electropop	rap	10	174974.5
melodic rap	rap	10	358605.14285714284
atl hip hop	hip hop	10	250191.2
trap	trap	10	406362.16666666674
latin	latin hip hop	10	354004.4
pop rap	urban contemporary	10	493805.8
dance pop	uk dance	10	485900.7142857143
edm	electropop	10	373295.66666666674
pop	urban contemporary	10	626478.3333333335
dance pop	uk pop	10	628972.625
atl hip hop	trap	9	288029.25
big room	dance pop	9	344136.5
big room	pop	9	344136.5
pop	progressive house	9	335934.5714285714
post-teen pop	uk dance	9	566726.125
latin	reggaeton flow	9	46298.33333333334
reggaeton	reggaeton flow	9	46298.33333333334
rap	tropical house	9	344270.5
dance pop	melodic rap	8	494134.1428571429
electropop	pop rap	8	211593.25
pop rap	viral pop	8	379167.5
dance pop	progressive house	8	375450.5
hip hop	urban contemporary	8	419503.0
rap	urban contemporary	8	467034.75
pop	viral pop	8	331331.85714285716
canadian pop	pop	8	721373.8571428572
latin hip hop	reggaeton	8	46298.33333333334
edm	rap	8	344270.5
trap	tropical house	8	344270.5
hip hop	tropical house	8	365801.6
conscious hip hop	pop	7	394814.8
melodic rap	post-teen pop	7	494134.1428571429
alternative r&b	pop	7	450800.0
metropopolis	pop	7	89994.0
melodic rap	pop rap	7	301626.0
atl hip hop	southern hip hop	7	288029.25
hip pop	pop	7	394092.8
latin	trap latino	7	89526.4
latin	latin pop	7	362972.8
latin pop	reggaeton	7	362972.8
reggaeton	trap latino	7	89526.4
detroit hip hop	pop	7	245017.8
big room	post-teen pop	7	384453.2857142858
indie poptimism	pop	7	309459.16666666674
pop	r&b	7	481629.6
edm	trap	7	344270.5
edm	hip hop	7	365801.6
electro house	pop rap	7	252735.83333333328
trap	urban contemporary	7	507900.75
pop rock	rap	6	306075.83333333326
alternative r&b	rap	6	283108.0
dfw rap	pop	6	37362.5
dirty south rap	pop	6	438086.6
pop	queens hip hop	6	400601.75
dance pop	detroit hip hop	6	280381.75
modern alternative rock	pop	6	273637.75
pop	progressive electro house	6	645316.2
edm	edm	6	523142.33333333326
dance pop	pop edm	6	334305.2
pop	pop edm	6	334305.2
canadian pop	dance pop	6	808421.4
canadian pop	pop rap	6	743807.0
dance pop	urban contemporary	6	566485.8
electro house	rap	6	260943.0
southern hip hop	tropical house	6	319091.0
post-teen pop	uk pop	6	501477.0
edm	uk pop	6	591715.0
tropical house	uk pop	6	591715.0
indie pop rap	pop	5	160923.8
indie pop rap	pop rap	5	217014.0
indie pop rap	rap	5	217014.0
metropopolis	rap	5	32503.0
dfw rap	rap	5	311088.8
pop	pop rock	5	410336.4
dirty south rap	post-teen pop	5	438086.6
dance pop	hip pop	5	463406.25
hip pop	post-teen pop	5	463406.25
latin	puerto rican pop	5	361558.0
puerto rican pop	reggaeton	5	361558.0
puerto rican pop	tropical	5	361558.0
trap latino	tropical	5	49772.0
hip hop	r&b	5	229984.4
r&b	rap	5	275483.25
melodic rap	trap	5	601790.0
contemporary country	dance pop	5	430590.0
country	dance pop	5	430590.0
country pop	dance pop	5	430590.0
country road	dance pop	5	430590.0
dance pop	modern country rock	5	430590.0
contemporary country	pop	5	430590.0
country	pop	5	430590.0
country pop	pop	5	430590.0
country road	pop	5	430590.0
modern country rock	pop	5	430590.0
dance pop	progressive electro house	5	526253.25
post-teen pop	progressive house	5	438156.8
pop rap	r&b	5	506145.66666666674
latin	pop	5	516470.25
latin	post-teen pop	5	516470.25
pop rap	uk dance	5	369540.75
house	pop	5	350144.0
dance pop	viral pop	5	354707.5
pop edm	post-teen pop	5	361289.0
dance pop	r&b	5	517928.5
post-teen pop	urban contemporary	5	525273.2
electro house	trap	5	260943.0
edm	southern hip hop	5	319091.0
electro house	hip hop	5	267025.0
hip pop	pop rap	5	353693.33333333326
pop rap	queens hip hop	5	353693.33333333326
dirty south rap	pop rap	5	491062.0
dirty south rap	rap	5	491062.0
miami hip hop	rap	5	483623.33333333326
canadian pop	hip hop	5	942654.5
canadian pop	rap	5	942654.5
hip hop	pop rock	4	27462.75
east coast hip hop	pop rap	4	106808.0
