source	target	weight	avg_streams
hip hop	rap	487	19504244.37037037
pop rap	rap	485	19607807.40776699
rap	trap	484	21265961.588832486
rap	rap	386	19861196.72
pop rap	trap	367	19229668.51851852
hip hop	pop rap	296	18875242.096296296
hip hop	trap	269	19413355.551181104
rap	southern hip hop	263	18745105.76153846
rap	underground hip hop	216	7753118.173913044
pop rap	southern hip hop	207	18961794.41904762
southern hip hop	trap	205	15908116.444444446
melodic rap	rap	194	20682411.94214876
trap	trap	190	16268969.730434785
pop rap	pop rap	186	20180383.937007874
atl hip hop	rap	182	22711136.48979592
pop	pop rap	168	15009415.94642857
hip hop	hip hop	167	15782239.833333336
hip hop	underground hip hop	162	6429930.151515151
melodic rap	trap	162	24439202.53333333
pop	rap	159	13441191.774509804
hip hop	southern hip hop	153	20176098.77142857
pop	pop	140	27789890.61261261
melodic rap	pop rap	140	17721467.112244897
latin	reggaeton	126	22804423.625
atl hip hop	trap	126	18739548.328571428
atl hip hop	pop rap	124	21107113.4625
dance pop	pop	118	22720610.26315789
pop	post-teen pop	111	28192694.40540541
pop	trap	105	11973951.343283582
atl hip hop	hip hop	101	19042694.75
hip hop	pop	99	11967241.609375
hip hop	melodic rap	87	18908544.42857143
gangster rap	rap	80	16070588.089285715
cali rap	rap	78	18720567.807692308
atl hip hop	southern hip hop	77	20174266.653061226
dance pop	rap	75	11606593.659574468
rap	vapor trap	74	9806158.592592593
conscious hip hop	rap	71	12543995.717948718
dance pop	pop rap	71	16209371.288461538
latin	trap latino	70	22866740.90909091
latin	latin	69	22022701.95833333
melodic rap	southern hip hop	69	17617667.88679245
nc hip hop	rap	67	21304387.96551724
pop rap	underground hip hop	67	8838814.823529411
reggaeton	trap latino	66	23561402.52380952
underground hip hop	underground hip hop	65	6341281.083333332
atl trap	rap	63	21678398.815789472
conscious hip hop	hip hop	60	7801350.828571429
gangster rap	pop rap	60	14001015.219512194
electropop	pop	60	26885933.277777776
latin	reggaeton flow	59	22264483.916666668
gangster rap	trap	58	7985684.542857142
pop	southern hip hop	58	12215897.170731708
reggaeton	reggaeton	57	22160149.227272727
cali rap	hip hop	57	18246792.59090909
trap	underground hip hop	56	8201121.884615385
atl hip hop	melodic rap	56	26794359.09090909
reggaeton	reggaeton flow	55	23827927.25
pop	tropical house	55	21463381.38235294
southern hip hop	southern hip hop	55	19801631.41935484
cali rap	trap	53	20944204.47826087
cali rap	pop rap	52	20251353.32
rap	trap soul	52	14951429.9375
latin	latin hip hop	51	24803635.5
dance pop	trap	51	9943857.228571428
miami hip hop	rap	49	19833845.85185185
hip hop	nc hip hop	48	15563146.863636365
dance pop	post-teen pop	48	29538685.93548387
latin hip hop	reggaeton	47	24531926.181818184
dirty south rap	rap	47	12949622.133333333
alternative r&b	rap	46	6368744.0
latin	tropical	46	21535782.07692308
chicago rap	rap	46	12605721.451612905
alternative r&b	hip hop	45	5383659.0
melodic rap	melodic rap	45	15523586.837209305
hip hop	vapor trap	44	13586056.466666667
pop rap	post-teen pop	44	24152631.05882353
gangster rap	hip hop	43	15064311.266666668
melodic rap	pop	41	16658190.833333336
dance pop	hip hop	41	11501189.115384614
atl trap	trap	40	11679430.96
pop rap	r&b	40	12704814.785714285
edm	pop	40	15218672.96
reggaeton	tropical	39	22715589.72727273
underground hip hop	vapor trap	39	9269305.57142857
chicago rap	pop rap	39	12369537.962962965
r&b	rap	39	14398965.035714285
pop	r&b	38	18213980.8
trap soul	underground hip hop	38	7069852.285714285
post-teen pop	rap	38	17797060.923076924
rap	urban contemporary	38	4078031.904761905
hip hop	trap soul	37	6176273.545454546
cali rap	underground hip hop	37	12287285.7
canadian hip hop	rap	37	34479930.5
miami hip hop	trap	36	20016100.32
chicago rap	trap	36	17176313.333333332
atl trap	pop rap	35	19467631.433333334
dirty south rap	pop rap	35	14889089.8
chicago rap	hip hop	35	6927343.75
pop rap	urban contemporary	35	6678811.7272727275
atl trap	hip hop	34	22243143.545454547
rap	toronto rap	34	35983835.72413793
conscious hip hop	pop rap	34	13245893.5
conscious hip hop	trap	33	12989572.111111112
dance pop	tropical house	33	14496691.208333336
gangster rap	southern hip hop	33	4283508.210526316
atl hip hop	pop	33	13057375.96
dirty south rap	trap	33	7692982.863636362
nc hip hop	underground hip hop	32	14392211.545454545
latin hip hop	trap latino	32	24932771.11111111
hip hop	r&b	32	13609786.6
reggaeton flow	trap latino	31	25737628.75
miami hip hop	pop rap	31	15920240.916666664
canadian hip hop	trap	31	35739045.26923077
dirty south rap	hip hop	31	14754449.0
hip hop	urban contemporary	31	6008209.222222223
conscious hip hop	underground hip hop	30	9535084.142857144
nc hip hop	trap	30	22421875.47826087
canadian hip hop	pop rap	30	36623372.62962963
queens hip hop	rap	29	13448435.727272727
trap latino	tropical	29	22744845.3
latin hip hop	reggaeton flow	29	18837302.0
cali rap	southern hip hop	29	18348814.9375
