source	target	weight	avg_streams
hip hop	rap	303	3298276.8673469387
pop	pop	223	5036200.656976745
rap	trap	223	3872728.1473684213
pop rap	rap	209	3139853.373737374
rap	rap	203	3272717.333333333
dance pop	pop	195	4683509.460869567
hip hop	trap	147	3075085.770491803
hip hop	pop rap	140	3370763.9718309864
pop	rap	139	3123506.2278481014
pop	pop rap	139	3397185.775280899
hip hop	hip hop	130	2991304.685185185
pop rap	trap	129	3302071.632352941
hip hop	pop	126	2926426.3698630137
pop	tropical house	105	3880480.289855072
electropop	pop	102	5017399.080645162
pop	trap	88	2932998.966101695
electro	pop	85	3305606.629629629
pop	r&b	67	5773198.770833332
pop rap	pop rap	67	4214240.18
dance pop	tropical house	62	3559964.7619047617
trap	trap	60	2702449.75
dance pop	pop rap	54	3868757.5853658537
dance pop	electro	49	3264992.151515152
dance pop	rap	47	2850229.575757576
dance pop	dance pop	46	3567056.578947368
dance pop	electropop	41	5336968.0625
house	pop	38	4187855.666666666
electro house	pop	36	4342488.866666666
r&b	rap	36	2996693.478260869
pop rap	r&b	35	3969466.0
electropop	tropical house	33	4384001.761904762
dance	pop	33	4505054.478260869
hip hop	r&b	33	2577342.5263157897
other	pop	32	5952230.142857143
dance pop	trap	30	2276100.333333333
dance pop	hip hop	30	2865187.695652174
electro	tropical house	29	3129387.6111111115
rap	soul	27	3424445.666666666
dance pop	house	26	3014206.5625
hip hop	soul	26	1842207.0
latin	pop	24	1703515.4285714286
dance	dance pop	24	2517121.2
electro	electropop	22	3743167.941176471
pop	soul	22	2446294.533333333
electropop	electropop	21	7604293.2
dance pop	r&b	21	5397524.333333333
pop	reggaeton	21	1752619.6923076925
r&b	trap	21	1810315.1538461538
pop rap	reggaeton	19	2277551.6923076925
rap	reggaeton	18	2588019.727272727
dance pop	electro house	18	1934168.8
tropical house	tropical house	17	3259051.1333333333
electro	pop rap	17	2029889.25
latin	pop rap	16	1885888.583333333
r&b	tropical house	16	5784992.846153846
dance	tropical house	16	3163460.1818181816
pop	rock	16	4909223.166666667
pop rap	tropical house	16	2151580.923076923
electropop	other	15	4127845.8
dubstep	pop	15	6185304.363636362
electro	house	15	1856186.3
country	pop	15	6599619.583333332
latin	rap	14	2269505.333333333
dance	electro	14	3461888.222222222
electro	rap	13	1750573.5
house	tropical house	13	3276675.5
electropop	hip hop	13	2901691.666666666
indie	pop	13	5329927.0
rap	urban contemporary	13	1026476.125
other	tropical house	12	3753965.0
reggaeton	trap	12	2701894.222222222
electro	r&b	12	3789895.3636363638
dance pop	latin	12	1531668.2
dance	house	12	2982259.125
electro	electro	12	2652472.6
soul	trap	12	1842207.0
dance pop	reggaeton	11	1583502.4444444443
pop	urban contemporary	11	3030552.272727273
pop rap	urban contemporary	11	1846393.625
indie pop	pop	11	8609554.555555556
electropop	rap	10	2846996.1428571427
electropop	r&b	10	9280891.25
pop rap	soul	10	2351702.285714286
dance pop	other	10	6031120.222222223
electro house	rap	10	2039746.833333333
house	r&b	9	7508451.0
electro house	tropical house	9	1874532.0
electro	electro house	9	2112648.8571428573
electro	soul	9	2837173.5
other	rap	9	2051679.2
dance pop	soul	9	3674379.2857142864
soul	tropical house	9	3343978.571428572
electropop	pop rap	9	6503134.25
r&b	r&b	9	3081948.1428571427
r&b	soul	9	1781262.4285714286
hip hop	urban contemporary	9	1598768.1428571432
pop	pop rock	9	7022191.666666668
latin	trap	8	2324911.285714286
dubstep	electropop	8	6660812.8
electro	trap	8	3856119.5714285714
electro	hip hop	8	3078574.2857142864
electro house	electropop	8	6763607.285714285
rap	rock	8	2089881.6
pop rap	rock	8	1537566.2857142857
hip hop	reggaeton	8	2984097.571428572
electropop	trap	8	4408666.833333333
electropop	indie	8	3463477.5
electro	other	8	4017293.0
moombahton	pop	8	7237080.25
dance pop	dubstep	7	2141678.166666666
grime	pop	7	1125033.4
country	hip hop	7	9471300.0
dance	electro house	7	1023273.0
hip hop	indie	7	5478027.142857143
other	pop rap	7	1476759.5
dancehall	pop	7	1111040.833333333
grime	hip hop	7	2346561.666666666
trap	urban contemporary	7	1773037.333333333
hip hop	other	7	1934801.4
indietronica	pop	7	6612111.666666668
hip hop	latin	7	2176479.5
pop	techno	7	3779208.2857142864
pop	tropical	7	2000244.75
rap	tropical house	7	2872503.333333333
dubstep	tropical house	6	2250967.0
country	pop rap	6	12505487.0
electro house	house	6	1988756.2
emo	pop	6	4302222.0
rock	tropical house	6	1457553.0
electro	rock	6	1457553.0
indie pop	pop rap	6	6952457.666666668
indie pop	rap	6	994255.0
electro house	pop rap	6	1579552.6
electro house	r&b	6	4308849.0
country	dance pop	6	6364730.8
ninja	pop	6	7237080.25
electro	latin	5	1455723.0
dance	pop house	5	12672977.666666664
house	house	5	1970174.2
disco house	pop	5	520756.66666666674
dance pop	disco house	5	520756.66666666674
dance	r&b	5	9332294.8
dance	soul	5	3002926.8
dance	hip hop	5	2566854.8
electropop	soul	5	1479770.75
other	r&b	5	2675505.25
dance pop	rock	5	4009492.6
house	pop rap	5	2266026.6
funk	pop	5	1299408.25
dance	pop rap	5	1222372.2
indie rock	pop	5	4434422.333333333
dubstep	pop rap	5	1107171.25
electropop	indie pop	5	10438320.4
dubstep	rap	5	1674522.666666667
latin	reggaeton	5	2732416.0
electro house	soul	5	4575344.0
electro	indie	5	4577494.4
dance pop	moombahton	5	7237080.25
dance pop	ninja	5	7237080.25
trap	tropical house	5	5621290.25
indie pop	tropical house	5	3721665.8
house	rap	5	2234947.5
electro	reggaeton	4	1553363.75
country	country rap	4	12505487.0
dance	disco house	4	650454.0
metal	rap	4	3083607.0
indie pop	trap	4	1172136.0
hip hop	indie pop	4	1172136.0
dance pop	pop rock	4	1514405.75
electropop	pop rock	4	2634256.0
country	tropical house	4	7044845.0
house	other	4	6269576.25
country	electropop	4	8597776.5
electro house	other	4	13129658.0
electro house	rock	4	8026804.0
grime	rap	4	3833264.0
grime	trap	4	3833264.0
electropop	house	4	5937796.0
electro house	trap	4	1939637.0
k-pop	pop	4	2610971.5
afropop	pop	4	741070.3333333335
afropop	pop rap	4	741070.3333333335
afropop	rap	4	741070.3333333335
indie rock	rap rock	3	3233092.0
rap rock	rock	3	3233092.0
dance	dance	3	3391831.0
disco house	electro	3	520756.66666666674
disco house	tropical house	3	520756.66666666674
pop	reggae	3	2898195.0
dancehall	hip hop	3	969433.3333333335
electropop	techno	3	5026674.333333333
dancehall	r&b	3	1252648.333333333
house	rock	3	2093762.666666667
dance pop	funk	3	1521839.0
funk	pop rap	3	1344270.333333333
r&b	urban contemporary	3	2777459.333333333
dance pop	indie	3	1557331.666666667
indie rock	pop rap	3	1295471.0
country	electro	3	6588285.333333332
moombahton	other	3	7845818.666666668
ninja	other	3	7845818.666666668
hip hop	indietronica	3	1791199.333333333
indie	other	3	3426649.666666666
indie pop rap	pop rap	3	786969.0
electro	europop	3	3912705.0
europop	tropical house	3	3912705.0
europop	pop	3	531822.5
country	electro house	3	13649030.0
soul	soul	3	199120.0
dance pop	indie rock	3	6403259.5
latin	latin	3	2732416.0
latin	tropical	3	1932150.0
grime	pop rap	3	3833264.0
dance pop	k-pop	3	2644051.0
house	soul	3	6918304.5
indie	indie	3	6361444.666666668
pop rap	tropical	3	3391213.0
other	other	3	569508.3333333335
rap	tropical	3	3130989.0
electro	urban contemporary	3	6137608.333333332
tropical house	urban contemporary	3	6137608.333333332
moombahton	tropical house	3	10190470.0
house	trap	3	10065174.5
electro	indie pop	3	1507008.333333333
electro	pop rock	3	2429884.333333333
electro house	pop rock	3	10536822.666666666
pop rock	tropical house	3	2429884.333333333
electro	moombahton	3	3422123.0
pop	video game music	3	3468578.0
hip hop	tropical house	3	2457856.333333333
electro house	hip hop	3	2833895.0
dance pop	techno	3	1903271.666666667
afropop	hip hop	3	907341.5
indie pop	r&b	3	13430462.666666664
adult standards	pop	3	1019451.3333333335
dubstep	electro	3	2129329.0
electro	trance	3	2129329.0
azonto	pop	3	520322.0
country pop	pop	3	9602771.0
county rock	pop	3	9602771.0
country pop	dance pop	3	9602771.0
county rock	dance pop	3	9602771.0
disco house	house	2	650454.0
indie	soul	2	497658.5
dancehall	grime	2	1138092.0
dance pop	emo	2	5819956.0
pop punk	pop rap	2	2784488.0
emo	pop rap	2	2784488.0
pop punk	tropical house	2	2784488.0
electro	pop punk	2	2784488.0
pop	pop punk	2	2784488.0
