source	target	weight	avg_streams
brazilian funk	pop	142	18610107.166666668
pop	pop	139	12275347.173913045
brazilian funk	brazilian funk	117	23893665.441558447
hip hop	hip hop	84	17038206.5
brazilian funk	hip hop	80	11976589.208333336
hip hop	trap	76	12906676.47826087
dance pop	pop	73	6153121.303030303
hip hop	pop	70	9635496.12121212
electro	pop	68	11548930.54054054
sertanejo	sertanejo	62	20851064.33870968
brazilian funk	electro	62	19358281.54761905
hip hop	rap	48	14756092.3
pagode baiano	pop	44	16366126.206896553
pop	pop rap	42	6031388.916666668
electro	hip hop	41	13166296.611111112
brazilian funk	sertanejo	40	19677946.307692308
pop	rap	39	9079065.5
latin	pop	38	7039140.428571427
pop	reggaeton	37	7079705.0
brazilian funk	trap	37	16837436.4
brazilian funk	pagode baiano	35	23493935.19047619
pop	trap	32	10680485.421052633
pop	r&b	27	7658347.333333332
hip hop	r&b	27	11616961.357142854
latin	reggaeton	27	4728947.166666667
electro house	pop	26	7949614.9375
electro	electro	25	12400045.047619047
pop	sertanejo	25	24371799.96
brazilian funk	brega funk	25	25410108.05882353
brazilian funk	rap	21	18296401.09090909
pop	tropical house	20	5837801.6
rap	trap	19	12852964.277777778
electro	trap	19	10949160.0
dance pop	pop rap	18	3522496.5
trap	trap	17	16401323.7
pagode	sertanejo	16	21473489.3125
afrofuturism	brazilian funk	16	12134249.42857143
dance pop	dance pop	15	8688785.266666668
brazilian funk	r&b	15	8480367.777777778
forro	sertanejo	14	21663916.714285716
electro	r&b	14	7175509.9
brazilian funk	latin	13	9135375.3
brazilian funk	reggaeton	13	9458433.777777778
brazilian funk	forro	13	22308752.09090909
brazilian funk	pagode	13	14611906.23076923
pop rap	rap	13	2739299.111111111
dance pop	electro	13	6701373.555555556
other	pop	13	15143619.8
mpb	pop	13	9591345.090909092
pop	tropical	13	4875414.0
latin	latin	13	6467361.0
reggaeton	reggaeton	13	2448918.0
afrofuturism	pop	12	14362439.333333336
pop	rock	12	14643648.888888888
latin	trap	12	19164562.0
electro	electro house	11	8354262.571428573
latin	pagode baiano	11	9135375.3
pagode baiano	reggaeton	11	9458433.777777778
electro	pagode baiano	11	12724217.3
rap	rap	11	4016931.1818181816
dance pop	rap	11	3264485.0
hip hop	pagode baiano	11	9524517.5
dance pop	latin	11	4813066.625
electro	rap	11	15788133.6
reggaeton	trap	11	19453471.25
forro	pop	10	21892264.7
dance pop	hip hop	10	1726977.5555555557
dance pop	electro house	10	5949929.5
dance	pop	10	7578906.142857143
brazilian funk	pop rap	10	12037750.42857143
dance pop	reggaeton	10	4610954.857142857
r&b	trap	10	10853124.5
electro	sertanejo	9	20776758.33333333
hip hop	pop rap	9	11208274.555555556
latin	pop rap	9	5287417.5
hip hop	reggaeton	9	2883892.2
brazilian funk	mpb	9	13848697.625
pagode baiano	sertanejo	8	17742267.5
dance pop	tropical house	8	5502465.875
pagode	pop	8	17463391.14285714
pop rap	reggaeton	8	5153070.142857143
afrofuturism	hip hop	8	1807411.4
electropop	pop	8	2834808.333333333
hip hop	latin	8	3121077.0
brazilian funk	dance pop	8	5554937.5
dance pop	r&b	7	1490708.0
r&b	rap	7	7061625.285714285
pagode baiano	pop rap	7	12195661.833333336
electro	pop rap	7	4775405.166666667
mpb	mpb	7	17266166.85714286
brega funk	pop	7	28101028.16666667
latin	tropical	7	6368026.25
reggaeton	tropical	7	2349583.25
dance pop	pagode baiano	7	5657170.4
r&b	tropical house	6	1485843.8
pagode baiano	trap	6	16097691.2
pop rap	pop rap	6	5871554.5
electro house	other	6	18566371.0
pop rap	trap	6	8454936.666666666
electro	latin	6	16307118.5
dance pop	trap	6	4402791.8
folk	mpb	6	9307681.75
hip hop	indie	6	9935518.0
axe	brazilian funk	6	19916747.83333333
house	pop	6	1265477.6
pagode baiano	pagode baiano	5	37488991.0
dance	pop house	5	16176924.666666664
pagode baiano	rap	5	16062109.5
axe	sertanejo	5	14844436.4
pop rap	r&b	5	1376473.666666667
dance pop	other	5	19582793.8
rap	rock	5	7026461.666666668
pagode	pagode baiano	5	19953237.4
electro	reggaeton	5	18322972.4
latin	rap	5	5028064.8
rap	reggaeton	5	5028064.8
folk	pop	5	15846951.25
pagode baiano	tropical	5	2306219.75
brazilian funk	tropical	5	2306219.75
dubstep	pop	5	15507956.0
brazilian funk	electro house	5	2972090.5
electro house	r&b	5	1790069.5
axe	pop	5	26677886.75
electro	pagode	4	11788176.75
