source	target	weight	avg_streams
hip hop	hip hop	541	3284694.706896552
hip hop	rap	311	3229218.6824324327
dance pop	pop	267	8284599.867647058
hip hop	pop	241	5007949.718309859
pop	pop	231	8120651.5058139535
pop	pop rap	192	6898680.895833332
pop	rap	179	4295887.88
pop	tropical house	178	8950998.38
electro	pop	169	8758557.833333334
pop rap	rap	157	4635003.547169811
hip hop	pop rap	143	5646211.204081632
dance pop	tropical house	120	8594575.783783784
dance pop	pop rap	118	7362856.347222223
pop rap	trap	105	6652703.5121951215
dance pop	electro	103	8439298.47826087
rap	trap	102	6948881.542857142
pop	trap	100	6400882.519230769
rap	rap	98	4651447.909090909
hip hop	trap	98	5982630.761904762
dance pop	hip hop	97	6479322.918032788
dance pop	rap	89	5733858.358490566
electropop	pop	87	8004778.84375
dance pop	dance pop	86	8975782.69117647
electro house	pop	84	7824893.888888889
pop rap	pop rap	79	6068452.894736842
electro	tropical house	77	7395875.577777778
house	pop	75	7567956.637931035
dance	pop	66	8936518.68
dance pop	trap	60	7741917.58974359
dance pop	electropop	55	8036797.577777778
dance pop	electro house	53	7053883.177777777
electropop	tropical house	51	7074336.552631578
dance pop	house	48	6646823.243902438
tropical house	tropical house	46	7470398.684210528
electro	pop rap	45	7574588.9375
pop rap	tropical house	44	6917734.5
pop	r&b	44	7678251.121212121
electro	electropop	43	8218009.909090909
dance	dance pop	37	8913661.0
electro	hip hop	37	5740765.0
r&b	rap	37	4494575.148148148
hip hop	tropical house	35	5900922.625
house	tropical house	33	6408097.178571427
electro	electro	33	7904115.857142857
hip hop	r&b	33	5942877.357142857
trap	trap	32	8383606.352941178
pop rap	r&b	31	6557120.32
hip hop	urban contemporary	30	7950644.0
other	pop	29	3965888.4285714286
rap	urban contemporary	28	5949148.8125
pop	urban contemporary	28	10175621.055555556
electro house	tropical house	28	6766057.260869565
dance pop	r&b	27	8666877.625
pop rap	urban contemporary	27	10005384.875
indie pop	pop	27	4488205.909090909
electro house	hip hop	26	5201443.05882353
house	pop rap	25	5318714.65
electro house	pop rap	25	5232911.5
electro	electro house	24	9141950.5
dancehall	pop	23	8285825.4
electropop	pop rap	23	2832821.545454545
electro	house	23	5842185.833333332
electro	rap	23	6910478.222222223
