source	target	weight	avg_streams
hip hop	pop	538	3231608.1223628693
hip hop	rap	517	2691631.232931727
pop	rap	432	3189723.676855895
pop	pop	367	3623853.290836653
hip hop	hip hop	319	2888568.1415929208
rap	rap	236	2210090.327956989
francoton	hip hop	213	3053806.75
francoton	pop	202	3021999.313043478
dance pop	pop	157	4628240.890410959
francoton	rap	143	2729981.714285714
pop rap	rap	115	1780281.8923076922
pop	pop rap	115	3086782.4310344825
rap	trap	103	2212634.5970149254
pop	tropical house	102	5138591.490909091
electro	pop	101	4956890.081967213
hip hop	pop rap	98	1758367.3725490198
hip hop	trap	93	1751254.86
pop rap	trap	65	2568078.275
dance pop	tropical house	65	5469987.736842105
pop	trap	63	3081722.378378378
dance pop	pop rap	61	3571073.6470588236
dance pop	electro	59	5675239.707317073
house	pop	56	4367258.135135135
francoton	francoton	55	2959115.8936170214
electropop	pop	53	3649584.5517241373
latin	reggaeton	53	5619695.222222222
dance pop	rap	47	3669742.814814815
dance pop	dance pop	47	4895274.9428571435
pop rap	pop rap	43	1599257.1935483871
electro	tropical house	41	3713041.8
pop	r&b	37	2762427.76
hip hop	latin	35	5389875.444444444
latin	pop	34	5221506.647058823
dance pop	hip hop	34	3721643.047619048
hip hop	reggaeton	33	6768827.428571427
pop	reggaeton	32	4980131.8125
dance	pop	31	7440946.476190477
electro house	pop	30	5445146.173913044
trap	trap	29	1597032.6
latin	latin	28	5619695.222222222
dance pop	trap	26	4262409.882352942
dance pop	electropop	26	4486999.65
dance pop	house	25	5038396.52631579
latin	trap	25	5362602.285714285
latin	tropical	25	4858480.857142857
reggaeton	reggaeton	25	8113951.166666668
reggaeton	trap	25	5362602.285714285
r&b	rap	24	1350543.705882353
reggaeton	tropical	23	4858480.857142857
tropical house	tropical house	23	3696917.052631579
pop rap	r&b	22	2213421.5714285714
other	pop	22	2810238.714285714
electro	electropop	21	3719986.3529411764
electro	house	20	5365862.785714285
pop rap	tropical house	20	4828126.75
electropop	tropical house	20	4161182.6
dance pop	electro house	20	5663063.1875
hip hop	r&b	19	1045465.9166666665
house	tropical house	19	3382390.6875
electro	pop rap	19	5316654.466666667
electro	hip hop	19	4709665.714285715
moombahton	pop	17	3536787.375
dance	dance pop	17	7569067.333333332
electro	rap	16	4591349.545454546
hip hop	house	16	5113061.538461538
electro	electro	15	3971511.076923077
electro house	tropical house	15	4872881.416666667
hip hop	tropical	15	3232111.0
dance pop	r&b	14	3395213.8461538465
house	rap	14	4804401.0
electropop	pop rap	14	2488483.9
rap	soul	13	2282850.8181818184
dance	tropical house	13	6535817.333333332
dance pop	latin	13	5906591.555555556
ninja	pop	12	4849690.8
pop	tropical	12	3571677.125
pop	urban contemporary	12	2777311.125
dance pop	reggaeton	12	5509477.5
rap	tropical house	12	4868169.375
dancehall	pop	12	3328537.875
electro	electro house	12	4241219.0
latin	rap	12	6386363.375
rap	reggaeton	12	6386363.375
r&b	trap	12	608097.8333333335
dance pop	moombahton	11	3536787.375
pop	soul	11	3088993.1111111115
trap	tropical	11	4798389.333333333
rap	urban contemporary	11	1378035.7142857143
hip hop	tropical house	11	3568160.0
house	house	10	6294373.4
afropop	pop	10	1283129.7142857143
latin	pop rap	10	9335520.666666666
pop rap	reggaeton	10	9335520.666666666
indie pop	pop	10	3064908.4285714286
electropop	rap	10	3223482.625
pop rap	urban contemporary	10	2337877.0
pop rap	soul	9	2806455.875
funk	pop	9	6701554.142857143
hip hop	indie pop	9	6454488.333333332
dancehall	hip hop	9	2134465.8
hip hop	soul	8	1174576.5714285714
hip hop	other	8	3056080.666666666
dancehall	rap	8	3303620.8571428573
dance pop	dancehall	8	4194796.833333333
pop	rock	8	2861712.333333333
indie pop	pop rap	8	2923480.166666666
electro	trap	8	5828272.5
dance	electro	7	8251980.0
dance pop	urban contemporary	7	1610653.8
other	rap	7	2308783.1428571427
afropop	hip hop	7	1062935.8
dancehall	electro	7	4194796.833333333
dancehall	tropical house	7	3833786.0
electro house	electropop	7	3745022.142857143
electropop	r&b	7	2220770.6
indie pop	rap	7	3055322.2
hip hop	urban contemporary	7	2635854.0
dance pop	ninja	6	4849690.8
azonto	pop	6	1012211.2
country	pop	6	3313650.4
country	dance pop	6	3313650.4
electro	latin	6	7072174.166666668
electro	reggaeton	6	7072174.166666668
dance pop	funk	6	9061191.2
electro	r&b	6	6547900.333333332
electropop	hip hop	6	4619681.0
r&b	tropical house	6	7782545.6
electropop	house	6	4635146.0
dance pop	other	6	3161869.0
electro house	rap	6	4385779.666666667
soul	tropical house	6	6844827.8
dancehall	pop rap	6	2339866.833333333
francoton	other	6	3500566.25
trap	urban contemporary	6	2004719.25
pop	rai	6	1520443.0
dance	electropop	5	7005020.4
afropop	rap	5	1062935.8
azonto	hip hop	5	1205148.5
francoton	house	5	5659164.8
pop	pop rock	5	6269105.6
pop	techno	5	2613691.0
tropical	tropical	5	2127408.666666666
r&b	r&b	5	2452479.666666666
hip hop	indie r&b	5	621915.0
hip hop	indietronica	5	1575937.5
electro	indie pop	5	3181985.0
electro house	house	5	6659756.0
electro	other	5	1340840.5
other	tropical house	5	1295801.25
electro house	hip hop	5	4194458.5
trap	tropical house	5	4385779.666666667
electropop	trap	5	3936551.5
funk	tropical house	5	5873517.0
electro	soul	5	7460265.0
grime	hip hop	5	3765592.0
francoton	rai	5	1809826.333333333
dance	house	4	5646338.25
