source	target	weight	avg_streams
hip hop	rap	263	5443433.345864662
hip hop	hip hop	231	6625252.492857142
dance pop	pop	214	8714304.513761468
pop	pop	208	8496144.17834395
pop rap	rap	173	4865497.146067415
rap	trap	165	6102485.357142857
grime	hip hop	153	6703481.571428573
hip hop	pop	151	5883571.313953487
rap	rap	147	5354277.702970297
pop	pop rap	142	6030247.677777777
pop	rap	140	4609552.564705882
hip hop	pop rap	133	5372382.786666667
pop	tropical house	116	7886586.779411765
hip hop	trap	110	4948703.888888889
pop rap	trap	102	6013555.403508772
electro	pop	95	8171363.428571427
pop	trap	91	4554444.25
dance pop	tropical house	85	8258034.777777777
drill	hip hop	81	4983606.916666667
dance pop	electro	70	8606683.731707318
dance pop	dance pop	66	8351614.02
electropop	pop	63	7085911.12195122
dance pop	pop rap	63	6406796.888888889
pop	r&b	62	8388687.12
pop rap	pop rap	58	6768521.066666666
house	pop	57	10008865.818181818
dance pop	rap	54	3991376.617647059
grime	rap	49	6475996.25
electro	tropical house	47	9058617.185185183
dance	pop	46	11578442.964285715
dance pop	house	45	9847257.666666666
dancehall	hip hop	45	9409126.615384616
dance pop	hip hop	45	4737648.857142857
other	pop	43	8603523.766666668
dance pop	trap	42	2841302.0689655175
trap	trap	41	5050714.666666667
dance	dance pop	41	10373542.166666666
r&b	rap	38	2887082.8965517236
electro house	pop	36	8343396.551724138
hip hop	r&b	36	3483175.379310345
pop rap	r&b	34	4823529.307692308
dance pop	electropop	32	6082131.923076922
house	tropical house	31	9895717.523809524
dance	tropical house	30	11558219.333333336
tropical house	tropical house	30	9081189.884615384
grime	grime	30	5534528.75
grime	pop	28	6733090.5
electro	house	28	8903104.0
drill	grime	28	4813551.647058823
dance pop	r&b	24	7383509.333333332
other	other	24	6748297.6
latin	pop	24	3151052.6428571427
dancehall	grime	24	6259381.736842105
dance	electro	23	11733763.076923074
rap	urban contemporary	23	1187393.7272727273
electropop	tropical house	23	4846307.875
rap	reggaeton	20	3530766.727272727
dance	house	20	10825853.0
pop	reggaeton	20	3177642.5
hip hop	house	20	9797533.461538462
drill	rap	20	7718640.083333332
r&b	trap	20	2235489.266666666
dance pop	other	20	9503288.07142857
latin	rap	19	3320710.4545454546
pop rap	reggaeton	19	3364754.583333333
dance pop	electro house	19	6803946.642857143
pop rap	urban contemporary	19	2203620.727272727
hip hop	urban contemporary	19	2198076.4
latin	pop rap	18	3233904.25
electro	electro	18	7522799.625
dancehall	pop	18	6750265.0
electro	electropop	18	5361774.571428572
trap	urban contemporary	17	2043043.7777777775
electro	pop rap	16	6748786.533333332
r&b	tropical house	15	10981554.25
dance pop	latin	15	2187463.1818181816
pop	rock	15	8489278.181818182
pop rap	tropical house	15	7660015.2727272725
pop	urban contemporary	15	5219054.538461538
reggaeton	trap	14	2915641.0
other	tropical house	14	5039963.357142857
grime	pop rap	14	5951060.545454546
house	rap	14	8799659.444444444
rap	soul	14	3331344.0
dancehall	rap	14	10037468.5
pop	soul	14	8692220.545454545
hip hop	soul	13	1334841.3
electro house	tropical house	13	6589820.818181817
grime	trap	13	3568459.1818181816
latin	trap	12	2951594.125
house	house	12	10089628.166666666
dance pop	reggaeton	12	2008785.333333333
electro	rap	12	3915189.666666666
dubstep	pop	12	11066118.2
electro	electro house	11	6500427.444444444
country	pop	11	2687833.111111111
hip hop	reggaeton	11	3190855.8571428573
electro	r&b	10	10053996.0
electropop	other	10	4690782.666666667
pop rap	soul	10	4353944.25
indie pop	pop	10	10753374.625
house	pop rap	10	10918980.285714284
dance pop	soul	10	10679578.125
hip hop	latin	10	3284662.5
electropop	electropop	10	9681323.75
dance	electro house	9	10665569.833333334
disco house	pop	9	6735816.333333332
dance pop	disco house	9	6735816.333333332
electro	trap	9	5739235.25
electropop	rap	9	3674251.333333334
dancehall	house	9	14564364.0
drill	drill	9	2028752.1428571432
electro	other	9	5735982.333333332
hip hop	tropical house	9	3207596.2
electro house	rap	9	1852724.8
dancehall	pop rap	9	8256588.0
disco house	house	8	7661969.571428573
dance	disco house	8	7995967.2
electro house	house	8	7611399.857142857
country	hip hop	8	13170084.8
indie pop	rap	8	1633259.25
dancehall	drill	8	5548154.25
drill	pop	8	2614817.333333333
electropop	house	8	6437873.625
electro	hip hop	8	5356374.5
hip hop	indie	8	7269126.8
moombahton	pop	8	7076772.0
house	r&b	7	14846700.142857146
dance	dance	7	10042276.0
dance	pop house	7	20493946.6
afropop	hip hop	7	1829106.8
electro house	r&b	7	5761717.428571427
other	rap	7	4534676.0
grime	house	7	12687110.833333336
soul	tropical house	7	14781068.8
funk	pop	7	6373724.2
house	other	7	6876507.166666668
electro house	pop rap	7	4454865.333333333
hip hop	other	7	3769434.0
disco house	tropical house	6	6735816.333333332
electro	latin	6	2869183.666666666
country	pop rap	6	20586123.33333333
hip hop	indie r&b	6	1454238.0
electropop	r&b	6	13387887.4
indie r&b	pop	6	2194503.833333333
