source	target	weight	avg_streams
latin	reggaeton	553	106091450.04444444
hip hop	rap	406	50932539.41780822
pop	pop	299	88952462.39086294
rap	trap	297	68187119.00719425
hip hop	trap	293	69864879.05737706
latin	latin	282	104895305.03488372
reggaeton	reggaeton	265	103639465.94805194
reggaeton	trap	253	107953756.18055557
latin	trap	247	110964268.44594596
pop rap	rap	246	51113142.37704918
hip hop	hip hop	244	40771818.15702479
latin	pop	242	109235956.1392405
rap	rap	242	53956552.58518519
dance pop	pop	224	84377366.17699115
pop	reggaeton	215	111241890.64935064
hip hop	pop	208	59332921.52991453
reggaeton	tropical	200	95378606.56140351
latin	tropical	195	107063300.45614035
hip hop	reggaeton	187	109578871.08474576
pop	trap	178	85511531.21359223
hip hop	pop rap	174	53242290.5934066
hip hop	latin	173	108499964.83636364
pop	rap	172	59860637.81818182
pop rap	trap	148	69264429.475
pop	pop rap	146	68189499.3956044
trap	trap	125	68355395.96103896
pop	tropical house	122	70462675.25714286
electro	pop	116	62583343.18965517
electropop	pop	99	85420153.88679245
trap	tropical	92	105639238.3488372
pop	tropical	81	100340667.74418604
pop	r&b	78	94623471.38596492
pop rap	pop rap	73	71482081.39285715
dance pop	tropical house	69	61678727.06666667
dance pop	electro	65	64353052.87804878
house	pop	60	64938856.09677419
dance pop	pop rap	58	76527244.90476191
dance pop	rap	54	71136641.6
hip hop	tropical	53	75305765.39130434
dance pop	dance pop	52	73111322.0
rap	reggaeton	50	109562689.67857143
latin	rap	48	112012651.3846154
dance pop	electropop	45	69500843.67567568
electro	tropical house	44	53260700.13636363
dance	pop	44	79790468.7826087
latin	r&b	43	106317022.57142857
r&b	trap	42	53403585.37037037
electro house	pop	41	85614463.875
r&b	reggaeton	40	112221751.6153846
hip hop	r&b	40	52499198.74074074
dance pop	hip hop	40	48530857.25
dance pop	house	39	49103575.91666666
dance pop	trap	39	67747790.82142857
electropop	tropical house	38	62409702.83333334
r&b	rap	38	52017136.03846154
dance pop	latin	32	98325076.77272728
pop rap	r&b	32	49225248.8
dance pop	reggaeton	31	100819053.85714284
tropical	tropical	30	71529716.13636364
dance	dance pop	29	57832340.875
rap	soul	28	48134509.66666666
hip hop	soul	28	19315949.0
brazilian funk	pop	28	20886180.444444444
pop rap	reggaeton	27	120807222.25
electro	electropop	27	56823563.65
electro	latin	26	102759920.64285716
electro	house	25	44475044.083333336
other	pop	24	124565214.85714284
latin	pop rap	24	121403664.63157897
electro	electro	24	50218602.15384615
electro	reggaeton	24	107280019.58333331
dance pop	electro house	23	54622716.33333334
tropical house	tropical house	22	54175307.05
dance	tropical house	22	58019885.0
dance	electro	22	61986472.0
house	tropical house	22	60504574.73333333
electro	rap	22	102774013.9090909
dance pop	r&b	21	75966383.33333333
electropop	electropop	19	115893935.3846154
moombahton	pop	19	69108938.375
electro	pop rap	19	90160603.1764706
electro	hip hop	18	36736260.5
dance	house	17	48866744.63636363
pop	soul	17	47634463.09090909
rap	urban contemporary	17	20109237.2
r&b	tropical house	16	96173174.3846154
dubstep	pop	16	118377996.66666669
electro	electro house	16	43781120.27272727
ninja	pop	16	69108938.375
country	pop	16	68161729.3076923
pop	rock	16	106555711.0
rap	tropical	15	55070442.9
pop	urban contemporary	15	46268401.0
pop rap	urban contemporary	15	19206519.7
electro	tropical	15	75855044.2
electro house	tropical house	14	49438184.08333334
electro	trap	14	113598022.1
hip hop	urban contemporary	14	26688521.6
brazilian funk	brazilian funk	14	16262450.857142854
pop rap	tropical house	13	70553332.6
soul	trap	13	24196597.33333333
pop rap	soul	12	25990440.0
r&b	tropical	11	73462408.57142857
electro	r&b	11	71582316.0
dance pop	tropical	11	78336833.5
indie pop	pop	11	112004956.55555557
pagode baiano	pop	11	28205192.6
electro house	rap	11	48769326.0
electropop	rap	10	56605148.57142858
dancehall	pop	10	17941315.42857143
rap	rock	10	35251626.14285714
trap	urban contemporary	10	19640921.14285714
brazilian funk	latin	10	31267961.75
latin	tropical house	10	92479045.75
dance	electro house	9	47212646.16666666
electro house	house	9	42720704.875
dance pop	moombahton	9	69108938.375
dance pop	ninja	9	69108938.375
electropop	house	9	46196860.22222222
electro house	electropop	9	83673492.625
k-pop	pop	9	58507422.25
dance pop	soul	9	58846405.14285714
reggaeton	tropical house	9	107988208.33333331
other	tropical house	8	76366126.875
electropop	other	8	72804953.875
house	r&b	8	141465996.625
