source	target	weight	avg_streams
dance pop	pop	239	686858.0254237289
pop	pop	200	686350.462585034
pop	tropical house	134	727482.7176470588
pop	pop rap	128	532317.375
electro	pop	122	669491.7215189872
hip hop	pop	90	435496.7857142858
pop	rap	89	542990.8448275862
dance pop	tropical house	84	778412.3846153845
dance pop	pop rap	81	520926.42592592596
dance pop	electro	80	709385.5454545454
dance pop	dance pop	77	671587.8305084746
hip hop	rap	75	349035.66666666674
electropop	pop	75	678102.6153846154
pop rap	rap	74	350300.1081081081
hip hop	pop rap	63	349731.33333333326
rap	trap	59	417792.61764705885
pop	trap	54	583312.6774193548
rap	rap	48	361580.6857142857
dance pop	hip hop	46	525934.9411764706
electro	tropical house	46	496509.96666666673
hip hop	trap	45	405836.75
electro house	pop	43	879102.1111111111
pop	r&b	43	565607.6896551724
pop rap	trap	43	500884.0
dance	pop	41	673956.3870967742
dance pop	electropop	40	894732.696969697
dance pop	rap	40	643102.25
house	pop	37	499776.5
pop rap	pop rap	34	417121.17391304346
electro	electropop	33	756358.2758620691
electropop	tropical house	33	927372.6296296295
dance pop	trap	30	691902.6086956522
hip hop	hip hop	30	381179.52631578955
dance	dance pop	28	804805.7727272727
other	pop	28	537132.6666666665
pop rap	tropical house	28	422167.65
latin	pop	26	455424.4285714286
dance pop	electro house	25	972220.2608695652
electro	pop rap	25	479526.380952381
tropical house	tropical house	24	539584.8636363636
latin	reggaeton	23	565864.3333333335
pop	urban contemporary	22	555275.2941176471
other	other	22	687414.5
pop	reggaeton	20	537319.5454545454
pop rap	r&b	20	378480.7142857143
dance pop	r&b	20	693971.8888888889
electro	electro	20	585013.5555555555
electro	house	20	404769.2727272727
dance pop	house	20	671877.6666666665
r&b	rap	17	289526.7857142857
funk	pop	17	912021.6666666665
dance pop	other	17	472610.9
country	pop	16	852718.0714285716
house	tropical house	16	395568.0
indie pop	pop	16	696899.1818181818
dance pop	funk	15	912021.6666666665
pop rap	urban contemporary	15	627174.8888888889
electro	hip hop	15	316074.5
electro	rap	15	432017.90909090906
electro	electro house	14	256146.91666666663
electro house	tropical house	14	391900.58333333326
rap	urban contemporary	14	555979.7777777779
trap	trap	14	509207.08333333326
hip hop	tropical house	14	316074.5
dance pop	urban contemporary	13	384473.1818181818
latin	tropical	13	484717.2
pop	tropical	13	376825.85714285716
hip hop	latin	13	513180.5714285714
pop	soul	13	431996.4
hip hop	r&b	13	205739.77777777772
reggaeton	tropical	12	484717.2
reggaeton	reggaeton	12	436522.66666666674
country	dance pop	12	1077621.0
r&b	r&b	12	205535.0
electro house	rap	12	240738.77777777772
hip hop	reggaeton	12	376661.5
rap	tropical house	12	334454.0
latin	latin	11	565864.3333333335
dance	tropical house	11	820629.5
hip hop	urban contemporary	11	724282.5714285716
electropop	pop rap	11	468490.0
electro house	pop rap	11	147004.4
electro house	hip hop	11	235727.1111111111
electro	trap	11	459933.66666666674
pop	techno	10	1290346.5
electro house	electropop	10	1291478.4
dance	electropop	10	667813.5
dance pop	latin	10	397774.0
j-pop	j-rap	10	168606.25
dancehall	pop	10	323468.4
dance	pop rap	10	313361.44444444444
electropop	house	10	290561.8
j-pop	r&b	9	97103.875
dance pop	dancehall	9	323468.4
dancehall	tropical house	9	323468.4
dance pop	soul	9	623623.2857142857
trap	tropical house	9	341468.25
r&b	trap	9	134855.0
house	rap	9	221067.8333333333
country	tropical house	8	1156929.875
country	electropop	8	998315.875
dance pop	k-pop	8	490615.7142857143
rap	soul	8	320174.375
trap	urban contemporary	8	891805.6
r&b	tropical house	8	1224522.7142857143
moombahton	pop	8	350549.0
house	house	8	328421.875
hip hop	house	8	249043.8
house	pop rap	8	266274.14285714284
electro	urban contemporary	7	462659.5714285714
tropical house	urban contemporary	7	462659.5714285714
dance pop	techno	7	1005017.5714285716
pop	pop rock	7	1101096.2857142857
pop rap	soul	7	354958.66666666674
reggaeton	trap	7	486806.0
funk	tropical house	7	1122980.0
dance	electro	7	824242.0
county rock	pop	7	1087552.0
county rock	dance pop	7	1087552.0
electropop	r&b	7	386337.4
electro	r&b	7	1224522.7142857143
electropop	rap	7	479787.6
electro house	house	7	311044.66666666674
house	trap	7	238504.83333333328
electro house	trap	7	299361.16666666674
pop rock	rap	6	954767.1666666665
hip hop	other	6	310709.83333333326
j-pop	other	6	231597.2
latin	trap	6	486806.0
j-pop	j-pop	6	88008.33333333331
electropop	funk	6	980330.8333333335
indie pop	tropical house	6	989128.3333333335
other	tropical house	6	170581.16666666663
other	r&b	6	186560.8333333333
dancehall	electro	6	323468.4
