source	target	weight	avg_streams
hip hop	rap	836	19074235.288
rap	trap	622	21824785.77310924
pop rap	rap	549	18944882.630252104
hip hop	trap	522	18222474.880829014
rap	rap	501	20096859.097276267
hip hop	pop rap	446	18687766.387434553
pop rap	trap	403	19853521.033898305
hip hop	hip hop	385	17079559.586419754
trap	trap	231	15631005.874074075
pop	rap	226	18004156.646153845
hip hop	pop	202	17273996.026548672
pop	pop rap	189	17947195.387096774
pop rap	pop rap	186	20180383.937007874
pop	pop	177	26338922.48854962
pop	trap	160	20042790.156862747
latin	reggaeton	146	22014387.2
dance pop	pop	139	23190803.904761907
r&b	rap	102	11836155.224489795
hip hop	r&b	97	10024727.466666667
reggaeton	trap	93	20631268.5625
latin	trap	84	18934156.70967742
dance pop	rap	82	12837549.596153844
reggaeton	reggaeton	77	22620260.86956522
pop	r&b	76	28076082.574074075
hip hop	reggaeton	74	22742114.22727273
electropop	pop	71	26956155.6
dance pop	pop rap	71	16209371.288461538
latin	latin	69	22022701.95833333
rap	soul	66	14905699.15
hip hop	latin	66	20894268.263157893
dance pop	hip hop	66	11392239.209302325
pop	tropical house	65	19772706.725
hip hop	soul	64	8455340.866666667
pop rap	r&b	62	14264069.0
dance pop	trap	59	11072139.85
latin	pop	54	21682744.653846152
pop	reggaeton	53	22313022.92
electro	pop	50	14167241.766666668
reggaeton	tropical	49	21077083.33333333
r&b	trap	49	9213712.935483873
latin	tropical	46	21535782.07692308
rap	urban contemporary	43	4078031.904761905
hip hop	urban contemporary	41	6140379.454545454
pop rap	urban contemporary	35	6678811.7272727275
dance pop	tropical house	33	14496691.208333336
trap	tropical	31	20198149.75
trap	urban contemporary	31	6572556.5
rap	reggaeton	29	24291248.1875
pop rap	reggaeton	29	22932312.61111111
dance pop	electropop	28	23393334.41666667
dance pop	electro	27	14596952.25
dance pop	dance pop	27	16392691.739130436
latin	pop rap	26	19834519.529411767
latin	rap	25	21938527.714285716
electro house	pop	25	21148365.818181816
electropop	tropical house	25	16127685.125
soul	trap	24	11488688.5
pop	urban contemporary	23	10578743.65
electro	tropical house	22	12492693.416666664
dance pop	r&b	20	20102757.05263158
other	pop	20	33482426.222222224
hip hop	tropical	19	9645395.0
pop	soul	19	15921268.0
dance pop	latin	18	11762328.857142854
house	pop	18	25465640.15384615
pop rap	soul	18	14026292.0
dance pop	reggaeton	17	12211293.538461538
country	pop	17	29238394.92857143
electro	electropop	17	14940570.846153844
pop	tropical	16	15532082.636363635
electro	pop rap	16	14566406.142857146
r&b	r&b	16	16446436.5
electro	rap	15	14189072.5
dubstep	pop	15	25962201.91666667
r&b	soul	14	12171821.75
electropop	electropop	14	36125976.2
electropop	rap	14	17939923.363636363
pop	rock	14	31305715.9
electro	trap	13	18756836.125
electropop	pop rap	12	24587963.45454545
other	rap	12	13890320.57142857
tropical house	tropical house	12	14684546.2
dance pop	house	12	11299522.636363635
r&b	urban contemporary	12	8523959.6
escape room	hip hop	12	4699396.666666667
electro	latin	11	13003358.857142854
electro house	rap	11	11378181.142857146
pop rap	tropical house	11	12690830.3
dance	pop	11	29059860.75
rap	rock	11	16921167.375
moombahton	pop	11	18417157.6
dance pop	electro house	11	5888695.7
escape room	rap	11	4663375.4
electro	reggaeton	10	14182954.0
electro	electro	10	5229803.0
indie pop	rap	10	9287927.0
drill	rap	10	3062915.8571428573
r&b	tropical house	9	36950677.5
electropop	r&b	9	49979095.57142858
electro house	tropical house	9	3344282.75
electro	electro house	9	3585904.4285714286
electro	house	9	3360711.0
indie pop	pop	9	37448182.14285714
electropop	other	8	22052577.0
country	hip hop	8	47896361.8
house	tropical house	8	11576220.285714285
ninja	pop	8	18417157.6
electro house	electropop	8	20020249.0
emo	pop	8	19005540.666666668
hip hop	indie soul	8	1849361.5
pop rap	rock	8	11585366.42857143
indie pop	pop rap	8	30515470.25
electropop	trap	8	19722192.666666668
electropop	hip hop	8	12445081.714285715
other	other	8	5551743.666666667
drill	pop rap	8	2358238.5
drill	hip hop	8	2358238.5
other	tropical house	7	24015416.42857143
dubstep	rap	7	10734677.2
dubstep	pop rap	7	5851040.0
other	pop rap	7	6408938.857142857
rap	tropical	7	6642672.333333332
indie	rap	7	5394451.666666667
indie	pop rap	7	5394451.666666667
dubstep	electropop	7	22096109.8
indie soul	rap	7	1849361.5
indie pop rap	rap	7	3450904.5
pop	pop rock	7	37730825.0
country	dance pop	7	28939744.66666667
dance pop	urban contemporary	7	6610261.5
electro	r&b	6	15995249.4
house	r&b	6	43728249.833333336
country	pop rap	6	77641262.33333333
pop rap	tropical	6	10101472.75
dance pop	dubstep	6	11507346.6
dubstep	tropical house	6	10035966.2
indie pop rap	trap	6	3612850.333333334
indie r&b	rap	6	1955906.0
electro	hip hop	6	2961410.5
tropical	tropical	6	8149185.5
indie rock	pop	6	10172415.75
