original_genre	mapped_genre
a cappella	other
acoustic pop	pop
adoracao	gospel
adult standards	adult standards
afro dancehall	dancehall
afro house	house
afrobeat	afrobeat
afrofuturism	afrofuturism
afrofuturismo brasileiro	afrofuturism
afropop	afropop
alabama rap	rap
albanian hip hop	hip hop
albanian pop	pop
album rock	rock
alt-idol	alt-idol
alternative dance	dance
alternative hip hop	hip hop
alternative metal	metal
alternative pop rock	pop rock
alternative r&b	r&b
alternative rock	rock
ambeat	other
ambient folk	folk
american choir	classical
american folk revival	folk
anime	anime
anime rock	anime
anime score	anime
anthem worship	gospel
anti-folk	anti-folk
antideutsche	other
arabic hip hop	hip hop
argentine hip hop	hip hop
argentine indie	indie
arkansas country	country
armenian pop	pop
art pop	pop
art rock	rock
atl hip hop	hip hop
atl trap	trap
auckland indie	indie
aussie drill	drill
aussietronica	electro
austindie	indie
australian alternative pop	pop
australian alternative rock	rock
australian country	country
australian dance	dance
australian electropop	electropop
australian garage punk	punk
australian hip hop	hip hop
australian house	house
australian indie	indie
australian indie folk	folk
australian indie rock	indie rock
australian indigenous	indigenous
australian pop	pop
australian psych	psychedelic
australian reggae fusion	reggae
australian rock	rock
australian singer-songwriter	other
australian talent show	other
australian trap	trap
australian underground hip hop	hip hop
austrian pop	pop
axe	axe
azonto	azonto
azontobeats	azonto
bachata	bachata
baile pop	pop
balkan hip hop	hip hop
baltimore hip hop	hip hop
barbadian pop	pop
baroque pop	pop
bass house	house
bass trap	trap
basshall	electro
bassline	electro
baton rouge rap	rap
battle rap	rap
bayerischer rap	rap
bboy	other
beach music	other
beatboxing	other
bedroom pop	pop
belgian dance	dance
belgian edm	electro
belgian hip hop	hip hop
belgian pop	pop
belo horizonte indie	indie
bemani	video game music
big band	jazz
big beat	electro
big room	house
birmingham grime	grime
birmingham hip hop	hip hop
birmingham indie	indie
birmingham metal	metal
bitpop	electro
blues rock	blues rock
bmore	house
bossa nova	bossa nova
boston hip hop	hip hop
bow pop	pop
boy band	other
brasilia hip hop	hip hop
brazilian edm	electro
brazilian hip hop	hip hop
brazilian house	house
brazilian indie	indie
brazilian jazz	jazz
brazilian percussion	other
brazilian punk	punk
brazilian reggae	reggae
brazilian rock	rock
breakbeat	breakbeat
brega funk	brega funk
brega romantico	brega
brighton indie	indie
brill building pop	pop
brisbane indie	indie
british alternative rock	rock
british indie rock	indie rock
british invasion	other
british singer-songwriter	other
british soul	soul
britpop	other
broadway	other
broken beat	electro
bronx hip hop	hip hop
brooklyn indie	indie
brostep	dubstep
bubblegum dance	dance
bubblegum pop	pop
burkinabe pop	pop
cali rap	rap
canadian contemporary r&b	r&b
canadian country	country
canadian electronic	electro
canadian electropop	electropop
canadian folk	folk
canadian hip hop	hip hop
canadian indie	indie
canadian metal	metal
canadian pop	pop
canadian rock	rock
canadian singer-songwriter	other
candy pop	pop
cartoon	cartoon
catstep	other
ccm	gospel
celtic	celtic
celtic punk	punk
celtic rock	rock
chamber pop	pop
champeta	champeta
channel islands indie	indie
chanson	chanson
chicago drill	drill
chicago house	house
chicago indie	indie
chicago rap	rap
chicago soul	soul
chicano rap	rap
children's choir	children's music
children's music	children's music
chilean hardcore	rock
chillstep	dubstep
chillwave	chillwave
chinese hip hop	hip hop
chinese idol pop	c-pop
christian alternative rock	gospel
christian music	gospel
christian pop	pop
christlicher rap	rap
christmas instrumental	instrumental
circuit	other
classic arab pop	pop
classic canadian rock	classic rock
classic country pop	country pop
classic girl group	other
classic j-rock	j-rock
classic norwegian pop	pop
classic rock	classic rock
classic schlager	schlager
classic soul	soul
classic uk pop	pop
classical tenor	classical
cologne indie	indie
colombian hip hop	hip hop
colombian pop	pop
comedy rap	rap
comic	other
comic metal	metal
complextro	electro house
conscious hip hop	hip hop
contemporary country	country
contemporary vocal jazz	jazz
cool jazz	jazz
country	country
country dawn	country
country pop	country pop
country rap	country rap
country road	country
country rock	country rock
cowboy western	country
crunk	hip hop
cuban alternative	indie
cubaton	cubaton
cumbia	cumbia
czech pop	pop
dance pop	dance pop
dance rock	rock
dance-punk	punk
dancehall	dancehall
danish electronic	electro
danish hip hop	hip hop
danish pop	pop
dark disco	disco
dark trap	trap
deep adult standards	adult standards
deep big room	house
deep euro house	house
deep funk ostentacao	brazilian funk
deep german hip hop	hip hop
deep groove house	house
deep house	house
deep melodic euro house	house
deep pop edm	electropop
deep pop r&b	deep pop r&b
deep rai	rai
deep talent show	other
deep tech house	house
deep tropical house	tropical house
deep underground hip hop	hip hop
deep uplifting trance	trance
dembow	dembow
desert blues	blues
desi hip hop	hip hop
desi pop	pop
destroy techno	techno
detroit hip hop	hip hop
detroit trap	trap
detske pisnicky	children's music
dfw rap	rap
dirty south rap	rap
disco	disco
disco house	disco house
discofox	disco
disney	other
diva house	house
dmv rap	rap
dominican pop	pop
dong-yo	other
doo-wop	r&b
downtempo	electro
dream pop	dream pop
drill	drill
drum and bass	electro
dubstep	dubstep
dutch edm	electro
dutch hip hop	hip hop
dutch house	house
dutch pop	pop
dutch trap	trap
dutch urban	urban contemporary
east coast hip hop	hip hop
easy listening	easy listening
eau claire indie	indie
ectofolk	folk
edm	electro
el paso indie	indie
electra	electro
electric bass	electro
electro	electro
electro house	electro house
electro latino	electro
electrofox	electro
electronic trap	electro
electronica	electro
electropop	electropop
electropowerpop	electropop
emo	emo
emo rap	rap
english indie rock	indie rock
enka	enka
epicore	electro
escape room	escape room
estonian hip hop	hip hop
etherpop	indie pop
euphoric hardstyle	electro
eurobeat	other
eurodance	dance
europop	europop
eurovision	other
experimental	experimental
experimental hip hop	hip hop
experimental pop	pop
experimental rock	rock
filter house	house
filthstep	dubstep
finnish pop	pop
florida rap	rap
folk	folk
folk brasileiro	folk
folk punk	folk
folk rock	folk rock
folk-pop	folk-pop
folktronica	folk
forro	forro
francoton	francoton
freak folk	folk
french hip hop	hip hop
french indie pop	indie pop
french indietronica	electro
french jazz	jazz
french pop	pop
french reggae	reggae
french rock	rock
funk	funk
funk bh	brazilian funk
funk carioca	brazilian funk
funk das antigas	brazilian funk
funk melody	funk
funk metal	funk
funk ostentacao	brazilian funk
funk rock	funk
funky tech house	house
future funk	funk
future garage	electro
future house	house
g funk	hip hop
gangster rap	rap
garage rock	rock
gauze pop	pop
german alternative rap	rap
german alternative rock	indie rock
german cloud rap	rap
german country	country
german dance	dance
german hip hop	hip hop
german house	house
german indie	indie
german metal	metal
german pop	pop
german pop rock	pop rock
german punk	punk
german reggae	reggae
german rock	rock
german singer-songwriter	other
german techno	techno
german trap	trap
german underground rap	rap
ghanaian hip hop	hip hop
girl group	other
glam metal	metal
glam rock	rock
glasgow indie	indie
glee club	other
glitch	electro
glitch hop	electro
gospel	gospel
gospel r&b	gospel
gqom	electro
grave wave	other
greek pop	pop
grime	grime
groove room	house
grunge	grunge
guaracha	guaracha
halloween	other
hamburg hip hop	hip hop
hamburg indie	indie
hands up	other
hard rock	rock
hard rock brasileiro	rock
hardcore hip hop	hip hop
hardcore techno	techno
hardstyle	electro
harlem hip hop	hip hop
hawaiian hip hop	hip hop
heartland rock	rock
hi-nrg	electro
hip hop	hip hop
hip hop quebecois	hip hop
hip hop tuga	hip hop
hip house	house
hip pop	hip hop
hoerspiel	other
hollywood	other
hong kong hip hop	hip hop
house	house
houston rap	rap
hungarian rock	rock
hyperpop	pop
hyphy	other
icelandic indie	indie
icelandic rock	rock
idol rock	rock
indie anthem-folk	folk
indie cafe pop	indie pop
indie curitibano	indie
indie deutschrap	rap
indie dream pop	indie pop
indie electropop	indie pop
indie folk	indie folk
indie jazz	indie jazz
indie pop	indie pop
indie pop rap	indie pop rap
indie poptimism	indie pop
indie quebecois	indie
indie r&b	indie r&b
indie rock	indie rock
indie soul	indie soul
indiecoustica	indie
indietronica	indietronica
indonesian hip hop	hip hop
industrial	industrial
industrial metal	metal
industrial rock	rock
instrumental funk	funk
instrumental grime	grime
irish folk	folk
irish pop	pop
irish rock	rock
irish singer-songwriter	other
israeli pop	pop
italian alternative	indie
italian arena pop	pop
italian hip hop	hip hop
italian pop	pop
italian tenor	classical
italian underground hip hop	hip hop
italo dance	dance
j-acoustic	other
j-dance	j-dance
j-division	j-division
j-idol	j-idol
j-metal	j-metal
j-pixie	j-pixie
j-pop	j-pop
j-pop boy group	j-pop
j-pop girl group	j-pop
j-poprock	j-poprock
j-punk	j-punk
j-rap	j-rap
j-rock	j-rock
japanese alternative rock	indie rock
japanese city pop	j-pop
japanese disney	other
japanese electropop	electropop
japanese emo	emo
japanese folk	folk
japanese garage rock	rock
japanese girl punk	punk
japanese heavy metal	metal
japanese indie pop	indie pop
japanese indie rock	indie rock
japanese instrumental	instrumental
japanese jazz	jazz
japanese jazz fusion	jazz
japanese jazztronica	jazz
japanese pop punk	pop punk
japanese power metal	metal
japanese punk rock	punk rock
japanese r&b	r&b
japanese shoegaze	indie rock
japanese singer-songwriter	other
japanese ska	ska
japanese soul	soul
japanese trap	trap
jawaiian	raggae
jazz blues	jazz
jazz funk	jazz funk
jazz fusion	jazz
jazz guitar	jazz
jazz rap	jazz rap
jazz trio	jazz
jazztronica	jazz
jersey club	electro
jump blues	blues
jump up	other
k-hop	k-hop
k-pop	k-pop
k-pop boy group	k-pop
k-pop girl group	k-pop
karneval	karneval
kawaii metal	metal
kazakh pop	pop
kindermusik	children's music
kingston on indie	indie
kleine hoerspiel	other
kodomo no ongaku	other
kolsche karneval	karneval
kora	other
korean r&b	r&b
korean trap	trap
kosovan pop	pop
kurdish pop	pop
kwaito house	house
la indie	indie
la pop	pop
laiko	laiko
latin	latin
latin alternative	indie
latin arena pop	pop
latin hip hop	hip hop
latin pop	pop
latin rock	rock
latin talent show	latin
latin viral pop	pop
lebanese pop	pop
leicester indie	indie
lgbtq+ hip hop	hip hop
liedermacher	other
lilith	other
liquid funk	funk
lithuanian electronic	electro
liverpool indie	indie
livetronica	electro
london rap	rap
lounge	lounge
lovers rock	rock
madchester	other
magyar mulatos	pop
malian blues	blues
manchester hip hop	hip hop
mande pop	pop
mangue bit	other
melancholia	other
melbourne bounce	electro house
melbourne bounce international	electro house
mellow gold	mellow gold
melodic dubstep	dubstep
melodic metalcore	metal
melodic rap	rap
meme rap	rap
memphis hip hop	hip hop
memphis soul	soul
merseybeat	other
metal	metal
metalcore	metal
metropopolis	other
mexican classic rock	classic rock
mexican pop	pop
miami hip hop	hip hop
milan indie	indie
minimal tech house	house
minnesota hip hop	hip hop
modern alternative rock	indie rock
modern blues rock	blues rock
modern country rock	county rock
modern folk rock	folk rock
modern funk	funk
modern hard rock	hard rock
modern reggae	reggae
modern rock	rock
modern salsa	salsa
modern samba	samba
moldovan pop	pop
moombahton	moombahton
moroccan pop	pop
motown	other
movie tunes	other
mpb	mpb
musica canaria	folk
musica para ninos	children's music
musical advocacy	other
musique guadeloupe	other
muzica crestina	gospel
native american	native american
nc hip hop	hip hop
neo mellow	indie
neo metal	metal
neo r&b	r&b
neo soul	soul
neo-psychedelic	psychedelic
neo-singer-songwriter	other
neo-synthpop	synthpop
neon pop punk	pop punk
neue deutsche harte	metal
new age	new age
new french touch	house
new jack swing	r&b
new jersey rap	rap
new orleans rap	rap
new rave	new rave
new romantic	new wave
new wave	new wave
new wave pop	new wave
new weird america	other
nice indie	indie
nigerian hip hop	hip hop
nigerian pop	pop
ninja	ninja
nordic house	house
north east england indie	indie
northern irish indie	indie
northern soul	soul
norwegian hip hop	hip hop
norwegian indie	indie
norwegian pop	pop
nottingham indie	indie
nouvelle chanson francaise	chanson
nova mpb	mpb
novelty	other
nu disco	disco
nu gaze	indie rock
nu jazz	jazz
nu metal	metal
nyc pop	pop
nyc rap	rap
nz pop	pop
nz reggae	reggae
okinawan folk	folk
okinawan pop	pop
oklahoma country	country
oktoberfest	other
old school hip hop	hip hop
ontario indie	indie
operatic pop	pop
orchestra	classical
oriental metal	metal
otacore	other
outlaw country	country
oxford indie	indie
pagode	pagode
pagode baiano	pagode baiano
palm desert scene	rock
panamanian pop	pop
partyschlager	other
permanent wave	new wave
pernambuco alternative	indie
perreo	reggaeton
perth indie	indie
philly rap	rap
phonk	hip hop
piano rock	rock
pittsburgh rap	rap
pixie	pixie
polish hip hop	hip hop
polish trap	trap
polynesian pop	pop
pop	pop
pop argentino	pop
pop catracho	pop
pop edm	electropop
pop emo	pop emo
pop house	pop house
pop nacional	pop
pop punk	pop punk
pop quebecois	pop
pop rap	pop rap
pop reggaeton	reggaeton
pop rock	pop rock
pop urbaine	pop
popping	pop
portland hip hop	hip hop
portuguese pop	pop
post-grunge	indie rock
post-metal	metal
post-punk	punk
post-romantic era	other
post-screamo	emo
post-teen pop	pop
progressive electro house	electro house
progressive house	house
progressive metal	metal
progressive rock	rock
progressive trance	trance
protopunk	punk
psychedelic rock	psychedelic rock
puerto rican pop	pop
punjabi pop	pop
punk	punk
punk blues	punk
quebec indie	indie
queens hip hop	hip hop
quiet storm	r&b
r&b	r&b
r&b argentino	r&b
r&b brasileiro	r&b
r&b en espanol	r&b
radio symphony	classical
rai	rai
rap	rap
rap algerien	rap
rap antillais	rap
rap baiano	rap
rap calme	rap
rap catalan	rap
rap conscient	rap
rap dominicano	rap
rap feminino nacional	rap
rap francais	rap
rap ivoire	rap
rap kreyol	rap
rap latina	rap
rap maroc	rap
rap marseille	rap
rap metal	rap metal
rap montrealais	rap
rap napoletano	rap
rap rock	rap rock
rap sardegna	rap
rap tunisien	rap
rave	rave
rebel blues	blues
reggae	reggae
reggae fusion	reggae
reggaeton	reggaeton
reggaeton chileno	reggaeton
reggaeton flow	reggaeton
regional mexican pop	pop
reunion pop	pop
rhythm and blues	r&b
rif	other
rio grande do sul indie	indie
ritmo kombina	other
rock	rock
rock alternativo brasileiro	indie rock
rock en espanol	rock
rock gaucho	rock
rock nacional brasileiro	rock
rock-and-roll	rock
rockabilly	rock
romanian pop	pop
roots reggae	reggae
roots rock	roots rock
rumba congolaise	rumba
russian dance	dance
russian gangster rap	rap
russian hip hop	hip hop
russian pop	pop
ryukyu ongaku	ryukyu ongaku
salsa	salsa
salsa choke	salsa
samba	samba
samba de roda	samba
samba reggae	samba reggae
san diego rap	rap
scandipop	pop
schlager	schlager
schweizer rap	rap
scottish indie rock	indie rock
scottish rock	rock
scottish singer-songwriter	other
screamo	emo
sertanejo	sertanejo
sertanejo pop	sertanejo
sertanejo tradicional	sertanejo
sertanejo universitario	sertanejo
sheffield indie	indie
shibuya-kei	j-pop
shimmer pop	pop
shiver pop	pop
show tunes	other
singer-songwriter	other
ska	ska
sky room	electro
sleaze rock	rock
sleep	other
slovenian pop	pop
slow core	indie rock
smooth jazz	jazz
smooth saxophone	other
smooth soul	soul
soca	soca
social media pop	pop
soft rock	rock
soukous	soukous
soul	soul
soul blues	blues
soul jazz	jazz
soundtrack	other
south african hip hop	hip hop
south african pop	pop
southern hip hop	hip hop
southern rock	rock
southern soul	soul
spanish indie pop	indie pop
spanish pop	pop
stomp and holler	country
stomp pop	pop
stoner rock	rock
strut	other
sudanese pop	pop
sunshine pop	pop
supergroup	other
swedish americana	americana
swedish country	country
swedish dancehall	dancehall
swedish electropop	electropop
swedish gangsta rap	rap
swedish idol pop	pop
swedish indie pop	indie pop
swedish pop	pop
swedish synthpop	synthpop
swedish tropical house	house
swing	swing
symphonic rock	rock
synth funk	funk
synthpop	synthpop
tahitian	other
talent show	other
tech house	house
tecnobrega	tecnobrega
teen pop	pop
texas country	country
torch song	other
toronto rap	rap
traditional country	country
trance	trance
trancecore	trance
transpop	pop
trap	trap
trap argentino	trap
trap brasileiro	trap
trap catala	trap
trap chileno	trap
trap espanol	trap
trap italiana	trap
trap latino	trap
trap queen	trap
trap soul	soul
trip hop	trip hop
tropical	tropical
tropical house	tropical house
turbo folk	folk
turkish edm	electro
turkish hip hop	hip hop
turkish modern jazz	jazz
turkish pop	pop
turkish rock	rock
turkish trap	trap
turkish trap pop	trap pop
turntablism	hip hop
uk alternative hip hop	hip hop
uk alternative pop	indie pop
uk americana	americana
uk contemporary r&b	r&b
uk dance	dance
uk dancehall	dancehall
uk drill	drill
uk funky	funk
uk garage	house
uk hip hop	hip hop
uk house	house
uk metalcore	metal
uk pop	pop
uk pop punk	pop punk
uk post-punk	punk
uk reggae	reggae
uk tech house	house
ukg revival	house
ukrainian classical	classical
underground hip hop	hip hop
uplifting trance	trance
urban contemporary	urban contemporary
vallenato	vallenato
vapor pop	pop
vapor soul	soul
vapor trap	trap
vapor twitch	other
variete francaise	variete francaise
venezuelan hip hop	hip hop
video game music	video game music
vienna indie	indie
vietnamese hip hop	hip hop
viral pop	pop
viral trap	trap
virgin islands reggae	reggae
visual kei	visual kei
vocal harmony group	other
vocal house	house
vocal jazz	jazz
vocal trance	trance
vocaloid	electro
vogue	vogue
volkspop	pop
washington indie	indie
wassoulou	wassoulou
welsh rock	rock
west coast rap	rap
west coast trap	trap
witch house	house
wonky	electro
world	world
worship	gospel
wrestling	other
yacht rock	rock
ye ye	pop
yodeling	other
zimdancehall	dance
zouglou	zouglou
zouk riddim	zouk riddim
