artist_1	artist_2	count	song_ids
5 Seconds of Summer	The Chainsmokers	5	['4FAd2rB28SaWaJWmn30Xuy', '5rAtoPMDrOFN5wLdM6YmRx', '11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN']
Post Malone	Swae Lee	4	['7dbka99KTWke5o9hRp0JoB', '0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
Bebe Rexha	The Chainsmokers	4	['6IJTc8xo6XasOU8fpxMU57', '2oejEp50ZzPuQTQ6v54Evp', '1SNiXDwSilLujcYdvfqVpT', '05CwHjIk71RXVU40boRMnR']
J Balvin	Tyga	4	['1jlnBQGP2DtSEhMgQaz7a7', '6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
Aloe Blacc	Avicii	3	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Dreamville	J. Cole	3	['4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '6MF4tRr5lU8qok8IKaFOBE']
ILLENIUM	Lennon Stella	3	['6wo37KVqFJhtuxPTpLCcfe', '3g0mEQx3NTanacLseoP0Gw', '63VyEdzMM3w4ZQ1WtARa2S']
ILLENIUM	The Chainsmokers	3	['6wo37KVqFJhtuxPTpLCcfe', '3g0mEQx3NTanacLseoP0Gw', '63VyEdzMM3w4ZQ1WtARa2S']
Lennon Stella	The Chainsmokers	3	['6wo37KVqFJhtuxPTpLCcfe', '3g0mEQx3NTanacLseoP0Gw', '63VyEdzMM3w4ZQ1WtARa2S']
Eminem	Logic	3	['0Lw6aQcBFWTQ9m4MSwwwes', '2MuMD298IpYqKF367wegUd', '7M2tXmeS15NAzEn7ABFeBg']
Juice WRLD	Lil Tecca	3	['5DSfqrLkUHLZ9bW0SS3rVy', '0DZJACISivjWjscIp5Kg1q', '2WsuSYJNXGKXVYkHPnq2yp']
Drax Project	Hailee Steinfeld	3	['3qLBz3j26AHO2jBYUQWLA6', '3k8YdriWQss396m6Q6rTzV', '4oPWkP9zQ5ANBbfdHGOvKF']
Travis Scott	Young Thug	3	['7DcvwMAiqKJQD1rrdfxSDx', '56AMYGJzxBO6p8v0wEe9de', '3s4mrPrEFFPF0LmAfutW0n']
Bas	Dreamville	3	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
Bas	JID	3	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
Dreamville	JID	3	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
Travis Barker	YUNGBLUD	3	['4mGdjNMo0RonTlOEb7cYg4', '6bWBLZLBRQEJ5KsLicouNB', '2gTdDMpNxIRFSiu7HutMCg']
DJ Snake	J Balvin	3	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
DJ Snake	Tyga	3	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
Brendon Urie	Taylor Swift	3	['4MsUsFfWseB9M2plGJyuIw', '2Rk4JlNc2TPmZe2af99d45', '4Sib57MmYGJzSvkW84jTwh']
Ed Sheeran	Stormzy	3	['07s9NNOT0sZQp7TyolLLgu', '1AI7UPw3fgwAFkvAlZWhE0', '4QPEwDdOMhY7rNS05mTyMR']
Post Malone	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw']
Goodboys	MEDUZA	3	['1DFD5Fotzgn6yYXkYsKiGs', '7CHi4DtfK4heMlQaudCuHK', '5p1ex0pXv6jSPJ6QbumQpD']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']
Tyga	YG	3	['3SZqA7rQvROJsCbUu2v0xa', '1kK6DwzyXJSp58u5HYWwuD', '51wFQM8W0YfXTmHusXUr5i']
Billy Ray Cyrus	Lil Nas X	3	['6u7jPi22kF8CTQ3rb9DHE7', '2YpeDb67231RjR0MgVLzsG', '6jmZlyf9DxcIoRrjw02YXm']
Lil Baby	Meek Mill	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Lil Baby	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Meek Mill	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Migos	Mustard	2	['3j84U36KvLeXNDPv4t5pI8', '63cd4JkwGgYJrbOizbfmsp']
RANI	Sam Feldt	2	['0qc4QlcCxVTGyShurEv1UU', '36orMWv2PgvnzXsd5CJ0yL']
Gunna	Lil Mosey	2	['7iHHxY2NLlJRAmlAmC4ahQ', '5hDAT527wXWNBnJlujhuUs']
A Boogie Wit da Hoodie	Tyga	2	['0Zl4G9qcdXV5hVhdOirNHG', '0jAfdqv18goRTUxm3ilRjb']
Europa	Jax Jones	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Europa	Madison Beer	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Europa	Martin Solveig	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Jax Jones	Madison Beer	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Jax Jones	Martin Solveig	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Madison Beer	Martin Solveig	2	['11o2y87vqODipLK98a1v34', '3O83h4LS797N23DpweeRAa']
Ed Sheeran	Khalid	2	['4evmHXcjt3bTUHD1cvny97', '70eFcWOvlMObDhURTqT4Fv']
Post Malone	SZA	2	['5KE9b4x7Zj2A8XtbkqhqTe', '2leIuE4fdcJoNMSKu5Yr7a']
Juice WRLD	benny blanco	2	['6cjSh516BbrNUs213jDAGm', '1KVczjazCcCCgM3gXXUl47']
Lauv	Troye Sivan	2	['7COXchtUOMd6uIT6HvmRaI', '2iwS33Jfev1QBiuhWVWZHY']
