artist_1	artist_2	count	song_ids
Alok	Zeeba	6	['39cmB3ZoTOLwOTq7tMNqKa', '06ZpMjkNdIDKVf3mK29UiC', '1Zp7mNLp3Q3jeOA0TEl4PI', '1yzBGun3xDY7WpHOIP9nNp', '4nraNqonMyfc0U3o8VeXVu', '1a5Yu5L18qNxVhXx38njON']
Alok	Bruno Martini	5	['39cmB3ZoTOLwOTq7tMNqKa', '06ZpMjkNdIDKVf3mK29UiC', '1Zp7mNLp3Q3jeOA0TEl4PI', '1yzBGun3xDY7WpHOIP9nNp', '1a5Yu5L18qNxVhXx38njON']
Bruno Martini	Zeeba	5	['39cmB3ZoTOLwOTq7tMNqKa', '06ZpMjkNdIDKVf3mK29UiC', '1Zp7mNLp3Q3jeOA0TEl4PI', '1yzBGun3xDY7WpHOIP9nNp', '1a5Yu5L18qNxVhXx38njON']
Pineapple StormTv	Salve Malak	4	['4nwQ1SG9CsAl4XoKuScF0r', '0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD', '1YUWhlQjFv7MQpcbb77zTL']
Kendrick Lamar	SZA	4	['3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y', '2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr']
21 Savage	Post Malone	4	['2U7Hu2RaNQNRi7izoJyZaX', '0e7ipj03S05BNilyu5bRzt', '1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Maiara & Maraisa	Marília Mendonça	3	['6aIrHPvM3l16MeS7iOQRYO', '01TYBVirOZoaY5Uw2kLGwp', '6yxYagNp6Gapd7jXmWzgVc']
Maria	Pineapple StormTv	3	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD', '1YUWhlQjFv7MQpcbb77zTL']
Maria	Salve Malak	3	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD', '1YUWhlQjFv7MQpcbb77zTL']
Gabriel Diniz	Wesley Safadão	3	['7krl54SfiKf4fMlM7lGlWc', '66wtCJjGr2mE6lLaLwkj6i', '5hJJOWPZtBq15zVfWWM8lZ']
Alok	Bhaskar	3	['1kJ1E0czwQPvUVNXCLaHAB', '30pVSKdzBpZ9Np4Y2bJbFM', '61GiOLLEn0LcavpVu1my6Q']
Anitta	J Balvin	3	['3Ga6eKrUFf12ouh9Yw3v2D', '7FnHUsFRTMg8VYteFKj3xL', '6MNGxu8MprKGkchUchkJsy']
Diplo	LSD	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
Labrinth	Sia	3	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '5a8RPWgKSmcGBGcffmIrUi']
MC Cabelinho	Orochi	3	['12hqpRynT8G2Hwm9QzPFkd', '6KudLqrhlX4kc0ndlbf14E', '1hw5UuO6s1DRAJmCn4Nc1H']
MC Cabelinho	WC no Beat	3	['12hqpRynT8G2Hwm9QzPFkd', '6KudLqrhlX4kc0ndlbf14E', '1hw5UuO6s1DRAJmCn4Nc1H']
Orochi	WC no Beat	3	['12hqpRynT8G2Hwm9QzPFkd', '6KudLqrhlX4kc0ndlbf14E', '1hw5UuO6s1DRAJmCn4Nc1H']
Post Malone	Ty Dolla $ign	3	['7wrDRQgHlvDnimrRHfQZxt', '65NwOZqoXny4JxqAPlfxRF', '3swc6WTsr7rl9DqQKQA55C']
Drake	Michael Jackson	2	['36ONiya0OANYknz0GgJmwB', '6G8kHiVZ1jW7vHMPVRNZU0']
Mc Davi	Mc Livinho	2	['7B3gD0HJTvH8zHVajBjoWK', '7bQ798Zl1FlT9dRMxkc77j']
ANAVITÓRIA	Sandy	2	['1NocSraHhZfASkuG2WdE5r', '1KIMRoLleFJCwABBrlAOPI']
Post Malone	Swae Lee	2	['1A6OTy97kk0mMdm78rHsm8', '3KkXRkHbMCARz0aVfEt68P']
Azzy	Pineapple StormTv	2	['4nwQ1SG9CsAl4XoKuScF0r', '4svcCNuxugwP6wrSnoMIfB']
Choice	Pineapple StormTv	2	['4svcCNuxugwP6wrSnoMIfB', '1YUWhlQjFv7MQpcbb77zTL']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
Jerry Smith	Mc Nando Dk	2	['4s75aDCVs0lm1ubPpw9cf8', '7CtFr21TzdM4ntuBkwzpxg']
Marshmello	Selena Gomez	2	['0tBbt8CrmxbjRP0pueQkyU', '7EmGUiUaOSGDnUUQUDrOXC']
Ducon	Kayuá	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Ducon	Maria	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Ducon	Pineapple StormTv	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Ducon	Salve Malak	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Kayuá	Maria	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Kayuá	Pineapple StormTv	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
Kayuá	Salve Malak	2	['0b369xoVhUFJOH56pYq4KB', '6HaTYIUKd8SzdvGOfutBRD']
IZA	Rincon Sapiência	2	['3RHhNmN9eFeutAzyJ6SqnY', '1QqIcxyTz2G7I31wcrnERf']
Delacruz	Pineapple StormTv	2	['4nwQ1SG9CsAl4XoKuScF0r', '6HaTYIUKd8SzdvGOfutBRD']
Delacruz	Salve Malak	2	['4nwQ1SG9CsAl4XoKuScF0r', '6HaTYIUKd8SzdvGOfutBRD']
Jerry Smith	Márcia Fellipe	2	['29dRTbLTxRaSl63DIzbjvl', '2lAyctg5FocS67eksHoyIg']
