artist_1	artist_2	count	song_ids
Quavo	Travis Scott	17	['2bjwRfXMk4uRgOD9IBYl9h', '3Ytr1SUCUi6J3L9dRFx5iH', '2nBI3iWLhupR7LyAJ5GGkE', '11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '53MHr9cjIlwet0mpmqNvjC', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '3eZGNBvKkExXp8q5FAyM8y', '7J6bnDDitOwfelaJNixHhL']
21 Savage	Metro Boomin	13	['7vbjH8laThXpcBXeLNPm3M', '6m6Oy3F6GG0zRwH03rWmTv', '0tdCy39PgWN8LFWu34ORn3', '7DuvVy7JfFgXwWlVzyyPys', '0RRAHU9Dkui4ZuroPk7XF3', '5u6vkDnOyaf8LsteDAj2ub', '2D2w9943rsnJOGCrI4aMQp', '0Gux2yTMWYOlcBUNjGJu5p', '3oxCefEI6Tc6Z6t20J4IvH', '6fwdbPMwP1zVStm8FybmkO', '6HR1z11h0ROUlWP4Kx8Z7G', '4gmmRb6bZJffOOiww1JGTO', '7vg47qMIEdLfNdTE3WLf0T']
Huncho Jack	Quavo	12	['11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Huncho Jack	Travis Scott	12	['11cCVYamncF0ezwjj1irQ0', '7bTH8LgGSwyNNE4r1k95Zp', '4vwfOiyWxXeEdx4ejAJgdx', '4RgoqOBE34Q6zZj8K7RUAx', '6urLjX35oXXRYtcH1b3dCh', '7CWiWkccuRRdrmaW6AjVEf', '7g7raxdQpiLZT7aOlib4S1', '5vuiHi3QYbwcm1OKJOYnrf', '7JGyxh8G8QZnu4AMJuCqlj', '7foypmc7KZyU716Yv63BPe', '628Ueb4sRiXApObhcU9iPU', '7J6bnDDitOwfelaJNixHhL']
Metro Boomin	NAV	11	['0jiW3PNiHJxOhWh9oPBJ7m', '1xpXnpIpuvzpx9jz15baJF', '3JWh19WsndEFg0UFRFeTiU', '0RRAHU9Dkui4ZuroPk7XF3', '4KvXkK07Xyxix6k4Hi60Ia', '6HbGKJJqQ67K2TwzOndeTj', '4EbULzyWMuFx94aoIY1MlJ', '07Qrb9cID0kcYadv0cBN6t', '095XMpnufdWcJUWpO37EXh', '5Od0M7jp6IODTPW0cygHgu', '0gHcxtyWQT0HrlGxaxP1KT']
Metro Boomin	Offset	10	['6m6Oy3F6GG0zRwH03rWmTv', '0tdCy39PgWN8LFWu34ORn3', '7sO5G9EABYOXQKNPNiE9NR', '3JWh19WsndEFg0UFRFeTiU', '7LAhKXDNWwq3CmnFP3UIOP', '5u6vkDnOyaf8LsteDAj2ub', '3oxCefEI6Tc6Z6t20J4IvH', '6HR1z11h0ROUlWP4Kx8Z7G', '6kig1UFggPUyZBCvXD3Wod', '7vg47qMIEdLfNdTE3WLf0T']
21 Savage	Offset	7	['6m6Oy3F6GG0zRwH03rWmTv', '1tyjWMMINb9S0YBynTvJ7s', '0tdCy39PgWN8LFWu34ORn3', '5u6vkDnOyaf8LsteDAj2ub', '3oxCefEI6Tc6Z6t20J4IvH', '6HR1z11h0ROUlWP4Kx8Z7G', '7vg47qMIEdLfNdTE3WLf0T']
Future	Young Thug	7	['2XdgSB4TtzUHQYCMfSHbFI', '7r6LNJT2LqpLpEyZQJPygt', '25oOaleife6E2MIKmFkPvg', '06Gyf2pFDVmN5K8XAawG96', '4W598w0KcHVG5Nwqk0qMpj', '6FwiZxKXipsyGw2CVZOzol', '1wWRtPIKD7ZNvtsrzLyTev']
Big Sean	Metro Boomin	6	['0fWBFDRTIuk8ZgNdZqhCer', '42XnD59SFcomCJu55EPhqJ', '3wAI7MIQtTgwcRmwchPZBc', '7dHui7yOhsoj7HdWSuJTW7', '7DuvVy7JfFgXwWlVzyyPys', '0Gux2yTMWYOlcBUNjGJu5p']
DJ Khaled	Travis Scott	5	['4vv1KjUzPwrtDbozizSfQc', '6CwTHNCzgkq41m11iPpzsf', '56uTIyBsxLQIYgF765A2aM', '7lxZbmtC6SkUc2yXBgDOdO', '6LOCAhFzZiavHcLJucLuDy']
A Boogie Wit da Hoodie	Kodak Black	5	['5gx2E5aIXMRBellPZW1up5', '6Q2FftbUG530lCtBI74bMH', '4YkwUfWSIxdKNLDXw0caFO', '1f5cbQtDrykjarZVrShaDI', '3LnOF5n1GOs01siYZXzS3p']
2 Chainz	Travis Scott	5	['2nBI3iWLhupR7LyAJ5GGkE', '02hNDxtMMTpq72rdp1lm6v', '3eZGNBvKkExXp8q5FAyM8y', '4r4PJQBHAE0bIKCjunhTgd', '1nX9KhK3Fff27SnrIor2Yb']
Chance the Rapper	Lil Wayne	4	['0v9Wz8o0BT8DU38R4ddjeH', '1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
A$AP Mob	A$AP Rocky	4	['59e7E2LMPZ2bhW5G6aCwX8', '6kl1qtQXQsFiIWRBK24Cfp', '28mIIBZt0jAe8k9g52NOsX', '4pdgV8qr9Oytcv6thCdiIZ']
Frank Ocean	Tyler, The Creator	4	['4bEcoz1OcfMgUbp2ft8ieQ', '6KuXb26rHuRy3ZDse1VRmx', '1pGAvZo2axYXAXYiSeYEqY', '2q0VexHJirnUPnEOhr2DxK']
Chance the Rapper	Justin Bieber	4	['1jYiIOC5d6soxkJP81fxq2', '3eze1OsZ1rqeXkKStNfTmi', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Big Sean	Travis Scott	4	['3eZGNBvKkExXp8q5FAyM8y', '3wAI7MIQtTgwcRmwchPZBc', '2nBI3iWLhupR7LyAJ5GGkE', '7lxZbmtC6SkUc2yXBgDOdO']
A$AP Rocky	Playboi Carti	4	['5QqyRUZeBE04yJxsD1OC0I', '4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp', '5JwLhFNrXw49pn3HQqu02G']
2 Chainz	Big Sean	4	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE', '42XnD59SFcomCJu55EPhqJ']
2 Chainz	Quavo	4	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE', '39pS70eeDvyCAF3t8NAlVV']
Chris Brown	Gucci Mane	3	['0iTCmKvuU1ReULiQB0rI7n', '05Z7jet4VDNVgNQWcYHnrk', '3l4ha5okkyLgMAFIKRSNVG']
DJ Khaled	Future	3	['6CwTHNCzgkq41m11iPpzsf', '2G60ShHRZZhqxSKbZTWdOh', '2ClE3QfsNx9p0zjPKxmUYq']
DJ Khaled	Migos	3	['2ClE3QfsNx9p0zjPKxmUYq', '5ndHl6BMrihdTqvT6Exhln', '4oLuMvGQ4WJfU2s4OM6nfE']
