artist_1	artist_2	count	song_ids
Hayce Lemsi	Volts Face	4	['1n7NF1keXJfu8M0dMvqPrH', '00cbRAOr6wTPE9WBMejhiM', '0mj6lbGNFbWFP0EMquLh2L', '69CNBc8diXF0AYfd0fdP6W']
Nekfeu	Sneazzy	3	['4Vg5DX38XeHrWXcE22DMNg', '4S1ZmpEshXG3S0OLdodb1W', '5t9fmZx0pcNxLykKTv6eOe']
Jax Jones	RAYE	3	['7M16mAuWuFA5rC9HvkXaGx', '00lNx0OcTJrS3MKHcB80HY', '4WrS6vezaPwOafKJmHqMEU']
Kalash Criminel	Sofiane	3	['4s7OqcUEyLJ1RkbzBopRGt', '7rULRGmvjAqqTtCTucjJbe', '6zQyTiNXgxLpD0RqUxeDVz']
Ninho	Sofiane	3	['1jCnQf9BhMMnIvq8ETzFry', '1Fv767CH5YFrjo6HwzHnpR', '6sCbcdJxuqC358BDBWjhCE']
Chance the Rapper	DJ Khaled	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Chance the Rapper	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Justin Bieber	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
DJ Khaled	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Lil Wayne	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Justin Bieber	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Lil Wayne	Quavo	3	['1jYiIOC5d6soxkJP81fxq2', '72Q0FQQo32KJloivv5xge2', '3DXncPQOG4VBw3QHh3S817']
Alonzo	Dadju	3	['4z0IXsydGE0IpQnO2uOlKU', '5FycIAPGzlaNEPj9fVw65S', '5i0hIGH4KGEYW49BWD759o']
Dadju	Maître Gims	3	['4z0IXsydGE0IpQnO2uOlKU', '5FycIAPGzlaNEPj9fVw65S', '3alSzdz0U10gV2aXVigYkT']
Alonzo	MHD	3	['6D8tdYo3mBOIUrWAk8wOVo', '0sqOIwjQoaiEXcSgl8iqsi', '4G3Ve2jKVthQckMEhG03MH']
Burak Yeter	Danelle Sandoval	2	['7abpmGpF7PGep2rDU68GBR', '5c4tB0saSkNHX5CyDosuF7']
Kaaris	Kalash Criminel	2	['6cG9I4PyigCQJu6A6PmgH2', '4s7OqcUEyLJ1RkbzBopRGt']
Drake	Young Thug	2	['7bJ4mu7MHa3rHiNyKjOoSl', '0xl1w2q4VLojeXp4JfazPL']
Maître Gims	Niska	2	['0ABwXYnDvByTbKIDxfzb0I', '0CJ31BEjjl1tPIj0CKi9kH']
Jul	Le Rat Luciano	2	['3hMqyoGZsZHwBFls2dYXLE', '2owjILiTibvZNB348YYQzv']
Hors Ligne	Jul	2	['6Ge69h4yge4yWg0272miHy', '5XhSe6CaVGrQhEw5YlSPCN']
Daft Punk	The Weeknd	2	['5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
J Balvin	Willy William	2	['7fwXWKdDNI5IutOMc5OKYw', '2rb5MvYT7ZIxbKW5hfcHx8']
Quavo	Travis Scott	2	['2bjwRfXMk4uRgOD9IBYl9h', '3Ytr1SUCUi6J3L9dRFx5iH']
G-Eazy	Halsey	2	['5k38wzpLb15YgncyWdTZE4', '3YU6vJbjYUG0tiJyXf9x5V']
Major Lazer	MØ	2	['4WjH9Bzt3kx7z8kl0awxh4', '6DNtNfH8hXkqOX1sjqmI7p']
Big Sean	Calvin Harris	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Big Sean	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Katy Perry	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Calvin Harris	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Katy Perry	Pharrell Williams	2	['6BaCraQ9xeLYg4Sb9TBT2X', '5bcTCxgc7xVfSaMV3RuVke']
Damso	Kalash	2	['1vVZLmZq8gN8pPCEBLjPvD', '2xLGWmTEfHH9kxDNEGgMNc']
Hooss	Hornet La Frappe	2	['2qQ9rKLbylbmmmR9RUSdWI', '2cg2JYHCXSRuVywWVTEZze']
Maroon 5	SZA	2	['4mxWSdf71VFO52qFeY0fZt', '3hBBKuWJfxlIlnd9QFoC8k']
Panama	Petit Biscuit	2	['0jWYIVQ6q5ixWpdUYpcEeh', '3llHPPHKJ9bBYh9pg9TBbf']
Metro Boomin	Offset	2	['7sO5G9EABYOXQKNPNiE9NR', '5u6vkDnOyaf8LsteDAj2ub']
Bakyl	Sofiane	2	['5d5p3ai9PLqp8bOCg7Orhu', '2rF2XSPjtNavLADPSB5wvM']
ALMA	Martin Solveig	2	['3aLSrx8qhssXrh5yjB6oy9', '26haJjtanhamtf25RXH0MO']
Jul	Norey Fz	2	['6Ge69h4yge4yWg0272miHy', '2HzJCYwtTXqrj72mE2hnEW']
Macklemore	Skylar Grey	2	['3HVr6jTVwBHBa2flM0eURR', '0CokSRCu5hZgPxcZBaEzVE']
Alpha Wann	Nekfeu	2	['4Vg5DX38XeHrWXcE22DMNg', '3Y9l5dKsuaipDSnPsHzogk']
Alpha Wann	Sneazzy	2	['4Vg5DX38XeHrWXcE22DMNg', '7jli3QR8e7nanIo5h8s97v']
Jonas Blue	William Singe	2	['0NiXXAI876aGImAd6rTj8w', '4xlrALxuaCf9yZBHJeTSG6']
Booba	Damso	2	['3fHXUNVKNZQ4WaUGLwWxHP', '6xqAP7kpdgCy8lERQHh29c']
S.Pri Noir	Sneazzy	2	['2u36zlaWvNzzn0OtEJmJog', '5t9fmZx0pcNxLykKTv6eOe']
Benash	Damso	2	['4I2Z1gxRN4f55EmMwhzKxK', '6xcXAVbDuVT1pCsa2rmDHY']
Nekfeu	Nemir	2	['0xH4qR6s5TqdzMKRkloBnh', '4xyyC9MONeIkqOW67C38kw']
Fifth Harmony	Gucci Mane	2	['20H2Hd5AkUcRjB4yL3UQtJ', '7LEydI5NfjY6mZfKwYIptZ']
Isaac Delusion	Møme	2	['7gxLYfaAKjyC4pEs8rXW7Y', '6Fr50AXBWr8ki9EluTMPWl']
Isaac Delusion	Petit Biscuit	2	['7gxLYfaAKjyC4pEs8rXW7Y', '6Fr50AXBWr8ki9EluTMPWl']
Møme	Petit Biscuit	2	['7gxLYfaAKjyC4pEs8rXW7Y', '6Fr50AXBWr8ki9EluTMPWl']
Niska	Sadek	2	['0zx2ksnbLkPG1wrbnO0KrQ', '5axLlrd4jZZs0eAKIeNtOX']
Hornet La Frappe	Sofiane	2	['2pA1oug5Xo7BLEkWSAsO0X', '68mVd6a9VJhCSIjgwB76nK']
Beyoncé	Eminem	2	['5b2QnYcT9rQIkhRWt4HztQ', '5PIBgH1cUFwu5IiUk9tnN9']
Calvin Harris	Future	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Calvin Harris	Khalid	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Future	Khalid	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Katy Perry	Migos	2	['61WbtB6ujkpNAsAf5LjF4b', '14oOKFGuXu8DqvOe1W8vao']
Busy P	Mayer Hawthorne	2	['0rNhRaRsrP0lilQbmdf2xw', '2BnqjCRKj00LtQBU8RNKnr']
GLK	Sofiane	2	['2pA1oug5Xo7BLEkWSAsO0X', '6sCbcdJxuqC358BDBWjhCE']
Alonzo	Maître Gims	2	['4z0IXsydGE0IpQnO2uOlKU', '5FycIAPGzlaNEPj9fVw65S']
Calvin Harris	Frank Ocean	2	['6gpcs5eMhJwax4mIfKDYQk', '7tr2za8SQg2CI8EDgrdtNl']
Calvin Harris	Migos	2	['6gpcs5eMhJwax4mIfKDYQk', '7tr2za8SQg2CI8EDgrdtNl']
