artist_1	artist_2	count	song_ids
Gunna	Lil Baby	6	['0kCBorRrKZkSztd9m0QI3r', '6PoKfDY78ih5OveWirggRX', '1BxkZE73h9BN3qwuA15TA3', '78QR3Wp35dqAhFEc2qAGjE', '7roKDmJDOzkpfGpUQJ5EnL', '6wWaVoUOzLQJHd3bWAUpdZ']
Rae Sremmurd	Slim Jxmmi	6	['1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa']
Rae Sremmurd	Swae Lee	6	['1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa']
Slim Jxmmi	Swae Lee	6	['1oUudyBYVGMIC8JXeIsFzq', '2yUbCEiaolfSMluDo9RMmG', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '6sTDhYVVXU3HSDuG7mBLRU', '3qKCDFZp192KBEEtFj7fDa']
21 Savage	Metro Boomin	6	['0AluA5RNsa4Cx6XRhf2hWZ', '2Grb4G6t9VIqo6moKUloom', '1m6lqaLvUTxPjOo98fJH8U', '5u6vkDnOyaf8LsteDAj2ub', '1HLL8X0LH20F6Z9SLXLIjr', '43lYaovU2FoeuBMNusVVVW']
Bonez MC	RAF Camora	6	['1H3oIeKUEHpBhXUiso0IMH', '2SRVj6ceeIffVEm9NFyRHI', '641R77CBy4bOLGRcA9sgHy', '4UOXo3xWnxYdTf3sFyRaUG', '4Bj3usjRTckEJARO0dLbDf', '6pLKMPAUlBCjHjylj2Nbd9']
Metro Boomin	Travis Scott	5	['6osMzmRHCVETbZMHceLRmh', '5u6vkDnOyaf8LsteDAj2ub', '1HLL8X0LH20F6Z9SLXLIjr', '27P4XoNXXEV4lTc3sB61RK', '2mYDDUkBcgFNBqkWctyyuc']
DJ Luian	Mambo Kingz	4	['7dNwJbsT0sg1le5kVugGJb', '3VClLWqNn80Llv0PJOsKgr', '7rwX0O3RlxqqIjQM8evm5E', '5hcisvFMidkMJlElTO9Qmw']
Kendrick Lamar	SZA	4	['3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y', '2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr']
Offset	Travis Scott	4	['0FZ4Dmg8jJJAPJnvBIzD9z', '7l3E7lcozEodtVsSTCkcaA', '6urLjX35oXXRYtcH1b3dCh', '5u6vkDnOyaf8LsteDAj2ub']
Future	Juice WRLD	4	['6gzIcEUuswJQGfJNPYMjjv', '2vs5ubqg8QUbfyWZpMfvWe', '2OsDoAzo5SGq10qwmKSQBv', '5274I4mUMnYczyeXkGDWZN']
Kelsea Ballerini	The Chainsmokers	4	['4NBTZtAt1F13VvlSKe6KTl', '4edS9dC0JPBlSS4p4gMOT0', '15kQGEy89K8deJcZVFEn0N', '6LKYeyLt4G4SlZ6OJwFhVS']
Ariana Grande	Nicki Minaj	4	['0sdbFOyfgAhAhWq8DpzkaW', '1ZEm9cJC05rawV2tptNfTS', '5iZ4hcpCgFVijq5OOjBTKZ', '3L4GsGLgxpHieVQH86H8bv']
Diplo	LSD	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
Labrinth	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '2c7GlMNmF7pbohjykutmLP', '5a8RPWgKSmcGBGcffmIrUi']
BTS	Steve Aoki	4	['7Ed6BkggCS2KaKY5YlINaF', '2J0X46UkpfLlWbuCXFgDLr', '2r1T6xGTVaNAqBoPH4lZEE', '48XfojJC87VKLlUotYV0Gm']
21 Savage	Post Malone	4	['2U7Hu2RaNQNRi7izoJyZaX', '0e7ipj03S05BNilyu5bRzt', '1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
6ix9ine	A Boogie Wit da Hoodie	3	['7q1ikCoQLytPP5TTzDy7JK', '6o79O9qBP3OAkWOXajAQIS', '0zl3PdjIl320fK0pxBGWNR']
Post Malone	Swae Lee	3	['1A6OTy97kk0mMdm78rHsm8', '5VuxWXbt7XENQCtE9TzpTv', '3KkXRkHbMCARz0aVfEt68P']
Daft Punk	The Weeknd	3	['7MXVkk9YMctZqd1Srtv4MB', '5aAx2yezTd8zXrkmtKl66Z', '5GXAXm5YOmYT0kL5jHvYBt']
