artist_1	artist_2	count	song_ids
Bad Bunny	J Balvin	10	['7alOsNr36sJ8CyOEP4aILq', '71pEiUWwfDFiRO6RmFpnBf', '0uIfrUwwg0Z7KTitul7E3T', '25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '7hynhxDoDpgMIV12JuVtNa', '58q2HKrzhC3ozto2nDdN4z', '4R8BJggjosTswLxtkw8V7P', '0fea68AdmYNygeTGI4RC18', '6SYSu569pfYdkDT9A5lZqi']
Dreamville	J. Cole	8	['7wTA0NKIm6T7nP2kaymU2a', '3pZO6GoVPeSYDxxsH6vCdj', '2DjLLLV2r88a8TO0hVTVrS', '36J0iaPDGbYGsHvYpaYs3k', '6MF4tRr5lU8qok8IKaFOBE', '4eqrNsKy9Mvg1fvfsTVIAE', '1KbCc89SxYma4BnBChkJBs', '7wxDKfgFtRTbupcG4xDhtj']
Gunna	Young Thug	7	['2U3LJfQB0ALLxC7Yy0QW7l', '56AMYGJzxBO6p8v0wEe9de', '4ea9w8c4ROqiZpJVhfBA3m', '6igOR5QCn09zAVF2ikZjsV', '4bi9YrkOvmg4Eb7h00AW2c', '5Z8HZM6iQMhhqyPcCGY5g9', '2OaKHGvIxoOzIYjyMsxcT8']
Dreamville	JID	7	['3QBnJDkME3teXvf52Sfslk', '2gtFMLjQpCTGekMi4oXZxN', '2DjLLLV2r88a8TO0hVTVrS', '36J0iaPDGbYGsHvYpaYs3k', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '1KbCc89SxYma4BnBChkJBs']
Dreamville	EARTHGANG	6	['7wTA0NKIm6T7nP2kaymU2a', '2gtFMLjQpCTGekMi4oXZxN', '36J0iaPDGbYGsHvYpaYs3k', '03XfngWwNfhEjrnEga73Rg', '4eqrNsKy9Mvg1fvfsTVIAE', '1KbCc89SxYma4BnBChkJBs']
Travis Scott	Young Thug	5	['4ea9w8c4ROqiZpJVhfBA3m', '56AMYGJzxBO6p8v0wEe9de', '7DcvwMAiqKJQD1rrdfxSDx', '3RZftiuTcLOqpsd8ZlwNhr', '3s4mrPrEFFPF0LmAfutW0n']
Bas	Dreamville	5	['4ChD9wq9iakg5UdeSzmgPE', '7dnSXaCjLdFiWZa8s5wP1n', '36J0iaPDGbYGsHvYpaYs3k', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE']
Tyga	YG	5	['1kK6DwzyXJSp58u5HYWwuD', '51wFQM8W0YfXTmHusXUr5i', '3SZqA7rQvROJsCbUu2v0xa', '3O7lxdQoe1aNWs93VSHsJg', '0EzRnjtN5ER0wu1IudNom8']
Lil Baby	Meek Mill	4	['0hGH0S74Eoyv6mXZcOKtdQ', '6xVhqLT40s5sVhepe9Mckc', '4U6ubKsTd8RBDP5tPPhh7I', '12Fkyg9lpmaz2zmKOfw2Y2']
Post Malone	Swae Lee	4	['7dbka99KTWke5o9hRp0JoB', '0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
EARTHGANG	J. Cole	4	['1KbCc89SxYma4BnBChkJBs', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '7wTA0NKIm6T7nP2kaymU2a']
Gunna	Lil Baby	4	['78QR3Wp35dqAhFEc2qAGjE', '6wWaVoUOzLQJHd3bWAUpdZ', '0mOp9tWdCRHfYwwVaO8ezw', '6KCt9V6Lev0M04rFUj8ANC']
Buddy	Dreamville	4	['4ChD9wq9iakg5UdeSzmgPE', '5WnfnSpuNEGXyEt78PBA6d', '1KbCc89SxYma4BnBChkJBs', '2gtFMLjQpCTGekMi4oXZxN']
J Balvin	Tyga	4	['1jlnBQGP2DtSEhMgQaz7a7', '6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
EARTHGANG	JID	4	['4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs', '2gtFMLjQpCTGekMi4oXZxN']
J. Cole	JID	4	['2DjLLLV2r88a8TO0hVTVrS', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Darell	Nicky Jam	3	['3V8UKqhEK5zBkBb6d6ub8i', '4lzxJ4jCuFDXXGkE1LmpKR', '4bTZeO72FwMa6wKOiqoynL']
Nicky Jam	Ozuna	3	['3V8UKqhEK5zBkBb6d6ub8i', '4bTZeO72FwMa6wKOiqoynL', '6v0lAdFF4haL8xjBIUjtOw']
Aloe Blacc	Avicii	3	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Dreamville	Young Nudy	3	['4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '3pZO6GoVPeSYDxxsH6vCdj']
J. Cole	Young Nudy	3	['4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '3pZO6GoVPeSYDxxsH6vCdj']
Eminem	Logic	3	['0Lw6aQcBFWTQ9m4MSwwwes', '2MuMD298IpYqKF367wegUd', '7M2tXmeS15NAzEn7ABFeBg']
Juice WRLD	Lil Tecca	3	['5DSfqrLkUHLZ9bW0SS3rVy', '0DZJACISivjWjscIp5Kg1q', '2WsuSYJNXGKXVYkHPnq2yp']
Anuel AA	Ozuna	3	['2ksOAxtIxY8yElEWw8RhgK', '3jbT1Y5MoPwEIpZndDDwVq', '4bTZeO72FwMa6wKOiqoynL']
5 Seconds of Summer	The Chainsmokers	3	['11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN']
Bas	JID	3	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
Buddy	Guapdad 4000	3	['4ChD9wq9iakg5UdeSzmgPE', '5WnfnSpuNEGXyEt78PBA6d', '2gtFMLjQpCTGekMi4oXZxN']
Buddy	JID	3	['5WnfnSpuNEGXyEt78PBA6d', '1KbCc89SxYma4BnBChkJBs', '2gtFMLjQpCTGekMi4oXZxN']
Dreamville	Guapdad 4000	3	['4ChD9wq9iakg5UdeSzmgPE', '5WnfnSpuNEGXyEt78PBA6d', '2gtFMLjQpCTGekMi4oXZxN']
Blueface	YG	3	['0EzRnjtN5ER0wu1IudNom8', '1JkrD47SDpAbyvqKtolcea', '4EnEGf9JzAJhF1XNY9DJcD']
Travis Barker	YUNGBLUD	3	['4mGdjNMo0RonTlOEb7cYg4', '6bWBLZLBRQEJ5KsLicouNB', '2gTdDMpNxIRFSiu7HutMCg']
DJ Snake	J Balvin	3	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
DJ Snake	Tyga	3	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo', '1fBXSMOusjaj7GjzErHmUI']
Brendon Urie	Taylor Swift	3	['4MsUsFfWseB9M2plGJyuIw', '2Rk4JlNc2TPmZe2af99d45', '4Sib57MmYGJzSvkW84jTwh']
Landon Cube	Lil Skies	3	['3ZhTT6yjZwpPph5MIJ53XY', '0Goo25lbtpwor5vb0K2r21', '2u7mxWSeoqTXndK5e08jMp']
Post Malone	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw']
PnB Rock	XXXTENTACION	3	['4AEzAEnbm9uRgbmTdeI63K', '69dXVFCMiz3SL1L7M24NdX', '03eJ2DclFWXYU8GWgANdmZ']
Trippie Redd	XXXTENTACION	3	['7AQim7LbvFVZJE3O8TYgf2', '69dXVFCMiz3SL1L7M24NdX', '03eJ2DclFWXYU8GWgANdmZ']
Rich The Kid	Tory Lanez	3	['2VGD6mGeuv6aORaU0vKsHB', '51w9Jbat1pLeWINGCpnQUR', '7cWmR9RLLMY6bj28q4bhvz']
Drake	Rick Ross	3	['1rX5L6pyl3rVWb55D8Cprr', '5ry2OE6R2zPQFDO85XkgRb', '4aPB8rSxGFISs0o6V2LrTy']
Cozz	Dreamville	3	['4ChD9wq9iakg5UdeSzmgPE', '1OS9fNE87zO4Z696lBXriv', '1KbCc89SxYma4BnBChkJBs']
DaBaby	Lil Baby	3	['2nKYHpmwjLaEOXS3o7QMiz', '5MPPttjfGap2C6j6eKcO6J', '2FvD20Z8aoWIePi7PoN8sG']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']
Offset	Quality Control	3	['4T2dHb8XBYHlVj7Dyo1cW9', '2JdIqJBbIiwEah4ejqIWGj', '0W1ZfgXpC23RYQPDq7RM5I']
Billy Ray Cyrus	Lil Nas X	3	['6u7jPi22kF8CTQ3rb9DHE7', '2YpeDb67231RjR0MgVLzsG', '6jmZlyf9DxcIoRrjw02YXm']
DaBaby	Quality Control	3	['2nKYHpmwjLaEOXS3o7QMiz', '5MPPttjfGap2C6j6eKcO6J', '0W1ZfgXpC23RYQPDq7RM5I']
Juice WRLD	Trippie Redd	2	['75lcPkAkUsKWHGBlGM476R', '7tgjDlQsMR8RvkdlNCJA58']
