source	target	weight	avg_streams
dance pop	pop	224	5384970.855932203
pop rap	rap	198	4031756.5454545454
pop	pop	190	5949794.1
pop	post-teen pop	189	5253863.634782609
pop	pop rap	169	4463146.989690722
hip hop	rap	150	4131938.410958904
pop	rap	148	4674296.989473684
rap	trap	144	4805530.818181818
hip hop	pop rap	133	3406256.516666666
dance pop	post-teen pop	126	4606431.831325301
pop rap	trap	125	3605397.2380952383
pop	tropical house	120	5466776.72368421
rap	rap	115	4200601.534883721
dance pop	pop rap	105	4122603.805555557
edm	pop	103	5471949.388059702
hip hop	trap	97	3710819.3061224488
hip hop	pop	90	3788068.618181818
pop rap	post-teen pop	90	4566460.71875
rap	southern hip hop	89	4532507.117647058
electropop	pop	88	4640466.9344262285
pop rap	pop rap	87	3520035.9827586208
dance pop	tropical house	82	5231506.584905662
dance pop	rap	80	4109018.964912282
pop rap	southern hip hop	79	4268999.634146341
pop	trap	75	3807093.487804878
dance pop	dance pop	71	4695415.542372881
dance pop	edm	71	5314632.0
post-teen pop	rap	69	4136834.22
post-teen pop	tropical house	66	4659068.2
hip hop	southern hip hop	65	3634793.2162162163
southern hip hop	trap	61	4465314.0
edm	post-teen pop	58	4864153.979166667
hip hop	hip hop	57	3134068.5
trap	trap	51	4069363.9714285713
atl hip hop	rap	49	4436947.0
dance pop	hip hop	49	2841904.1875
dance pop	electropop	47	4579101.179487179
electropop	post-teen pop	45	4650141.891891892
post-teen pop	post-teen pop	45	4886592.209302327
dance pop	trap	45	4259760.1875
atl hip hop	pop rap	43	4233826.133333334
pop	southern hip hop	42	3750659.958333334
edm	tropical house	42	3845986.0
post-teen pop	trap	41	3974025.1
hip hop	post-teen pop	41	3423382.888888888
pop	uk pop	40	6359954.703703702
melodic rap	rap	38	4398881.068965517
melodic rap	trap	35	6345753.7
atl hip hop	hip hop	35	3662667.68
electro house	pop	35	5082480.137931035
r&b	rap	32	4483482.692307692
edm	pop rap	32	4696268.5
dance pop	uk pop	32	5820657.48
melodic rap	pop rap	31	5199992.730769231
pop rap	tropical house	31	4579426.136363637
melodic rap	pop	27	6937330.210526316
gangster rap	rap	27	1761916.769230769
pop	uk dance	27	6516138.7272727275
dance pop	southern hip hop	27	2165633.111111111
atl hip hop	pop	26	4882376.0
electropop	tropical house	26	4454078.428571428
tropical house	tropical house	26	3873292.8636363638
gangster rap	hip hop	26	1648690.4285714286
tropical house	uk pop	26	5725443.4
hip pop	rap	25	2656339.333333333
hip hop	melodic rap	25	5691524.0
atl hip hop	trap	25	5237706.25
edm	electropop	25	4029233.304347826
rap	urban contemporary	25	3045580.1052631573
gangster rap	pop rap	25	1830788.6
pop rap	r&b	23	3722858.5
electropop	pop rap	23	5961792.5
canadian pop	rap	23	5276914.882352942
post-teen pop	southern hip hop	23	3827139.875
edm	uk pop	23	6139762.388888889
miami hip hop	rap	22	4587331.94117647
alternative r&b	pop	21	12596130.466666667
post-teen pop	uk dance	21	5964167.894736842
pop	urban contemporary	21	4195584.25
pop rap	urban contemporary	21	3260620.666666666
canadian pop	hip hop	21	4457535.133333334
moombahton	pop	20	2759640.8181818184
pop	progressive house	20	7310973.866666666
gangster rap	trap	20	1776960.0
pop	r&b	20	6945247.666666668
edm	rap	20	4544595.8
dance pop	electro house	20	5614994.470588235
conscious hip hop	pop	19	5231725.625
conscious hip hop	rap	19	4534563.692307692
atl hip hop	southern hip hop	19	4578409.94117647
canadian pop	pop	19	4441237.294117647
hip hop	r&b	19	2502397.2
southern hip hop	southern hip hop	19	3088699.0
electro house	post-teen pop	19	3895630.111111112
dance pop	uk dance	19	7416749.333333332
post-teen pop	uk pop	19	5940596.94117647
queens hip hop	rap	18	2904585.272727273
australian pop	pop	18	4039143.833333334
chicago rap	rap	18	3676001.0
miami hip hop	trap	18	4070034.0
conscious hip hop	pop rap	17	4788980.0
hip pop	pop rap	17	1771184.7777777778
edm	trap	17	4558072.0
rap	tropical house	17	4807162.0
canadian pop	pop rap	17	4576842.2727272725
contemporary country	pop	16	6967178.928571427
melodic rap	southern hip hop	16	6148978.5
indie poptimism	pop	16	6335191.0
latin	pop	16	5001002.555555556
hollywood	show tunes	16	3476631.0
gangster rap	southern hip hop	16	1748780.7777777778
electropop	rap	16	4976181.538461538
hip hop	urban contemporary	16	2805107.4545454546
queens hip hop	trap	15	2345277.727272727
pop	viral pop	15	2806868.6
emo rap	rap	15	3069177.933333333
pop	pop edm	15	6077871.4
edm	edm	15	4106115.1538461535
canadian pop	trap	15	5374439.0
pop rap	queens hip hop	15	1973447.5
chicago rap	pop rap	15	3329865.5
hip hop	hip pop	15	1050824.5
trap	tropical house	15	4934608.727272728
miami hip hop	pop rap	15	3435760.75
hip pop	pop	14	2169795.5
pop	queens hip hop	14	2158849.166666666
dfw rap	trap	14	9198927.214285716
hip pop	trap	14	2562130.7
bmore	pop	14	3335916.7142857136
ninja	pop	14	3335916.7142857136
chicago rap	trap	14	4433871.454545454
electropop	trap	14	2670810.4
canadian hip hop	rap	14	5791476.846153846
rap	toronto rap	14	5037673.692307692
melodic rap	post-teen pop	14	5388106.0
hip hop	miami hip hop	14	3539900.272727273
emo rap	trap	14	2352514.5
atl hip hop	melodic rap	13	5165519.538461538
dance pop	pop edm	13	7378918.636363638
canadian hip hop	trap	13	4573449.833333333
pop	reggaeton	13	5470783.25
dirty south rap	trap	13	3973157.875
east coast hip hop	rap	13	3696098.25
house	pop	13	6924432.888888889
dance pop	urban contemporary	13	1948796.636363636
atl hip hop	post-teen pop	13	5046450.384615385
electro house	rap	13	4898974.0
conscious hip hop	trap	13	3483572.75
hollywood	post-teen pop	12	5205465.571428572
pop	progressive electro house	12	12003223.1
dance pop	progressive house	12	7076190.555555556
big room	pop	12	6849717.555555556
contemporary country	dance pop	12	8803106.7
canadian pop	dance pop	12	4097837.5454545454
canadian hip hop	pop rap	12	3049337.8181818184
dirty south rap	pop rap	12	3973157.875
dirty south rap	rap	12	3973157.875
atl hip hop	dance pop	12	5113698.166666667
conscious hip hop	hip hop	12	3483572.75
detroit hip hop	pop	12	3959486.777777778
electro house	tropical house	12	5150500.125
dance pop	hip pop	11	2217741.1
australian dance	pop	11	5123768.6
canadian hip hop	pop	11	3648737.0
electropop	electropop	11	7080910.0
