source	target	weight	avg_streams
pop rap	rap	406	3189337.6117647057
rap	trap	400	3494709.5843373495
hip hop	rap	332	3319137.7674418604
pop rap	trap	312	3171873.189781022
rap	rap	293	3308778.361445783
hip hop	pop rap	227	3413382.3584905663
rap	southern hip hop	208	3190259.757281553
hip hop	trap	208	3401641.725490196
pop	pop	183	4114516.1631205673
dance pop	pop	166	3516184.2692307686
pop rap	pop rap	164	3424575.5596330273
pop rap	southern hip hop	163	3450606.475
melodic rap	rap	161	3135378.702970297
southern hip hop	trap	158	2846193.188405797
pop	pop rap	158	2758758.590476191
pop	post-teen pop	156	4049707.81372549
trap	trap	151	2945624.272727273
pop	rap	146	2323301.076086956
atl hip hop	rap	140	3438541.1410256415
melodic rap	trap	132	3741904.9425287363
rap	underground hip hop	123	1508967.2272727273
melodic rap	pop rap	122	2687242.9880952383
hip hop	southern hip hop	108	3781421.06
atl hip hop	pop rap	102	3219393.765625
pop	trap	100	2012228.2222222225
hip hop	hip hop	99	2964504.4
atl hip hop	trap	96	3026792.2
hip hop	underground hip hop	84	1046573.2666666668
pop	tropical house	81	3298593.7358490564
hip hop	pop	79	1923922.9411764704
electropop	pop	78	4217327.422222222
dance pop	pop rap	76	3018075.4814814813
dance pop	rap	76	2189014.717391304
dance pop	post-teen pop	73	3861206.2653061226
atl hip hop	hip hop	72	2792346.5454545454
hip hop	melodic rap	66	3245036.897959184
edm	pop	61	2834130.461538461
atl hip hop	southern hip hop	60	3132705.7027027025
cali rap	rap	57	3662130.55
melodic rap	southern hip hop	56	2851821.511627907
rap	vapor trap	55	1314212.0
dance pop	trap	55	1815960.026315789
atl trap	rap	51	2875170.2903225813
gangster rap	rap	51	3140719.8461538465
dance pop	tropical house	49	2579259.6486486485
pop rap	post-teen pop	47	3639813.2972972975
nc hip hop	rap	46	2643341.333333333
pop	southern hip hop	45	1827539.451612904
atl hip hop	melodic rap	44	4072209.6
post-teen pop	tropical house	43	2774405.052631579
underground hip hop	underground hip hop	43	1074325.833333333
canadian hip hop	rap	43	4514715.421052632
cali rap	trap	42	4014362.277777778
miami hip hop	rap	42	2618009.909090909
melodic rap	pop	42	2491976.0270270268
cali rap	pop rap	41	3840945.736842105
rap	toronto rap	41	4732737.314285714
conscious hip hop	rap	40	2282210.888888889
canadian hip hop	pop rap	40	4802498.94117647
dance pop	edm	39	2651508.8666666667
