source	target	weight	avg_streams
deep german hip hop	german hip hop	466	2891016.691011236
german hip hop	german hip hop	459	3103924.932
german hip hop	hamburg hip hop	270	5085073.679487179
dance pop	pop	239	8855858.144067796
pop	pop rap	175	6883306.295454546
deep german hip hop	hamburg hip hop	168	4840483.568627452
pop	pop	164	9318822.225
pop	tropical house	156	9253524.590909092
pop rap	rap	150	4837612.808510638
pop	rap	142	5443511.712328767
edm	pop	132	8780064.197674418
deep german hip hop	deep german hip hop	126	2406537.411764706
pop	post-teen pop	125	9987083.258823527
dance pop	tropical house	120	8594575.783783784
dance pop	pop rap	118	7362856.347222223
hip hop	pop rap	111	5850177.317073171
hip hop	rap	109	5435787.0
german cloud rap	german hip hop	105	2034945.5909090908
hip hop	pop	104	5663832.666666668
pop rap	trap	103	6941614.025641026
rap	trap	99	7345679.181818183
dance pop	edm	98	8560462.985294119
dance pop	post-teen pop	93	10316172.462686567
pop	trap	88	7264517.6
dance pop	dance pop	86	8975782.69117647
dance pop	rap	86	5840493.519230769
pop rap	pop rap	79	6068452.894736842
rap	rap	78	5620035.615384615
pop rap	post-teen pop	77	8271112.527272727
hamburg hip hop	hamburg hip hop	74	4957492.0606060615
hip hop	trap	71	6406198.461538463
edm	tropical house	70	7822398.095238095
electro house	pop	68	6722882.352941178
edm	post-teen pop	65	10303128.55357143
electropop	pop	65	8884545.18367347
dance pop	hip hop	65	6558516.5
post-teen pop	tropical house	64	10845337.945454543
german hip hop	german pop	61	1684285.5454545454
post-teen pop	rap	59	6793026.6190476185
dance pop	trap	58	8105321.324324325
pop rap	southern hip hop	56	6113964.586206896
pop	southern hip hop	56	6065963.555555556
dance pop	electro house	52	6912527.386363638
rap	southern hip hop	50	5165449.19047619
atl hip hop	rap	46	6984807.238095238
tropical house	tropical house	46	7470398.684210528
hip hop	post-teen pop	45	7650621.44117647
german hip hop	german underground rap	44	1361842.4615384615
pop rap	tropical house	44	6917734.5
dance pop	electropop	43	8163723.75
edm	pop rap	42	7812475.29032258
hip hop	hip hop	42	4470137.05
atl hip hop	pop rap	42	3901849.666666666
electropop	tropical house	40	6907832.322580645
melodic rap	rap	38	7325478.75
pop	uk dance	38	8601114.48275862
dance pop	southern hip hop	36	6269464.28
deep german hip hop	german cloud rap	35	1778382.3846153843
post-teen pop	trap	35	10328071.538461538
southern hip hop	trap	35	8383606.352941178
atl hip hop	pop	35	7692380.130434782
melodic rap	pop rap	34	5203564.9523809515
edm	electropop	34	8325755.653846154
hip hop	southern hip hop	33	4508344.647058823
trap	trap	32	8383606.352941178
house	pop	31	5527744.869565218
deep german hip hop	german pop	29	1479307.76
electro house	post-teen pop	29	8456918.931034483
melodic rap	pop	28	9080848.6
pop	pop edm	28	6225221.7727272725
dance pop	uk dance	27	8846072.666666666
pop	uk pop	27	11857155.608695652
pop rap	urban contemporary	27	10005384.875
rap	urban contemporary	27	5949148.8125
electro house	tropical house	27	5489525.5
atl hip hop	hip hop	26	5354094.769230769
german underground rap	hamburg hip hop	25	2105064.461538461
deep german hip hop	german underground rap	25	1697957.5
electro house	pop rap	25	5232911.5
atl hip hop	trap	25	4641441.181818182
big room	pop	25	7452516.681818183
albanian hip hop	german hip hop	24	4632620.9375
pop	progressive house	24	6807173.166666668
dance pop	pop edm	24	6676095.105263158
hip hop	urban contemporary	24	8205790.117647057
canadian pop	pop rap	24	5074446.230769231
canadian pop	rap	24	4498922.923076923
atl hip hop	dance pop	23	8383489.105263158
edm	edm	23	8860194.11764706
dance pop	house	22	5909157.888888889
pop	urban contemporary	22	13655162.538461538
indie poptimism	pop	22	4498979.352941177
hip hop	tropical house	22	6790254.666666668
rap	tropical house	22	7205389.764705882
trap	tropical house	22	6844279.722222223
big room	dance pop	22	7617288.095238095
post-teen pop	uk dance	21	11309184.65
hip hop	melodic rap	21	6911790.2727272725
melodic rap	trap	21	8757263.076923076
edm	rap	21	7226380.176470588
edm	trap	21	6864104.0
dance pop	uk pop	20	11659116.05263158
edm	hip hop	20	7255447.071428573
r&b	rap	20	4729596.285714285
post-teen pop	post-teen pop	20	13324821.15
dance pop	progressive house	19	7309597.071428573
electropop	post-teen pop	19	11158347.631578946
canadian pop	trap	19	3567412.4545454546
indie poptimism	tropical house	19	4723210.4375
pop edm	tropical house	19	4200971.933333334
electropop	rap	18	2974632.2857142864
tropical house	uk pop	18	11056418.411764706
canadian pop	hip hop	18	6399467.0
post-teen pop	southern hip hop	18	9411838.588235294
german pop	german pop	18	4169306.333333334
electro house	rap	18	5806367.133333334
southern hip hop	tropical house	18	3782236.7142857136
house	pop rap	17	4536445.333333333
electropop	pop rap	17	3199185.7058823523
edm	uk pop	17	11735533.9375
canadian pop	pop	17	8389713.25
electro house	hip hop	17	5499214.5
electro house	trap	17	5822252.6
edm	electro house	17	7702452.923076922
pop rap	r&b	17	9065735.583333334
pop rap	uk dance	16	6885858.333333332
dance pop	melodic rap	16	9953575.76923077
pop	viral pop	16	6097499.6
canadian pop	dance pop	16	7891876.0
gangster rap	rap	16	1962486.666666667
edm	indie poptimism	16	3681152.6363636362
edm	southern hip hop	16	4051827.1538461535
big room	tropical house	16	6019010.066666666
dance pop	urban contemporary	16	14288543.5
hip hop	r&b	16	4774966.0
pop	r&b	16	8842736.545454545
pop rap	progressive house	15	4280800.6
dirty south rap	pop rap	15	8431356.333333334
atl hip hop	southern hip hop	15	4982438.6
gangster rap	pop rap	15	432253.16666666674
dancehall	pop	14	8586332.857142856
edm	viral pop	14	6770769.363636362
dirty south rap	rap	14	9456663.0
new orleans rap	pop rap	14	8189617.6
