source	target	weight	avg_streams
french hip hop	pop urbaine	413	3344188.6566265062
french hip hop	french hip hop	246	3252127.4659090918
french hip hop	rap francais	215	3025203.223300971
francoton	french hip hop	207	3100646.067226892
pop urbaine	rap francais	201	2909003.649484536
pop urbaine	pop urbaine	196	3330785.078571428
francoton	pop urbaine	183	3011212.942857143
french hip hop	rap conscient	163	3452860.504587156
dance pop	pop	140	4717662.015384615
pop	pop	118	4633965.527027027
pop urbaine	rap conscient	116	3952813.059523809
pop rap	rap	106	1743723.0526315786
pop	pop rap	98	3348153.98
pop	post-teen pop	97	4127042.8888888885
pop	rap	86	2751704.5
rap	trap	85	1931171.3076923082
pop	tropical house	85	5650416.170212766
francoton	rap francais	81	2319703.75
hip hop	rap	78	1671425.682926829
edm	pop	74	5887367.302325581
french hip hop	french pop	72	3067022.291666666
rap	rap	67	1878849.1960784318
hip hop	pop rap	65	1494219.1176470588
dance pop	tropical house	65	5469987.736842105
francoton	rap conscient	62	3813425.04
pop rap	trap	62	1761158.7837837837
rap conscient	rap francais	61	3351172.413043478
dance pop	pop rap	61	3571073.6470588236
french pop	pop urbaine	60	2463002.9761904757
dance pop	post-teen pop	59	4245051.0
rap francais	rap francais	57	2319519.6279069767
dance pop	edm	56	5642566.684210528
francoton	francoton	55	2959115.8936170214
rap	southern hip hop	54	1755190.666666667
latin	reggaeton	53	5619695.222222222
french hip hop	rap calme	52	2249191.272727273
hip hop	pop	49	1948738.7931034483
pop urbaine	rap marseille	48	1654996.2258064516
dance pop	dance pop	47	4895274.9428571435
pop rap	southern hip hop	46	1822143.8846153843
pop	trap	45	2289748.12
pop rap	post-teen pop	45	3329066.7419354836
hip hop	trap	44	1491780.52
dance pop	rap	43	3465201.56
pop rap	pop rap	43	1599257.1935483871
electropop	pop	43	3064558.6363636362
francoton	french pop	38	2916385.571428572
post-teen pop	rap	38	2792060.4814814813
edm	tropical house	38	3389034.1363636362
french hip hop	rap marseille	38	1626062.6071428568
hip hop	southern hip hop	35	1426225.5789473685
atl hip hop	rap	34	1689145.72
french pop	rap francais	33	2712813.5925925933
edm	post-teen pop	33	5635266.038461537
post-teen pop	tropical house	33	5318028.8
pop	southern hip hop	30	1650819.875
southern hip hop	trap	30	1454222.0625
french hip hop	rap algerien	29	4192022.35
pop urbaine	rap algerien	29	4183940.2857142864
atl hip hop	pop rap	29	1497154.9130434785
rap calme	rap conscient	28	2433032.964285714
rap conscient	rap conscient	28	4113654.7692307686
latin	latin	28	5619695.222222222
latin	latin hip hop	26	5564067.0
reggaeton	reggaeton	25	8113951.166666668
latin	tropical	25	4858480.857142857
dance pop	trap	24	3563558.6875
latin hip hop	reggaeton	24	8897749.333333334
electro house	pop	24	4960304.333333333
pop	uk pop	24	7011245.266666668
hip hop	hip hop	24	1115628.85
trap	trap	24	1451112.3636363638
reggaeton	tropical	23	4858480.857142857
tropical house	tropical house	23	3696917.052631579
belgian hip hop	french hip hop	23	4082222.833333334
dance pop	electropop	22	3743913.1875
rap francais	rap marseille	21	633432.6666666665
atl hip hop	hip hop	21	1217272.3125
french hip hop	rap ivoire	20	2062120.2727272727
melodic rap	trap	20	2351293.0
atl hip hop	pop	20	2324553.1428571427
pop rap	tropical house	20	4828126.75
atl hip hop	trap	20	1380827.3125
rap calme	rap calme	19	1457064.2631578946
post-teen pop	trap	19	2834153.333333333
latin	trap latino	19	8065581.666666668
reggaeton	trap latino	19	8065581.666666668
post-teen pop	post-teen pop	19	3784115.2352941176
latin	pop	19	6291589.181818183
dance pop	uk pop	19	6180422.214285715
melodic rap	rap	18	2536111.4285714286
r&b	rap	18	1337095.6153846157
francoton	rap marseille	18	1088723.1875
miami hip hop	rap	18	1769213.7142857143
dance pop	electro house	18	4667877.285714285
pop	reggaeton	17	6012397.7
hip hop	post-teen pop	17	1727486.9230769232
dance pop	hip hop	17	2173933.5
tropical house	uk pop	17	6468751.166666668
moombahton	pop	16	4007691.0
belgian hip hop	pop urbaine	16	4040204.416666666
pop	progressive house	16	6581894.818181817
edm	pop rap	16	5644734.615384615
french hip hop	rap tunisien	15	3304952.888888888
pop urbaine	rap tunisien	15	3148215.0
electropop	post-teen pop	15	3990119.2
pop	uk dance	15	8876380.583333334
edm	uk pop	15	7041432.2727272725
alternative r&b	pop	15	1985853.9
atl hip hop	southern hip hop	15	1088433.0
latin	reggaeton flow	15	5255139.0
reggaeton	reggaeton flow	15	5255139.0
pop urbaine	rap ivoire	14	2240001.1
french pop	rap conscient	14	6310925.692307693
pop rap	r&b	14	921101.5
edm	edm	14	3575962.416666666
electro house	tropical house	14	3621073.5454545454
dance pop	southern hip hop	14	1896127.0
electropop	pop rap	14	2488483.9
miami hip hop	trap	14	1507923.833333333
rap algerien	rap francais	13	2998428.8
melodic rap	pop	13	2880012.1818181816
arabic hip hop	pop urbaine	13	5109435.75
big room	pop	13	3612766.7
big room	tropical house	13	4306773.8
big room	edm	13	4624401.0
dance pop	latin	13	5906591.555555556
dance pop	uk dance	13	8494214.727272727
pop urbaine	rap calme	13	2728530.636363636
edm	electropop	13	2564985.0
electropop	tropical house	13	2799101.666666666
francoton	rap ivoire	12	2230506.6
conscious hip hop	rap	12	2070692.0
dfw rap	trap	12	2973908.833333333
francoton	rap algerien	12	2306276.888888889
melodic rap	pop rap	12	1626183.6363636362
bmore	pop	12	4849690.8
ninja	pop	12	4849690.8
australian dance	pop	12	6815066.666666668
australian pop	pop	12	6815066.666666668
arabic hip hop	french hip hop	12	5134943.454545454
latin hip hop	trap latino	12	4197658.5
pop	r&b	12	2428791.2
pop	urban contemporary	12	2777311.125
dance pop	reggaeton	12	5509477.5
house	pop	12	6216849.0
pop	progressive electro house	12	6109484.3
rap marseille	rap marseille	12	306604.2857142857
belgian hip hop	rap francais	12	2050129.875
post-teen pop	uk dance	12	7290823.090909091
canadian pop	rap	12	2163824.3
southern hip hop	southern hip hop	12	928563.1
emo rap	rap	12	1612214.833333333
emo rap	trap	12	1314216.7
dance pop	moombahton	11	3536787.375
big room	dance pop	11	3982762.666666666
edm	electro house	11	4241219.0
rap	urban contemporary	11	1378035.7142857143
post-teen pop	southern hip hop	11	1479148.2222222222
canadian pop	hip hop	11	1684468.5555555557
miami hip hop	pop rap	11	1054888.888888889
latin hip hop	tropical	11	2127408.666666666
french pop	rap ivoire	10	2446861.5555555555
rap conscient	rap ivoire	10	2361347.4444444445
rap francais	rap ivoire	10	2371896.888888889
conscious hip hop	pop rap	10	2339454.1428571427
hip hop	melodic rap	10	1941032.666666667
rap	trap soul	10	2527109.5
latin	puerto rican pop	10	2380601.0
puerto rican pop	reggaeton	10	2380601.0
trap latino	tropical	10	4197658.5
dance pop	progressive house	10	7127014.285714285
latin	pop rap	10	9335520.666666666
pop rap	reggaeton	10	9335520.666666666
french hip hop	new french touch	10	6272526.75
pop rap	urban contemporary	10	2337877.0
conscious hip hop	pop	9	2862962.1428571427
belgian pop	french hip hop	9	4660246.857142857
atl hip hop	melodic rap	9	2298616.222222222
francoton	rap tunisien	9	2732311.285714286
rap algerien	rap conscient	9	3717148.857142857
hip pop	rap	9	1967218.0
queens hip hop	rap	9	1967218.0
melodic rap	southern hip hop	9	1941032.666666667
canadian pop	pop	9	2763101.75
hip hop	r&b	9	685387.8571428572
edm	progressive house	9	4987390.5
progressive house	tropical house	9	4987390.5
belgian hip hop	rap conscient	9	3625942.222222222
deep big room	edm	9	4909369.714285715
deep big room	tropical house	9	4909369.714285715
progressive electro house	tropical house	9	6327180.142857143
canadian hip hop	rap	9	3675968.333333334
latin	rap	9	7271675.285714285
rap	toronto rap	9	2590318.0
rap algerien	rap marseille	9	2219627.4444444445
indie poptimism	pop	9	2284088.0
hip hop	miami hip hop	9	1200293.5
latin hip hop	reggaeton flow	9	5255139.0
rap	west coast rap	8	1805096.2857142857
emo rap	pop rap	8	1711477.125
edm	progressive electro house	8	4274582.166666667
pop	pop edm	8	5701545.8
canadian hip hop	trap	8	3029308.375
chicago rap	rap	8	1954931.166666667
atl hip hop	dance pop	8	3955292.0
alternative r&b	post-teen pop	8	2293773.0
reggaeton flow	trap latino	8	5255139.0
dance pop	progressive electro house	8	6240478.285714285
electropop	rap	8	2438538.0
electro house	post-teen pop	8	3837032.5714285714
rap	tropical house	8	3331649.5
post-teen pop	uk pop	8	5703902.571428573
r&b	trap	8	684929.4
canadian pop	pop rap	8	1762491.666666667
pop rap	west coast rap	7	2074386.166666667
belgian hip hop	belgian pop	7	3693728.0
rap francais	rap tunisien	7	3538475.6
latin hip hop	puerto rican pop	7	2380601.0
dance pop	urban contemporary	7	1610653.8
house	tropical house	7	2216876.285714286
edm	pop edm	7	6204304.0
deep big room	pop	7	5043370.6
pop edm	tropical house	7	6204304.0
new french touch	rap conscient	7	5597689.142857143
atl hip hop	post-teen pop	7	3128642.8571428573
detroit hip hop	pop	7	1926524.6
reggaeton flow	tropical	7	5255139.0
rap conscient	rap marseille	7	1254790.5
canadian pop	trap	7	2655015.0
rap calme	rap francais	7	496251.83333333326
edm	rap	7	5754125.4
rap	reggaeton	7	9631104.6
dirty south rap	pop rap	7	934470.2
dirty south rap	rap	7	934470.2
dance pop	house	7	5853229.0
belgian pop	new french touch	6	2914930.2
dfw rap	rap	6	4113501.0
moombahton	post-teen pop	6	4220392.166666667
bmore	dance pop	6	4849690.8
dance pop	ninja	6	4849690.8
puerto rican pop	tropical	6	2380601.0
post-teen pop	urban contemporary	6	1997188.5
francoton	moroccan pop	6	1596207.666666667
french pop	rap marseille	6	1397835.333333333
tropical house	uk dance	6	4814746.8
french hip hop	rap antillais	6	4161300.166666666
pop urbaine	rap antillais	6	4161300.166666666
contemporary country	dance pop	6	3313650.4
contemporary country	pop	6	3313650.4
arabic hip hop	rap francais	6	2528646.0
belgian hip hop	francoton	6	5383368.166666667
canadian hip hop	pop rap	6	2700598.166666666
latin	trap	6	3335367.75
chicago rap	trap	6	2306914.6
francoton	rap calme	6	1616555.166666667
dance pop	melodic rap	6	5180931.166666667
melodic rap	post-teen pop	6	3763466.5
rap marseille	rap tunisien	6	2630783.333333333
hip pop	pop	6	1672591.2
pop	queens hip hop	6	1672591.2
alternative r&b	dance pop	6	2293773.0
alternative r&b	electropop	6	2233244.25
indie poptimism	pop rap	6	3311976.4
alternative r&b	pop rap	6	2064172.5
dance pop	uk funky	6	9061191.2
pop	uk funky	6	9061191.2
miami hip hop	southern hip hop	6	884025.3333333335
french hip hop	pop rap	6	834345.0
emo rap	melodic rap	6	1017726.1666666664
latin hip hop	latin hip hop	6	5255139.0
latin	post-teen pop	6	6276998.2
gangster rap	rap	6	559059.0
rap	underground hip hop	6	559059.0
conscious hip hop	trap	6	1779206.0
dance pop	deep big room	6	5395429.2
east coast hip hop	rap	6	2728526.75
