source	target	weight	avg_streams
pop rap	rap	322	60792372.76666666
rap	trap	312	67113897.11029412
hip hop	rap	280	61676604.91452991
latin	reggaeton	236	116525686.64615384
pop rap	trap	235	55161259.58928572
dance pop	pop	234	98663839.86324786
rap	rap	214	62760373.27338129
hip hop	pop rap	205	53978769.20652174
pop	pop	193	105582088.89855072
pop	post-teen pop	191	92400636.92727272
hip hop	trap	183	56674780.93333333
rap	southern hip hop	182	60940976.31868132
pop	pop rap	177	78908486.36274509
pop	rap	155	82541663.31
latin	latin	141	114933142.31818178
southern hip hop	trap	134	49578615.20588236
dance pop	post-teen pop	133	80155958.37349397
pop rap	southern hip hop	132	66831258.22058824
latin	tropical	131	108664448.73214284
pop	tropical house	125	101663869.8101266
trap	trap	124	48480334.1923077
pop rap	pop rap	123	58884228.96341463
hip hop	southern hip hop	121	65773740.09090909
atl hip hop	rap	116	64552276.47826087
edm	pop	113	98082328.53521128
reggaeton	tropical	109	113431950.72916669
dance pop	pop rap	108	77711040.18571429
latin	trap latino	107	124102719.75609756
hip hop	hip hop	106	53391743.47619048
reggaeton	reggaeton	100	129929891.91111112
hip hop	pop	99	58636787.95
latin	reggaeton flow	96	110596964.62962964
melodic rap	rap	95	50897341.78125
latin	latin hip hop	95	110943207.34285714
pop	trap	91	59773248.63461538
atl hip hop	pop rap	90	60977015.8245614
melodic rap	trap	89	66948558.296875
pop rap	post-teen pop	89	80764080.80327868
dance pop	tropical house	88	96899760.56140351
reggaeton	trap latino	88	130486755.06060606
reggaeton	reggaeton flow	86	105838382.41666669
electropop	pop	83	67783156.57407407
atl hip hop	hip hop	81	52190759.47058824
latin hip hop	reggaeton	81	117881686.85714284
atl hip hop	trap	80	53615659.0
dance pop	dance pop	80	88178350.203125
dance pop	edm	79	101220121.2962963
dance pop	rap	78	79854742.47169812
post-teen pop	tropical house	69	78431475.4
post-teen pop	rap	67	82649552.78723404
east coast hip hop	hardcore hip hop	65	4098826.5
edm	post-teen pop	63	86110912.40816326
east coast hip hop	hip hop	60	26906400.125
melodic rap	pop rap	59	60710917.73913044
hardcore hip hop	hip hop	59	21568635.33333333
gangster rap	rap	58	28660456.21428572
trap latino	tropical	56	113174182.93103448
gangster rap	hip hop	55	34742321.77272727
atl hip hop	southern hip hop	54	51930884.7027027
east coast hip hop	rap	54	48641128.07692308
latin	latin pop	53	105692696.0
pop	southern hip hop	53	53029491.74193549
dance pop	trap	52	72878317.78378378
hip hop	melodic rap	49	64813558.92307692
dance pop	hip hop	49	45966663.84375
post-teen pop	post-teen pop	48	70719508.1521739
dance pop	electropop	48	67345336.31578948
reggaeton flow	trap latino	47	125921267.06666666
electropop	post-teen pop	45	64578387.81081081
latin hip hop	trap latino	44	123328846.47058824
latin pop	reggaeton	44	108370908.66666669
hip hop	post-teen pop	44	54805156.51724138
hardcore hip hop	rap	44	17264867.25
post-teen pop	trap	43	74758544.38709678
reggaeton flow	tropical	40	101597235.3846154
edm	tropical house	40	76970302.875
alternative hip hop	hardcore hip hop	40	4285515.0
melodic rap	southern hip hop	39	60859870.17142857
latin	pop	37	123554917.04166669
gangster rap	pop rap	37	33356252.2
latin hip hop	reggaeton flow	36	118057532.8
southern hip hop	southern hip hop	36	55413028.39285714
latin hip hop	tropical	36	99417142.8125
pop	uk pop	36	149710803.68
hardcore hip hop	hardcore hip hop	36	4285515.0
latin	puerto rican pop	35	123772795.94736844
atl hip hop	pop	35	76892558.57692307
alternative hip hop	east coast hip hop	35	4285515.0
atl hip hop	melodic rap	33	57264012.0
miami hip hop	rap	33	76564005.16666667
electro house	pop	33	97850346.78571428
edm	pop rap	32	86790727.0
gangster rap	hardcore hip hop	32	4285515.0
puerto rican pop	reggaeton	31	126061597.61111107
r&b	rap	31	75387001.04
dance pop	latin	31	104235078.8095238
pop	uk dance	31	121934397.5
