source	target	weight	avg_streams
pop	post-teen pop	104	1083214.9104477612
pop	pop	102	1067726.1707317072
dance pop	pop	101	979061.1147540985
pop	tropical house	61	929850.525
pop	pop rap	55	466927.2647058824
dance pop	post-teen pop	54	931593.1515151516
electropop	pop	52	1007476.551724138
pop	rap	41	464125.08333333326
edm	pop	41	867378.1481481481
dance pop	tropical house	40	901393.5862068966
post-teen pop	tropical house	35	977442.9655172414
pop rap	rap	35	248226.5
dance pop	edm	31	872780.2272727273
dance pop	dance pop	29	1003963.0
hip hop	rap	28	197106.53846153847
post-teen pop	post-teen pop	25	1081307.956521739
hip hop	pop rap	24	197106.53846153847
edm	post-teen pop	24	920607.65
electropop	post-teen pop	23	1033870.65
electropop	tropical house	23	931912.5333333331
dance pop	pop rap	23	524987.4444444445
dance pop	electropop	22	870712.6842105263
canadian pop	pop	22	1308842.1578947369
hip hop	pop	22	213647.66666666663
pop rap	post-teen pop	22	614471.2941176471
rap	trap	21	403426.7857142858
pop	trap	21	288005.85714285716
rap	rap	20	267533.21428571426
pop	uk pop	19	1514854.6470588238
edm	tropical house	19	738848.5
latin	reggaeton	18	207824.0
pop rap	pop rap	16	204047.75
pop	r&b	15	610580.6363636364
dance pop	rap	15	542633.5
pop rap	trap	15	207354.77777777766
electro house	pop	15	879155.0769230769
edm	electropop	14	672890.7272727273
electropop	electropop	13	1109222.111111111
post-teen pop	rap	13	790793.0
canadian pop	dance pop	12	1057651.9090909092
canadian pop	rap	12	181879.8571428572
tropical house	tropical house	12	738848.5
hip hop	trap	12	262171.5
pop	swedish pop	11	577678.3333333335
swedish pop	tropical house	11	577678.3333333335
dance pop	swedish pop	11	635473.7142857143
canadian pop	pop rap	11	181879.8571428572
latin	latin	11	207824.0
edm	swedish pop	10	603633.0
hip hop	hip hop	10	133971.5
conscious hip hop	rap	10	224818.1428571429
pop	uk dance	10	972061.4444444444
latin	pop	10	499067.6
pop	reggaeton	10	499067.6
edm	pop rap	10	420012.44444444455
melodic rap	rap	10	448206.33333333326
post-teen pop	trap	10	350773.25
hip hop	post-teen pop	10	158449.83333333337
dance pop	electro house	10	790916.1111111111
big room	swedish pop	9	148924.14285714287
alternative r&b	pop	9	1044381.4285714284
post-teen pop	uk pop	9	2176138.5
dance pop	uk dance	9	1059352.857142857
electro house	post-teen pop	9	831396.777777778
pop rap	r&b	8	173808.83333333337
dance pop	trap	8	319354.875
modern rock	pop	8	1355402.166666667
rap	uk pop	8	735644.2
