source	target	weight	avg_streams
pop rap	rap	727	19331017.42677824
rap	trap	719	22123224.655339807
hip hop	rap	629	21330897.83937824
pop rap	trap	594	18872952.338308454
hip hop	trap	500	19427072.779141106
hip hop	pop rap	496	19033992.17647059
rap	southern hip hop	482	18359626.966666665
rap	rap	446	21620390.028846152
southern hip hop	trap	404	17704049.083333332
pop rap	southern hip hop	396	17681391.085227273
atl hip hop	rap	336	25037753.014814816
hip hop	southern hip hop	332	15382812.830882356
pop rap	pop rap	305	18898030.594444446
trap	trap	300	17156736.226666667
pop	rap	294	21284875.69512195
pop	pop rap	287	22428111.60784314
atl hip hop	pop rap	273	18880105.7518797
atl hip hop	trap	268	16524450.541284405
melodic rap	rap	239	27404744.180851065
hip hop	hip hop	229	15886895.433070865
atl hip hop	hip hop	227	19254742.49056604
hip hop	pop	219	20029287.937007874
pop	trap	214	21665602.19266055
dance pop	pop	206	30147295.90825688
atl hip hop	southern hip hop	197	15323711.724489795
melodic rap	trap	184	23934399.23809524
dance pop	pop rap	179	23395430.86111111
melodic rap	pop rap	177	23767029.902173914
dance pop	rap	161	22769954.88
pop	pop	156	31369027.67241379
pop	southern hip hop	148	20329128.80645161
hip hop	melodic rap	132	27527336.2
southern hip hop	southern hip hop	123	13413825.988372093
dance pop	trap	122	23036121.10810811
dance pop	hip hop	121	22943164.98734177
pop	post-teen pop	118	34276551.4375
melodic rap	southern hip hop	114	18036457.23529412
gangster rap	rap	103	10922594.020408163
pop	tropical house	101	31041066.95238095
pop rap	post-teen pop	97	29082759.41666667
gangster rap	pop rap	96	10546117.02
atl hip hop	pop	92	25938072.704918034
gangster rap	trap	91	9354285.5
edm	pop	91	27304831.96825397
dance pop	southern hip hop	89	18324145.1
post-teen pop	rap	85	29335806.921875
dance pop	post-teen pop	83	31729457.103448275
atl hip hop	melodic rap	82	23548682.849056605
dirty south rap	rap	81	25150431.05263158
pop rap	r&b	81	14603152.953488372
r&b	rap	78	15375459.395833336
rap	underground hip hop	76	21845603.0
r&b	trap	75	13247036.472222222
dance pop	tropical house	75	31361825.82978724
dirty south rap	pop rap	74	26112967.60975609
hip hop	r&b	73	15078086.785714285
dance pop	edm	70	26895117.29166667
gangster rap	southern hip hop	69	7730884.925
gangster rap	hip hop	67	11032664.611111112
dance pop	dance pop	66	30296823.2
hip hop	post-teen pop	65	29808861.0
trap	underground hip hop	65	12941471.857142854
pop rap	urban contemporary	64	21423561.375
rap	urban contemporary	63	22221189.97560976
atl hip hop	atl hip hop	61	15804918.108695652
dirty south rap	hip hop	59	23568753.0
dirty south rap	trap	59	29106327.85714286
hip hop	underground hip hop	58	9053772.217391305
electropop	pop	58	36412766.93023256
hip hop	urban contemporary	56	21720122.97560976
r&b	southern hip hop	55	13021682.411764706
post-teen pop	trap	54	29868404.372093026
pop rap	underground hip hop	53	17546355.575757574
pop	r&b	53	16581832.892857146
atl hip hop	dance pop	52	28660357.86842105
edm	post-teen pop	51	29511880.70454545
miami hip hop	rap	50	26729081.6
southern hip hop	underground hip hop	49	10635401.954545457
melodic rap	pop	49	33972047.03333333
electro house	pop	49	24809566.102564104
canadian pop	rap	48	34980123.75757576
post-teen pop	tropical house	48	34264568.512195125
melodic rap	melodic rap	44	19457622.722222224
miami hip hop	pop rap	44	25125551.51724138
alternative r&b	rap	44	29364951.0
canadian pop	pop rap	44	37371298.62068965
trap	urban contemporary	44	26004962.115384616
atl hip hop	gangster rap	43	6664416.481481481
dirty south rap	southern hip hop	43	19994532.47826087
pop	urban contemporary	41	25705766.384615384
miami hip hop	trap	39	31206544.92
canadian pop	trap	39	31636902.25925925
pop rap	tropical house	38	27291143.4
edm	pop rap	37	27171492.115384616
dance pop	electro house	37	24797281.13333333
atl trap	rap	36	12970790.217391305
rap	vapor trap	36	10828878.25
edm	tropical house	36	21510005.944444444
rap	toronto rap	35	22709898.08333333
atl trap	pop rap	34	9762008.130434783
chicago rap	rap	34	22844293.11111111
post-teen pop	southern hip hop	34	27825640.46875
conscious hip hop	pop rap	33	22597669.36842105
conscious hip hop	rap	33	21919561.55
east coast hip hop	rap	33	9165152.631578946
dance pop	r&b	33	16393370.0
latin	reggaeton	33	51520753.25
detroit hip hop	rap	32	10795602.444444444
conscious hip hop	hip hop	32	25701309.1875
canadian pop	hip hop	32	41409633.85
gangster rap	pop	32	16411205.095238095
pop rap	toronto rap	32	23161322.818181816
canadian hip hop	rap	32	22684112.04166667
atl trap	trap	31	9202461.23809524
detroit hip hop	pop rap	31	13488154.904761905
chicago rap	pop rap	31	22844293.11111111
hip hop	vapor trap	31	11790342.4
dirty south rap	pop	31	23688155.11111111
pop	uk dance	30	23879615.086956523
edm	rap	30	25730943.19047619
southern hip hop	urban contemporary	30	20077831.181818184
chicago rap	hip hop	29	25398052.0625
east coast hip hop	hip hop	29	8162613.125
alternative r&b	hip hop	29	32498298.17647059
electro house	pop rap	29	21631112.45
rap	tropical house	29	26597951.3
atl hip hop	dirty south rap	29	33919778.82352941
toronto rap	trap	29	23078729.5
conscious hip hop	trap	28	28024294.66666667
hip hop	miami hip hop	28	18909303.157894734
pop	progressive house	28	24510023.13636364
canadian hip hop	trap	28	23050599.272727273
alternative r&b	trap	28	29627677.5
dance pop	urban contemporary	28	19129600.57894737
detroit hip hop	trap	27	9073228.222222222
trap	vapor trap	27	8080201.666666668
trap	trap soul	27	9166575.76470588
electro house	rap	27	21968230.21052632
canadian hip hop	pop rap	27	22473428.95238095
detroit hip hop	hip hop	26	10790294.222222222
atl hip hop	r&b	26	13360763.88235294
pop rap	trap soul	26	12863065.277777778
hip pop	pop rap	26	15792009.222222222
dance pop	electropop	26	43030573.904761896
atl trap	southern hip hop	25	7781953.222222223
chicago rap	trap	25	28183997.84615385
atl hip hop	post-teen pop	25	32053799.13043478
edm	trap	25	26905479.8
trap	tropical house	25	27879937.63157895
electro house	post-teen pop	25	27420150.84
electropop	tropical house	25	35222671.47058824
hip hop	new orleans rap	24	35166126.666666664
hip pop	rap	24	11939966.47368421
detroit hip hop	southern hip hop	23	9073228.222222222
new orleans rap	pop rap	23	35133859.083333336
conscious hip hop	southern hip hop	23	25060381.17647059
dance pop	dirty south rap	23	19198381.57894737
rap	trap soul	23	9166575.76470588
alternative r&b	pop rap	23	35122577.0
dance pop	melodic rap	23	33395507.11111111
hip pop	trap	23	15792009.222222222
philly rap	rap	23	28926476.76923077
neo soul	rap	22	18408732.3
pop rap	progressive house	22	22808904.92857143
pop rap	uk dance	22	26785996.42857143
hip hop	hip pop	22	14530914.705882356
hip hop	toronto rap	22	23666162.05882353
canadian pop	southern hip hop	22	28092790.8
electro house	trap	22	23064231.277777776
post-teen pop	post-teen pop	22	39788843.72727273
