source	target	weight	avg_streams
pop	pop	174	7895755.44
dance pop	pop	133	4924383.538461538
brazilian funk	pop	127	12812115.51898734
brazilian funk	brazilian funk	121	14988098.615384614
electro	pop	119	8846948.449275363
hip hop	pop	104	7803250.636363638
hip hop	hip hop	84	9057199.575757576
pop	pop rap	84	4545980.413043479
hip hop	rap	73	5806953.52631579
hip hop	trap	73	10891973.57142857
pop	rap	72	5933590.652173912
brazilian funk	electro	70	14211157.564102566
pop	tropical house	62	6157885.394736842
brazilian funk	hip hop	60	14310042.0625
electro	electro	58	7163016.405405405
brazilian funk	sertanejo	57	17363127.893617027
dance pop	pop rap	55	3939823.272727273
pop	trap	54	10058143.741935484
electropop	pop	45	2943353.5
pop rap	rap	42	3298881.88
latin	pop	42	5799170.884615385
sertanejo	sertanejo	41	16563161.902439024
rap	trap	40	6526863.357142857
pop	sertanejo	39	15576891.4
dance pop	dance pop	38	3935835.4375
hip hop	pop rap	37	2883568.9
pop	reggaeton	37	5524348.208333333
electro	hip hop	36	14372266.23809524
pop	r&b	35	4772985.846153846
electro house	pop	34	10263887.172413792
dance pop	electro	34	4881748.307692308
dance pop	rap	34	5274610.9
house	pop	33	6791456.45
dance pop	tropical house	33	4173871.391304348
hip hop	r&b	33	5345598.611111111
dance pop	hip hop	33	4554781.363636363
pop rap	trap	30	4679849.470588235
rap	rap	29	4496106.52
electro	electro house	26	9388962.133333333
dance pop	trap	26	6338296.05882353
latin	reggaeton	25	5938789.5
dance	pop	22	6420036.846153846
dance pop	electropop	21	3107796.7058823532
pagode baiano	pop	20	15716578.823529413
pop rap	pop rap	20	2504667.6428571427
hip hop	latin	19	4834142.909090909
brazilian funk	pagode baiano	19	12062536.57142857
r&b	rap	18	3606064.8461538465
trap	trap	18	5538811.384615385
brazilian funk	brega funk	18	16438302.266666668
dance pop	latin	18	4838905.166666667
r&b	trap	17	4524620.1
other	pop	17	4915950.0
mpb	pop	16	9864253.615384616
brazilian funk	forro	15	15375566.5
moombahton	pop	15	5706637.428571427
latin	latin	15	5938789.5
hip hop	reggaeton	15	7006201.714285715
electro	tropical house	15	5401162.384615385
electro	pop rap	15	4531416.416666667
electro	house	14	6110643.8
pop rap	r&b	14	2357990.4444444445
pop	tropical	14	3825061.5
dance pop	reggaeton	14	3987277.6
brazilian funk	trap	14	17114730.75
electro	rap	14	5194039.2727272725
dance pop	house	13	7291481.666666668
latin	pop rap	13	6161610.0
pop rap	tropical house	13	2424408.75
forro	sertanejo	12	8528428.166666666
ninja	pop	12	3671748.2
dance pop	r&b	12	3843417.727272727
pop rap	reggaeton	12	6161610.0
brazilian funk	latin	11	8357397.222222223
brazilian funk	reggaeton	11	8357397.222222223
forro	pop	11	12457903.1
electro	electropop	11	2650129.6
electropop	tropical house	11	2786878.125
latin	tropical	11	5868721.571428573
brazilian funk	pagode	11	4859476.0
electro	sertanejo	11	9789682.2
electro	r&b	11	5043299.222222222
latin	rap	11	6492650.571428573
rap	reggaeton	11	6492650.571428573
latin	trap	11	4461330.666666667
dance pop	electro house	10	10519803.444444444
afrofuturism	hip hop	10	24779376.2
dance	dance pop	10	6812731.111111111
reggaeton	reggaeton	10	9735009.0
reggaeton	trap	10	5207631.4
brazilian funk	r&b	10	8984030.375
electro	trap	10	6255421.444444444
pop	urban contemporary	10	3512240.333333333
electro house	house	9	6646810.75
mpb	mpb	9	10024853.777777778
folk	mpb	9	6989331.5
afrofuturism	pop	9	22031793.166666668
dance pop	other	9	3359225.5
pagode	sertanejo	9	11010119.555555556
pagode	pop	9	5728607.444444444
brazilian funk	rap	9	5184066.571428572
country	pop	8	4929196.714285715
r&b	r&b	8	7104867.5
pop	rock	8	14805414.5
hip hop	tropical	8	2414505.6
brazilian funk	pop rap	8	7464196.25
indie pop	pop	8	2051472.666666667
pop rap	urban contemporary	8	4105028.5
latin	pagode baiano	7	10900205.333333334
pagode baiano	reggaeton	7	10900205.333333334
dance	tropical house	7	6122886.714285715
rap	soul	7	3926440.142857143
folk	pop	7	13062590.714285715
brega funk	sertanejo	7	20191586.42857143
country	dance pop	7	5601635.0
reggaeton	tropical	7	7923177.2
pagode baiano	sertanejo	7	30865572.57142857
axe	brazilian funk	7	4925908.142857143
afrofuturism	brazilian funk	7	29214353.5
electropop	pop rap	7	2760502.75
brazilian funk	electro house	7	10215514.0
dance pop	tropical	7	4791896.4
electro	latin	7	3905218.0
rap	tropical house	7	2785019.6
hip hop	urban contemporary	7	3429988.2
rap	urban contemporary	7	4619101.0
forro	forro	6	13773041.833333336
dance	electro	6	6636446.666666668
pop	soul	6	1505921.0
pop	pop rock	6	10235963.833333334
brazilian funk	mpb	6	10394669.166666666
dance pop	k-pop	6	1636489.8
hip hop	rock	6	14997075.25
electropop	rap	6	2844546.0
hip hop	indie	6	9380040.666666666
brega funk	pop	6	17193107.4
brazilian funk	tropical house	6	8058804.5
brazilian funk	dance pop	6	9335066.75
k-pop	pop	6	2065185.333333333
tropical house	tropical house	6	1847104.333333333
electro	reggaeton	6	4478217.666666667
trap	urban contemporary	6	3646782.5
dance pop	urban contemporary	6	2230600.5
electro house	rap	6	3969374.666666666
house	rap	6	3969374.666666666
dance pop	moombahton	5	3994232.75
dance pop	ninja	5	3994232.75
dance	electropop	5	3413919.6
pop rap	soul	5	1761885.5
dubstep	pop	5	14184962.0
pop rock	rap	5	8788705.4
pop rap	pop rock	5	8788705.4
electro house	electropop	5	3749016.4
other	pop rap	5	1977668.75
electro	other	5	1562334.8
axe	pop	5	2559705.8
electro house	tropical house	5	14111193.6
pop rap	tropical	5	2999630.333333333
funk	pop	5	4534920.25
dancehall	pop	5	5673352.333333332
brazilian funk	moombahton	5	7989843.666666668
electro house	hip hop	5	3804019.5
electro house	trap	5	5050500.5
electropop	r&b	5	2910280.5
afrofuturism	trap	4	6736762.5
country	electropop	4	5062895.25
country	tropical house	4	4938112.0
pop	techno	4	2744798.25
forro	pagode baiano	4	23699891.25
latin	other	4	4760187.5
electro house	r&b	4	5194368.0
pop	reggae	4	14388346.0
electro house	other	4	5790113.75
francoton	pop	4	2282210.5
dance pop	francoton	4	2282210.5
r&b	tropical house	4	6230884.0
trap	tropical	4	3756624.666666666
hip hop	mpb	4	3889890.25
latin	tropical house	4	806988.0
house	tropical house	4	7436433.0
house	pop rap	4	2536833.0
dancehall	electro	4	5673352.333333332
forro	pagode	4	3043393.25
axe	forro	4	3043393.25
mpb	sertanejo	4	11156707.75
electropop	electropop	4	2718241.0
hip hop	tropical house	4	3617733.75
trap	tropical house	4	5050500.5
hip hop	house	4	3969374.666666666
house	trap	4	3969374.666666666
dance pop	soul	4	3375120.666666666
dance	house	3	3444740.666666666
dance	moombahton	3	3444740.666666666
dance	ninja	3	3444740.666666666
hip hop	soul	3	1335338.333333333
dance pop	dubstep	3	15410523.0
brega funk	forro	3	11633693.0
country	electro	3	6285960.333333332
country	electro house	3	6285960.333333332
mpb	pagode baiano	3	5984908.0
other	reggaeton	3	6191176.666666668
mpb	rock	3	12567579.0
folk	folk	3	10409863.666666666
hip hop	other	3	3346922.333333333
afrofuturism	reggae	3	14388346.0
electro	mpb	3	13563167.333333336
brazilian funk	samba reggae	3	3299275.666666666
electro	pagode baiano	3	39503120.333333336
electropop	hip hop	3	3533510.0
indie	pop	3	13751660.5
indie	rap	3	9380040.666666666
house	r&b	3	5681192.0
axe	sertanejo	3	2101160.0
rap	tropical	3	4134532.0
brega funk	brega funk	3	14075548.0
electro house	sertanejo	3	9370670.0
mpb	rap	3	1160482.666666667
dance pop	funk	3	4692890.0
indie pop	tropical house	3	1437278.333333333
other	tropical house	3	548360.6666666665
reggaeton	tropical house	3	920244.0
dance pop	dancehall	3	5673352.333333332
dancehall	latin	3	4363089.5
dancehall	reggaeton	3	4363089.5
rock	trap	3	16623294.0
pagode	pagode baiano	3	5317764.333333333
electro	indie	3	1295548.0
electro house	pop rock	3	9101121.5
electro house	electro house	3	2877366.0
electropop	indie pop	3	3365103.333333333
electro house	pop rap	3	2660628.0
soul	tropical house	3	4814197.5
electro	soul	3	4814197.5
dance	pop rap	3	3380634.0
brazilian funk	dancehall	3	7890368.5
country pop	pop	3	8994463.5
county rock	pop	3	8994463.5
country pop	dance pop	3	8994463.5
county rock	dance pop	3	8994463.5
electro	trance	3	3511755.0
electro house	trance	3	3511755.0
francoton	latin	2	4543747.5
francoton	reggaeton	2	4543747.5
afrofuturism	r&b	2	7666672.5
afrofuturism	afrofuturism	2	7666672.5
electropop	techno	2	5056492.0
country	techno	2	5056492.0
other	pagode baiano	2	7136649.5
brazilian funk	other	2	7136649.5
r&b	techno	2	433104.5
electro	k-pop	2	993446.5
electro house	k-pop	2	993446.5
k-pop	tropical house	2	993446.5
house	k-pop	2	993446.5
r&b	rock	2	13370856.5
folk	rock	2	14549347.5
r&b	reggae	2	17435580.0
tropical	tropical	2	1333497.5
brazilian funk	brega	2	13205273.5
pop	samba reggae	2	4801199.5
indie pop	pop rap	2	4352349.0
indie	trap	2	13578807.0
brega funk	electro	2	32063477.0
brazilian funk	tropical	2	4134532.0
pagode	pagode	2	1418001.0
electro house	pagode baiano	2	10779765.0
pagode baiano	tropical house	2	10779765.0
brazilian funk	house	2	5323748.5
dance pop	pagode baiano	2	10779765.0
mpb	trap	2	1249470.0
electro	indie pop	2	451931.0
dance pop	indie pop	2	865731.5
electropop	latin	2	486452.0
