source	target	weight	avg_streams
hip hop	rap	731	2808072.567010309
rap	trap	644	2982236.7518248176
pop rap	rap	625	2647895.1
hip hop	trap	541	2482284.8595744683
hip hop	pop rap	535	2446618.475
pop rap	trap	492	2620582.629955947
rap	rap	417	2777382.8518518517
hip hop	hip hop	343	2425374.6764705884
pop	pop rap	269	2805764.722222222
trap	trap	265	2114973.4545454546
pop	rap	265	3446648.6158192093
hip hop	pop	264	2899900.6829268294
pop rap	pop rap	245	2318564.848837209
pop	pop	243	3689373.0584795317
dance pop	pop	243	3513007.7903225813
pop	trap	188	3264545.9915254237
dance pop	pop rap	136	2501866.466666667
pop	tropical house	131	3465979.3012048188
electro	pop	119	3445070.0933333333
dance pop	rap	114	2991952.582278481
dance pop	hip hop	108	2496395.051948052
electropop	pop	102	2738343.8840579707
dance pop	trap	84	2725966.483333333
hip hop	r&b	83	1683830.2264150945
r&b	rap	79	2655339.01754386
pop	r&b	77	4544004.377777779
dance pop	tropical house	76	3486200.18
dance pop	electro	72	3850175.711538462
pop rap	r&b	72	2507637.1875
dance pop	dance pop	71	2889219.947368421
latin	reggaeton	56	5228930.090909091
r&b	trap	55	1224769.2666666666
dance pop	electropop	51	3606044.880952381
house	pop	49	3417662.3125
dance	pop	46	3375080.5483870967
electro house	pop	44	4843425.972972973
latin	pop	42	3955327.8636363638
hip hop	latin	38	3337492.923076923
pop rap	urban contemporary	38	2250861.695652174
rap	urban contemporary	37	2141909.1481481483
pop	reggaeton	36	4147268.45
electropop	tropical house	36	3662560.892857143
electro	tropical house	36	2987832.958333333
rap	soul	35	3693191.8620689656
hip hop	reggaeton	35	3334427.2
electro	pop rap	35	2760081.8846153845
hip hop	urban contemporary	33	1647696.25
latin	trap	31	4251862.833333333
pop	urban contemporary	31	2645926.1818181816
electro	electropop	31	3602682.703703704
electropop	pop rap	31	2747064.5714285714
electro	rap	31	3119691.8695652173
reggaeton	trap	30	4603058.0
pop rap	soul	30	2369844.083333333
hip hop	soul	30	1934205.8846153843
latin	latin	30	5228930.090909091
electro	hip hop	30	2605343.6818181816
dance pop	r&b	28	3896616.0
pop rap	tropical house	28	2726838.9523809524
latin	tropical	27	2777756.333333333
trap	urban contemporary	27	1743065.2222222222
