source	target	weight	avg_streams
hip hop	pop	410	3155678.703030303
hip hop	rap	344	2961643.25
pop	rap	339	2981314.6845637583
pop	pop	268	3943868.933333333
hip hop	hip hop	195	2961916.5304347826
dance pop	pop	162	4508952.65060241
rap	rap	158	2743235.618556701
pop	pop rap	136	3752391.597014925
francoton	hip hop	122	2801309.1095890407
francoton	pop	121	2993740.671875
pop rap	rap	112	2541165.2058823532
pop	tropical house	110	4451718.833333333
hip hop	pop rap	104	3309799.117647059
electro	pop	97	4591575.720588235
dance pop	pop rap	80	4136982.382978723
rap	trap	80	3017765.379310345
dance pop	tropical house	77	4696429.760869565
francoton	rap	77	2684073.824561404
pop	trap	76	3511756.1621621624
pop rap	trap	75	3827900.423076923
hip hop	trap	73	3125129.2142857136
dance pop	electro	61	4729150.857142857
dance pop	hip hop	60	3608082.35
dance pop	rap	59	3501302.2058823532
dance pop	dance pop	57	5058363.720930233
pop rap	pop rap	55	3309122.52
house	pop	48	3543772.875
electro house	pop	47	4014385.6052631573
electropop	pop	47	4626124.5
electro	tropical house	45	3646401.357142857
dance pop	trap	43	4623759.461538462
dance pop	electro house	32	3898458.384615385
tropical house	tropical house	29	3684352.08
pop	r&b	29	3575909.28
dance	pop	29	4784006.347826087
dance pop	electropop	29	4525859.0
dance pop	house	28	3606221.608695652
pop rap	tropical house	27	4924361.0
house	tropical house	26	2656687.5555555555
electropop	tropical house	26	3966515.8
r&b	rap	26	2216166.9523809524
francoton	francoton	26	2162895.25
trap	trap	25	3382354.666666666
electro	pop rap	25	5147900.6315789465
hip hop	r&b	25	2707670.772727273
rap	urban contemporary	24	2614951.230769231
hip hop	urban contemporary	23	3686381.6
pop rap	urban contemporary	23	4479880.333333333
dance	dance pop	22	4913066.5625
pop	urban contemporary	21	4413890.076923077
electro	electropop	21	4403385.166666667
electro	hip hop	21	4110066.6875
pop rap	r&b	21	3423857.0
indie pop	pop	19	1828347.3125
electro	rap	19	4620628.214285715
hip hop	tropical house	18	4315423.538461538
electro	house	18	2096272.9090909087
dance pop	r&b	17	5135436.266666667
electro house	pop rap	17	4188326.538461538
house	pop rap	17	3134773.5
electro	electro	17	4001950.6153846164
electro house	tropical house	16	3690727.2142857136
