source	target	weight	avg_streams
dance pop	pop	316	9167863.537414966
hip hop	rap	279	6046465.289655172
pop	pop	263	9074409.477272727
hip hop	pop	200	7236191.62601626
pop rap	rap	198	5938757.345794393
hip hop	hip hop	192	4914117.78125
pop	pop rap	191	7306712.964285715
pop	tropical house	191	9263028.289719626
other	other	188	10664975.615384616
pop	rap	175	7754192.638655462
rap	trap	174	6983969.632653061
hip hop	pop rap	170	5191051.222222222
electro	pop	149	9858865.626373626
rap	rap	144	6043084.925925926
hip hop	trap	135	5136791.773333333
dance pop	tropical house	129	9783876.81081081
pop rap	trap	124	6308666.422535211
dance pop	pop rap	113	8048892.319444444
dance pop	hip hop	106	7336436.735294118
dance pop	dance pop	104	9302497.23076923
dance pop	electro	103	10507400.323943663
pop	trap	98	7473092.087719297
electropop	pop	97	6566840.457627119
grime	hip hop	94	6233882.382978722
dance pop	rap	85	8236942.736842105
other	pop	77	9452779.054054054
pop rap	pop rap	75	6481354.711538463
dance	pop	66	11729801.272727273
house	pop	64	9554113.825
pop	r&b	62	9293361.755555557
dance pop	electropop	59	8448001.75
dance pop	other	58	9290879.607142856
electro	tropical house	57	11318442.027027028
trap	trap	56	5449290.0
dance pop	trap	53	8335741.909090909
hip hop	r&b	50	4578354.0
hip hop	tropical house	50	11025614.28125
r&b	rap	46	6280428.527777777
pop rap	tropical house	40	8571584.884615384
electro house	pop	40	12254683.666666664
tropical house	tropical house	39	9840259.484848484
pop rap	r&b	37	9416091.535714284
electropop	tropical house	37	8913270.518518519
dancehall	hip hop	35	7235059.695652174
dance	dance pop	35	14396386.74074074
dance pop	house	33	11154102.25
electro	pop rap	33	8279875.392857143
electro	hip hop	32	7518280.761904762
electro	electropop	31	9577254.961538462
rap	tropical house	30	9059092.318181818
dancehall	pop	30	9861930.0
dance pop	r&b	28	10118093.153846154
grime	rap	28	6939999.444444444
electro	rap	28	7006035.0
latin	pop	27	10035113.785714284
dance	tropical house	26	12165717.363636365
